ID_Lectura,Temperatura_Zona1_C,Velocidad_Cinta_m_min,Horas_Desde_Mantenimiento,Humedad_Ambiente_Pct,Espesor_Material_mm,Consumo_Energia_KWh
44,734.9,0.92,10,32.0,6.21,502.68
45,676.1,2.15,180,75.4,4.76,475.88
46,714.0,1.88,176,66.5,5.58,515.44
47,727.0,0.81,403,43.6,4.84,557.08
48,802.9,0.78,267,54.8,7.41,575.06
49,767.2,0.68,72,31.4,5.01,511.25
50,661.8,2.36,281,47.0,5.7,489.55
51,766.2,2.28,46,56.1,6.17,479.21
52,730.7,0.65,25,55.9,4.36,467.76
53,716.2,1.9,263,40.4,5.71,496.76
54,780.6,0.71,352,68.8,5.86,573.35
55,801.5,2.76,355,44.9,5.43,528.61
56,796.6,2.77,345,59.0,5.76,529.96
57,708.0,2.25,36,43.6,4.35,452.7
58,734.5,2.82,456,51.3,7.15,550.67
59,766.6,2.53,120,40.4,2.6,470.19
60,798.8,2.57,242,61.7,4.16,532.32
61,726.0,1.92,487,51.3,3.66,521.83
62,740.7,1.27,73,30.8,6.72,523.86
63,694.7,1.04,106,31.4,4.87,477.11
64,690.2,1.32,425,53.6,4.06,514.42
65,790.6,2.07,402,39.2,4.39,542.85
66,817.8,0.93,276,59.3,3.48,550.77
67,746.4,1.15,494,50.4,5.63,566.95
68,800.2,1.67,335,62.7,5.73,567.1
69,768.1,1.08,423,77.6,5.3,567.57
70,717.7,1.97,241,56.4,4.28,474.24
71,768.1,2.81,408,69.4,6.53,534.17
72,826.9,2.37,452,67.7,5.78,568.2
73,748.2,2.17,57,76.1,3.26,480.69
74,828.2,1.96,359,40.7,4.81,557.64
75,619.0,1.72,219,71.4,3.84,442.65
76,791.1,0.97,85,75.3,6.47,537.85
77,754.4,2.74,256,49.6,4.55,507.71
78,735.0,1.12,325,45.7,3.62,508.51
79,754.6,0.73,77,77.6,4.85,494.39
80,650.6,2.38,322,61.4,6.59,489.27
81,739.0,0.94,73,49.0,5.86,504.45
82,767.9,1.43,191,69.6,4.48,530.69
83,823.9,0.57,89,45.2,4.83,538.29
84,724.1,0.84,352,38.8,5.99,534.34
85,709.6,0.93,212,57.2,6.39,522.79
86,724.9,0.64,191,58.3,3.45,482.04
87,795.8,2.14,452,71.3,5.15,556.37
88,766.4,2.59,481,52.9,4.65,529.3
89,723.5,1.43,223,70.7,4.51,502.62
90,775.7,2.69,432,45.6,6.34,541.16
91,754.9,1.03,129,58.8,3.65,505.91
92,798.4,1.31,408,40.4,5.81,570.39
93,714.9,0.88,250,49.3,2.72,500.68
94,733.6,2.05,344,72.9,4.27,520.71
95,730.4,1.55,211,40.8,5.03,516.05
96,676.8,2.03,421,70.5,3.69,503.76
97,764.8,2.4,301,44.1,7.2,550.86
98,763.1,1.86,63,31.7,4.28,500.07
99,750.3,2.07,154,35.5,4.2,484.92
100,738.3,2.84,365,67.3,4.31,504.28
101,679.2,1.25,95,43.1,5.58,474.64
102,729.0,1.4,480,62.7,5.91,562.78
103,732.9,2.29,486,65.0,4.56,526.97
104,709.9,2.03,31,47.3,5.32,478.12
105,741.9,0.95,340,53.7,5.39,521.36
106,770.2,1.44,301,50.2,3.56,503.6
107,844.3,1.67,245,77.4,4.88,578.76
108,758.7,1.55,38,46.0,4.37,497.14
109,762.9,0.95,192,39.2,3.44,523.83
110,746.3,2.81,435,48.3,5.21,507.75
111,654.1,2.41,169,63.5,6.01,467.99
112,748.7,1.7,407,64.9,5.04,525.3
113,753.0,2.2,27,76.2,2.43,478.62
114,873.2,2.74,47,74.1,4.54,535.77
115,740.4,0.84,110,44.4,4.11,499.5
116,765.1,1.13,299,52.8,6.78,563.71
117,748.3,1.86,386,67.4,4.66,531.6
118,691.6,2.5,182,75.8,3.39,462.98
119,807.1,0.59,352,46.9,4.95,556.82
120,787.6,2.96,425,52.2,5.64,556.42
121,789.6,1.64,375,75.0,5.1,559.86
122,704.5,1.4,76,47.9,4.2,479.02
123,820.1,1.23,200,54.0,4.54,533.98
124,679.9,0.94,448,75.2,5.77,548.28
125,779.3,2.48,52,70.1,5.1,503.11
126,859.5,2.89,132,42.2,7.03,567.6
127,700.5,1.53,287,46.2,5.1,512.44
128,721.7,2.88,352,47.6,3.47,461.54
129,755.0,2.56,205,75.6,4.8,514.19
130,724.8,1.7,342,79.9,4.44,529.33
131,672.5,2.19,134,68.7,3.45,459.38
132,753.4,1.59,105,54.2,5.13,507.69
133,696.9,1.9,387,30.5,4.58,496.8
134,773.7,0.65,166,64.9,5.15,538.63
135,704.0,2.24,49,49.5,6.83,494.12
136,827.5,0.63,369,61.6,4.87,599.32
137,710.8,2.54,182,60.3,6.02,488.62
138,733.9,2.56,384,54.0,4.81,505.04
139,790.7,1.09,403,77.2,5.42,586.42
140,688.5,1.31,470,31.2,5.12,527.67
141,761.4,1.7,182,65.6,5.27,522.76
142,815.4,1.99,129,50.5,4.87,517.42
143,669.6,1.22,282,65.7,6.45,491.79
144,759.2,1.98,367,63.8,5.63,547.81
145,763.0,1.24,395,30.5,5.12,538.19
146,789.1,0.64,410,44.3,5.91,570.64
147,688.2,0.51,373,39.5,5.13,524.99
148,684.0,0.75,355,38.3,6.12,515.78
149,776.1,2.48,384,66.4,3.82,522.65
150,764.8,2.9,431,42.0,7.13,536.7
151,762.5,1.57,430,53.7,5.17,555.64
152,767.3,1.78,328,42.3,3.86,511.93
153,716.0,0.87,270,59.0,5.75,510.45
154,761.6,1.88,290,66.0,6.29,529.78
155,764.7,0.86,338,46.6,3.98,551.66
156,714.3,2.03,133,60.2,4.53,474.7
157,843.3,2.83,485,71.2,6.01,589.04
158,773.7,0.99,287,34.7,5.56,540.6
159,690.4,2.41,102,65.5,4.56,459.93
160,782.8,0.56,456,46.2,4.75,584.25
161,701.3,1.44,44,36.1,3.75,461.43
162,789.4,0.78,320,57.3,4.01,567.01
163,807.9,1.38,137,41.3,3.33,537.31
164,709.0,0.93,29,71.1,4.65,501.72
165,798.2,1.43,270,32.1,5.68,541.25
166,770.6,1.54,176,34.9,4.73,515.48
167,791.1,1.25,328,56.0,6.12,577.45
168,844.8,2.14,245,59.4,4.35,557.25
169,737.7,2.8,41,66.5,3.51,472.99
170,712.3,1.5,240,43.0,6.15,522.36
171,705.5,0.98,200,72.1,5.37,523.48
172,709.2,1.18,339,77.7,6.23,524.69
173,746.1,2.64,433,55.0,4.66,520.95
174,767.1,1.93,154,68.0,6.59,521.33
175,763.8,1.64,110,56.2,3.92,498.56
176,791.4,0.87,88,33.5,4.71,524.22
177,750.7,1.62,466,46.3,5.41,548.07
178,822.7,1.2,169,34.4,4.53,533.75
179,736.8,2.86,264,79.4,5.23,492.02
180,886.0,2.71,288,41.5,6.25,560.91
181,781.3,0.71,468,61.8,5.38,596.59
182,707.1,1.79,197,44.2,4.82,499.43
183,696.5,1.06,470,62.7,6.23,546.0
184,774.1,1.53,219,40.5,5.51,500.07
185,738.8,2.69,250,69.3,4.99,493.66
186,785.7,1.82,65,35.5,4.92,509.78
187,773.7,1.34,146,74.8,4.63,532.12
188,746.4,1.02,115,72.0,5.84,518.92
189,707.7,2.5,78,63.9,5.88,481.85
190,674.3,2.06,199,33.4,6.27,477.13
191,727.7,1.67,201,40.4,5.43,514.15
192,792.8,1.04,287,73.0,4.46,551.39
193,760.7,1.34,41,36.1,5.33,500.76
194,687.7,2.9,184,37.8,4.44,450.25
195,758.7,1.8,267,57.2,5.16,532.17
196,769.3,1.5,132,43.7,6.41,529.1
197,705.8,1.8,94,41.1,6.18,473.13
198,757.7,2.45,485,58.8,5.91,551.23
199,752.9,1.35,445,48.6,4.98,548.3
200,692.9,0.95,225,37.0,5.9,513.59
201,767.9,1.96,225,56.7,4.36,513.49
202,778.0,2.16,23,49.4,3.54,473.16
203,804.2,2.28,46,66.7,5.27,510.16
204,802.7,2.7,36,35.1,4.62,511.42
205,681.1,1.43,161,61.0,6.78,495.12
206,703.1,0.69,73,51.8,6.63,514.44
207,775.8,2.9,79,50.3,4.31,470.6
208,775.7,1.59,163,41.6,5.69,527.5
209,775.8,2.06,447,31.5,3.03,510.15
210,900.0,2.17,262,72.4,5.34,588.08
211,778.5,1.87,280,46.3,5.31,525.18
212,806.8,1.01,38,64.1,4.01,513.34
213,797.7,2.39,493,77.4,5.17,555.14
214,782.6,2.51,83,58.2,4.07,491.49
215,734.2,1.88,293,49.9,5.85,500.54
216,787.9,1.72,68,43.4,5.19,497.49
217,711.4,0.78,252,76.7,6.49,533.95
218,738.2,0.71,338,64.1,3.47,510.15
219,725.7,1.35,158,63.3,4.13,480.99
220,754.1,1.28,19,51.3,4.51,511.45
221,865.7,2.88,141,72.3,5.49,563.74
222,656.6,2.46,71,65.7,5.27,439.99
223,784.3,2.15,397,44.2,5.43,548.82
224,669.4,1.79,392,60.0,4.35,485.15
225,726.4,0.92,271,51.5,3.1,497.01
226,804.4,2.95,227,30.3,4.24,477.23
227,753.2,1.44,241,70.4,6.41,553.63
228,696.1,0.77,345,36.1,4.38,514.9
229,714.2,1.73,81,55.5,5.18,490.49
230,784.0,2.68,485,46.8,5.06,550.83
231,713.5,2.72,25,47.1,5.18,457.09
232,760.8,0.53,47,53.9,3.66,499.78
233,752.3,2.72,186,79.9,5.82,509.15
234,717.4,1.18,454,50.4,4.9,548.52
235,857.2,0.6,330,39.1,7.31,608.48
236,781.7,2.62,391,60.7,4.63,553.33
237,648.7,2.66,92,41.8,5.98,436.57
238,759.3,1.99,443,35.3,4.61,518.1
239,716.9,1.94,26,32.5,6.92,474.35
240,792.6,2.53,378,31.1,5.73,538.96
241,710.4,2.47,165,51.6,3.71,480.75
242,744.3,2.73,181,51.3,6.41,498.17
243,775.2,1.88,405,39.3,5.78,533.61
244,793.3,2.92,79,69.2,4.53,498.6
245,690.0,2.99,80,36.5,3.39,445.41
246,733.3,0.79,264,75.8,6.2,541.42
247,726.3,2.62,465,59.4,6.73,537.41
248,717.3,1.75,140,31.4,6.12,492.93
249,838.3,1.47,58,78.1,5.87,549.46
250,770.2,2.03,30,45.4,5.56,522.35
251,687.0,0.64,401,52.5,6.06,545.44
252,795.9,1.77,329,44.2,4.74,561.16
253,856.1,2.68,229,66.4,3.19,565.09
254,801.6,1.03,196,54.3,5.76,564.19
255,674.0,1.57,423,36.6,5.39,500.77
256,725.8,2.85,41,35.2,3.6,457.01
257,813.3,1.57,212,66.3,2.81,547.45
258,714.6,1.4,285,41.9,5.08,513.76
259,772.2,1.6,251,36.9,4.84,520.52
260,788.7,1.8,25,55.0,4.76,518.86
261,703.7,2.08,418,70.1,5.58,507.84
262,747.0,2.5,325,43.9,4.25,506.16
263,600.0,1.63,182,43.8,5.69,454.29
264,698.8,2.54,146,71.7,5.69,479.09
265,737.4,1.83,188,37.4,2.34,482.44
266,687.6,1.35,368,60.8,4.93,516.96
267,831.6,2.14,70,77.8,5.2,539.77
268,678.5,2.29,433,72.1,5.75,507.95
269,728.0,1.9,113,33.1,5.55,484.08
270,756.5,0.64,326,46.0,3.25,527.92
271,822.1,0.92,204,37.1,5.1,539.53
272,678.2,1.21,265,77.5,4.74,512.27
273,808.2,1.21,473,79.3,6.07,599.13
274,750.5,2.18,85,41.7,3.8,479.64
275,700.9,0.55,280,63.5,5.0,512.36
276,773.1,2.39,190,72.1,5.87,524.05
277,760.0,1.16,141,41.7,5.76,521.99
278,720.0,1.28,160,39.4,4.85,490.72
279,753.5,1.82,164,30.6,6.18,522.14
280,730.7,1.04,368,50.6,4.27,515.02
281,755.7,2.71,244,75.0,5.73,507.04
282,783.1,0.71,257,75.1,5.9,572.63
283,829.3,1.61,174,36.4,3.63,544.91
284,688.1,2.62,214,40.2,6.3,482.41
285,856.7,2.04,436,50.4,3.35,558.44
286,652.4,1.23,174,69.0,5.37,492.13
287,742.4,1.55,497,60.6,4.53,546.24
288,779.4,2.27,222,55.7,6.01,529.56
289,764.0,2.93,422,59.6,5.33,546.14
290,718.9,2.73,263,34.8,6.79,508.88
291,739.6,1.36,166,53.9,6.14,514.32
292,725.3,3.0,186,79.6,5.13,471.51
293,720.5,0.51,84,34.4,6.21,504.88
294,792.5,0.57,444,56.0,4.9,581.74
295,767.9,2.56,187,44.8,3.91,500.41
296,715.4,1.0,293,57.0,4.54,502.67
297,795.0,0.65,339,58.7,4.89,558.43
298,765.4,1.09,142,58.9,2.0,467.3
299,790.6,1.57,134,72.6,6.38,544.14
300,781.5,2.33,321,49.5,4.9,512.13
301,708.6,2.06,329,55.8,5.96,507.48
302,722.0,1.09,136,30.5,5.16,487.38
303,787.4,1.76,386,69.5,3.46,547.76
304,780.5,2.82,354,43.0,5.08,529.17
305,749.0,2.54,234,70.8,4.88,498.87
306,755.9,1.31,26,43.3,4.31,492.63
307,813.9,2.96,490,30.5,4.61,554.22
308,720.4,2.27,482,37.7,5.03,523.19
309,777.4,0.66,362,79.3,2.55,511.11
310,739.9,0.59,320,46.0,5.36,562.65
311,739.1,0.92,255,35.4,5.6,531.22
312,804.9,2.32,146,35.9,5.5,531.88
313,791.3,0.96,484,45.5,4.72,564.03
314,790.7,1.78,226,31.9,6.96,534.03
315,815.3,0.73,205,55.6,5.51,555.97
316,751.1,2.8,210,40.7,4.58,510.3
317,784.1,1.36,375,56.0,3.76,540.23
318,734.5,2.77,216,37.0,3.64,474.45
319,766.2,2.86,25,51.5,5.4,502.23
320,743.5,0.52,409,59.9,5.72,555.84
321,754.8,1.66,22,33.1,5.12,489.35
322,779.8,0.56,87,49.9,4.94,514.16
323,709.1,2.77,223,45.1,4.66,494.64
324,854.6,1.8,350,42.0,5.49,569.14
325,699.7,0.69,338,60.2,4.22,514.27
326,689.3,0.78,456,59.4,4.98,496.96
327,807.9,1.46,128,61.5,5.09,533.95
328,789.6,2.85,434,37.9,5.58,540.78
329,781.2,2.23,190,44.3,4.18,503.33
330,781.4,2.67,333,40.5,4.0,498.28
331,749.4,1.42,339,57.0,5.05,539.24
332,705.1,0.61,364,53.1,5.21,510.38
333,753.8,2.94,382,46.5,4.99,498.42
334,716.1,0.54,146,69.3,2.29,485.85
335,798.8,2.87,188,34.7,5.33,525.07
336,742.6,1.42,441,78.7,7.57,569.33
337,708.7,0.53,217,35.8,5.92,519.25
338,733.9,2.22,442,68.7,3.04,506.3
339,770.6,2.95,411,48.4,4.59,516.22
340,721.8,2.91,403,73.3,4.8,517.46
341,708.9,0.9,478,33.7,4.68,543.39
342,762.2,0.95,380,48.7,3.76,549.58
343,762.2,1.91,63,46.8,4.11,494.7
344,724.7,2.09,88,79.7,5.93,498.93
345,726.4,2.35,280,79.3,5.75,499.58
346,761.6,0.95,404,39.5,4.89,542.71
347,677.6,2.9,433,61.5,5.95,492.19
348,679.6,2.1,127,56.8,4.34,461.37
349,714.1,2.62,377,37.7,4.66,504.1
350,739.3,1.85,115,38.4,4.64,484.4
351,765.5,1.54,114,79.5,3.45,479.32
352,823.8,2.94,312,52.6,4.74,550.11
353,792.9,1.96,127,36.3,6.64,519.19
354,742.0,2.67,391,40.7,6.53,518.03
355,749.0,2.88,238,43.4,5.12,503.23
356,699.9,2.19,157,55.5,4.78,470.29
357,749.1,1.87,363,46.8,6.77,542.09
358,735.6,0.51,159,52.8,4.75,519.35
359,766.1,0.6,313,38.3,4.48,542.46
360,708.6,1.0,265,46.3,5.96,515.4
361,776.0,0.97,91,33.5,3.29,503.15
362,826.6,1.14,25,74.5,4.89,561.31
363,744.6,1.26,398,39.9,4.93,548.77
364,770.1,1.4,202,67.8,5.52,543.26
365,784.5,1.55,220,47.5,4.41,530.34
366,729.9,0.75,83,53.7,4.83,518.56
367,761.2,0.61,286,44.6,5.09,551.8
368,750.6,2.18,70,64.8,4.75,503.98
369,754.9,1.84,470,72.2,4.81,561.73
370,711.3,1.61,448,44.3,5.83,538.02
371,751.2,2.09,33,42.1,5.58,494.83
372,774.9,2.57,32,64.1,5.52,494.61
373,822.6,1.57,352,39.8,3.36,567.64
374,798.0,2.1,404,62.0,5.43,558.03
375,857.7,2.88,440,34.7,4.16,549.27
376,711.6,2.6,267,61.0,6.99,512.4
377,793.6,1.57,207,55.7,4.99,533.57
378,759.2,2.11,62,35.7,4.8,477.77
379,859.5,0.94,148,62.5,6.52,572.67
380,709.6,1.9,280,52.3,6.21,511.32
381,708.0,2.95,210,40.9,4.76,471.89
382,720.0,1.8,405,47.7,3.82,496.39
383,643.8,2.82,387,54.6,3.24,451.6
384,723.7,1.52,388,34.6,3.95,521.68
385,712.0,3.0,173,77.9,5.32,455.35
386,757.5,1.95,101,63.3,4.85,498.37
387,767.1,0.61,32,35.1,4.06,503.49
388,843.8,1.97,420,71.1,4.61,584.13
389,797.5,1.19,97,46.1,6.72,539.22
390,721.2,0.58,407,59.8,6.12,547.78
391,705.1,2.55,191,43.9,6.75,496.43
392,774.6,1.19,364,66.7,4.31,547.2
393,684.0,2.49,292,66.2,5.81,509.1
394,841.6,1.22,30,57.6,5.7,553.09
395,809.0,0.99,58,42.0,6.47,549.8
396,726.5,2.93,199,42.7,5.01,480.87
397,664.3,1.4,214,49.1,4.22,490.56
398,817.7,2.0,465,37.3,4.1,552.34
399,744.3,2.02,53,46.9,4.99,473.64
400,811.9,1.9,309,64.2,5.08,552.23
401,670.3,2.79,137,71.5,5.27,456.27
402,720.0,2.19,491,46.6,3.6,510.94
403,750.3,1.51,198,41.7,6.29,542.41
404,752.3,2.66,179,71.6,3.65,481.13
405,727.5,0.95,288,74.5,6.29,539.16
406,781.1,1.86,210,50.5,4.68,504.87
407,696.6,2.88,394,31.3,6.85,522.53
408,742.9,2.06,134,64.7,3.25,460.05
409,756.0,2.54,301,69.2,6.18,529.5
410,775.7,2.13,320,30.9,3.97,503.57
411,785.6,2.6,375,59.8,3.9,513.7
412,693.8,2.86,25,59.4,6.66,454.94
413,673.3,1.18,354,48.9,5.75,497.84
414,813.9,0.92,283,67.5,3.52,555.9
415,766.6,1.71,491,51.4,5.2,542.54
416,712.6,2.25,303,63.8,6.4,524.03
417,827.6,1.07,460,55.9,5.56,606.13
418,755.8,0.51,29,42.4,5.03,525.84
419,809.0,1.36,28,60.3,6.15,519.06
420,753.4,2.92,22,66.8,5.37,472.39
421,853.0,2.24,26,78.7,3.34,516.62
422,837.8,1.5,215,49.0,5.1,550.26
423,737.6,0.98,39,33.2,5.48,504.8
424,798.6,1.39,479,79.4,5.22,583.4
425,782.3,0.92,308,61.2,4.6,540.32
426,818.4,0.77,313,77.3,5.46,577.2
427,701.8,2.77,52,35.2,5.18,453.0
428,784.3,2.99,102,47.1,3.01,475.97
429,802.9,0.91,379,36.7,3.67,546.14
430,662.1,0.64,75,71.8,5.31,469.33
431,690.8,1.32,128,74.0,5.75,501.31
432,648.0,1.65,318,55.1,4.22,462.83
433,736.5,1.01,81,39.3,5.74,511.69
434,785.9,1.25,343,36.4,5.5,554.29
435,825.1,1.0,171,59.4,4.81,543.99
436,753.7,2.44,470,55.3,5.43,544.05
437,831.4,2.28,339,64.7,5.4,555.52
438,681.0,2.09,337,45.3,5.88,502.5
439,664.8,1.47,464,50.1,5.92,507.76
440,747.2,2.77,278,31.1,3.96,490.58
441,769.2,2.92,227,60.5,4.27,500.51
442,748.4,0.93,263,51.2,6.48,536.08
443,646.6,1.06,449,76.0,5.88,514.78
444,745.5,1.81,68,62.1,5.64,493.52
445,684.8,0.73,41,49.9,5.79,495.53
446,783.5,1.59,348,43.2,6.14,546.47
447,768.3,1.95,129,75.3,5.13,513.68
448,703.0,1.81,472,30.8,4.62,491.9
449,724.3,1.33,319,46.3,5.56,516.23
450,697.0,1.86,11,77.2,4.97,474.96
451,746.9,2.9,127,62.7,6.55,503.94
452,797.8,1.02,46,56.6,6.53,543.25
453,700.7,2.14,476,40.2,5.89,520.16
454,775.2,0.61,106,71.7,3.72,524.47
455,723.5,0.67,368,40.2,3.9,537.32
456,710.4,1.88,379,42.4,3.68,489.6
457,744.6,0.76,426,39.6,5.19,561.07
458,698.2,0.56,266,37.9,5.92,508.69
459,722.3,0.93,137,77.7,4.69,509.84
460,690.1,1.91,368,60.1,4.35,489.49
461,848.2,2.26,165,61.9,5.1,554.89
462,751.8,1.01,154,77.7,4.22,504.05
463,715.0,2.17,66,41.5,5.27,462.24
464,760.7,0.96,79,30.3,4.76,504.31
465,744.4,2.03,445,59.9,4.34,521.92
466,739.0,1.53,53,55.4,5.12,486.23
467,780.7,2.13,221,53.9,5.89,528.24
468,787.9,2.99,184,33.1,3.48,477.13
469,723.5,2.84,150,52.7,5.17,479.38
470,721.2,0.51,85,44.4,2.9,486.52
471,736.2,2.71,167,43.7,4.75,466.24
472,634.9,0.67,94,41.1,5.7,468.1
473,674.2,2.88,331,46.6,6.02,484.76
474,818.3,1.2,318,47.7,4.48,562.77
475,832.2,1.46,27,45.4,4.46,526.25
476,737.5,0.73,293,78.9,4.77,539.87
477,778.8,0.78,397,76.6,3.9,562.18
478,765.6,2.32,51,58.7,5.16,496.83
479,900.0,2.86,391,79.1,4.0,586.52
480,806.0,2.03,382,79.6,5.56,580.66
481,743.6,2.29,143,47.8,4.28,498.86
482,702.2,2.4,111,52.3,4.68,465.03
483,669.7,1.16,146,78.0,5.5,481.5
484,760.2,0.61,413,60.4,5.64,578.24
485,712.2,0.5,231,40.6,5.59,541.26
486,678.9,1.38,238,64.5,5.26,493.92
487,717.7,1.1,303,40.3,3.91,511.13
488,695.9,0.66,461,47.0,4.97,529.31
489,834.4,0.95,495,41.4,4.83,597.35
490,794.1,0.81,315,42.2,4.58,532.65
491,749.6,2.79,325,30.2,5.07,499.87
492,824.0,0.85,406,74.0,4.14,587.7
493,753.9,1.84,128,44.8,4.97,491.71
494,706.9,1.98,108,34.3,4.7,475.44
495,826.2,1.86,359,34.3,4.54,559.34
496,776.9,0.75,435,57.8,3.88,563.78
497,698.1,1.3,333,79.6,3.86,502.24
498,740.5,0.63,418,37.3,6.34,564.8
499,706.2,1.49,168,35.0,5.11,506.27
500,680.9,0.97,248,51.9,6.81,507.57
501,796.3,1.9,405,58.2,6.86,564.6
502,845.5,2.23,329,44.7,6.23,568.93
503,680.1,1.83,344,45.1,3.72,485.52
504,778.1,1.59,198,51.2,6.41,527.04
505,717.5,1.47,318,45.7,4.87,507.26
506,725.6,2.6,258,75.8,4.72,512.11
507,720.4,1.05,35,32.1,4.58,490.94
508,706.8,2.34,198,41.7,4.65,466.76
509,752.4,2.39,403,70.4,5.4,553.25
510,708.5,1.55,149,71.7,7.3,509.13
511,763.5,1.24,415,35.6,3.36,535.59
512,747.5,1.68,497,78.7,6.94,569.9
513,738.1,0.73,190,64.7,6.51,544.69
514,704.6,0.61,30,43.6,4.82,471.96
515,721.2,0.78,172,52.8,4.5,499.66
516,787.8,0.97,80,44.9,3.65,502.64
517,775.0,1.76,91,37.5,4.09,486.85
518,701.1,2.62,164,44.6,4.39,456.91
519,755.0,1.09,325,59.0,4.9,530.44
520,787.6,2.84,364,71.3,4.97,541.98
521,666.5,2.89,56,48.2,5.76,440.43
522,777.2,2.9,203,47.4,5.65,507.94
523,716.9,2.59,233,53.4,5.24,471.25
524,778.5,1.41,408,62.2,4.96,565.73
525,711.8,0.68,246,67.6,6.14,511.59
526,659.8,1.92,289,46.3,5.84,484.96
527,668.6,1.9,477,59.3,5.44,523.96
528,752.4,2.62,19,49.5,4.59,488.32
529,763.0,2.99,385,65.8,6.11,519.25
530,704.8,1.77,481,38.2,5.83,525.64
531,781.9,1.36,161,42.8,4.75,529.55
532,666.9,0.96,353,51.3,3.08,483.02
533,746.7,0.51,113,74.5,5.1,534.71
534,689.4,1.77,133,58.7,4.31,450.57
535,717.4,1.89,194,78.3,5.72,507.48
536,752.4,2.56,299,35.2,5.22,513.72
537,707.0,1.76,50,53.0,3.33,447.85
538,730.8,2.79,433,51.0,5.29,524.69
539,800.3,2.07,20,60.0,6.72,513.36
540,721.2,2.6,227,70.6,4.85,507.89
541,791.8,0.87,10,72.1,4.99,521.67
542,693.5,2.64,423,63.5,4.66,497.13
543,776.5,2.19,180,62.1,5.07,506.46
544,822.1,0.93,347,77.5,6.54,589.1
545,626.4,0.97,291,49.2,6.06,478.99
546,710.2,2.82,62,71.6,4.42,463.22
547,778.9,0.58,134,76.1,4.93,541.4
548,739.8,1.66,184,54.6,4.99,505.27
549,768.6,1.28,274,66.5,5.41,543.86
550,719.8,2.16,274,48.9,5.43,491.83
551,754.3,2.6,394,37.9,4.9,508.51
552,742.2,1.4,208,59.3,3.76,516.79
553,808.4,1.57,265,39.8,4.89,536.09
554,762.7,2.95,181,52.9,4.64,496.32
555,766.9,2.46,68,73.6,4.1,466.58
556,729.4,2.74,449,34.3,5.79,523.06
557,725.6,1.6,115,31.5,5.02,498.49
558,728.4,1.09,444,60.3,3.97,534.74
559,769.7,1.53,134,46.6,6.98,532.18
560,729.0,2.29,25,50.9,5.42,491.18
561,764.5,0.77,47,50.3,5.79,522.74
562,853.8,1.18,404,34.3,6.05,588.15
563,793.6,0.62,252,30.2,4.56,539.98
564,733.7,1.58,418,74.9,5.54,536.36
565,810.1,2.57,486,40.9,3.07,550.38
566,729.6,0.56,476,51.3,5.96,573.41
567,648.1,2.19,219,78.6,4.93,477.3
568,699.6,2.83,324,71.3,5.53,488.8
569,656.5,1.09,294,35.4,4.93,485.83
570,732.4,2.23,473,55.4,6.82,551.72
571,750.9,2.94,177,66.5,6.22,492.86
572,833.8,2.91,273,64.9,2.39,529.95
573,766.3,1.09,107,68.0,5.55,534.01
574,739.0,0.75,143,52.9,4.72,517.81
575,791.5,0.87,438,38.8,5.59,581.11
