ID_Registro,Demanda_Historica_MesAnterior,Precio_Materia_Prima_USD,Capacidad_Almacen_Pct,Indice_Estacionalidad,Ordenes_Pendientes_Clientes,Demanda_Estimada_Unidades
143,408.0,21.61,57.9,1.04,122,720.0
144,538.0,19.25,85.3,1.46,32,617.0
145,526.0,28.27,78.1,1.4,145,885.0
146,565.0,44.24,44.2,1.0,40,550.0
147,524.0,35.69,47.2,1.1,28,512.0
148,538.0,22.1,43.3,1.05,18,516.0
149,472.0,39.91,45.9,1.02,52,541.0
150,536.0,35.47,47.9,1.18,37,570.0
151,442.0,32.41,66.0,0.89,14,434.0
152,393.0,42.73,33.5,0.93,30,393.0
153,437.0,44.39,45.0,0.99,106,615.0
154,373.0,19.42,40.5,1.27,104,683.0
155,525.0,16.38,69.3,1.06,97,749.0
156,447.0,31.81,26.5,0.94,70,588.0
157,474.0,31.33,44.9,0.98,30,472.0
158,471.0,21.09,24.2,1.1,53,578.0
159,570.0,25.88,82.9,1.16,13,509.0
160,390.0,21.97,88.2,1.43,86,667.0
161,533.0,21.76,56.4,0.97,92,710.0
162,523.0,27.92,54.1,1.23,112,775.0
163,464.0,29.4,93.9,0.97,15,446.0
164,567.0,21.0,88.9,1.29,37,617.0
165,419.0,32.32,68.1,1.16,24,437.0
166,506.0,23.16,30.9,0.83,63,590.0
167,573.0,30.9,77.2,1.37,79,736.0
168,403.0,41.49,48.8,1.32,116,709.0
169,402.0,23.43,54.0,1.23,14,442.0
170,434.0,19.72,86.6,1.18,134,810.0
171,458.0,37.14,43.7,1.07,30,458.0
172,459.0,34.99,63.9,1.26,11,424.0
173,484.0,42.01,61.8,1.45,25,534.0
174,433.0,40.75,23.4,0.89,104,637.0
175,435.0,26.5,27.8,1.46,130,788.0
176,407.0,17.64,88.4,1.19,25,486.0
177,463.0,37.79,26.0,1.07,99,659.0
178,449.0,43.68,59.4,1.13,74,544.0
179,573.0,42.17,46.7,1.06,41,569.0
180,558.0,44.11,74.1,0.99,19,495.0
181,375.0,29.74,55.8,0.86,129,667.0
182,477.0,22.02,84.1,1.41,125,811.0
183,498.0,26.92,78.2,1.49,33,574.0
184,584.0,19.14,50.7,1.38,128,908.0
185,599.0,16.95,38.1,1.0,79,769.0
186,590.0,19.91,31.7,0.83,40,603.0
187,428.0,40.89,63.1,1.03,52,500.0
188,381.0,42.15,33.1,0.81,41,421.0
189,428.0,21.47,50.6,1.38,146,863.0
190,391.0,39.96,66.5,1.24,31,441.0
191,539.0,17.02,57.7,1.34,84,749.0
192,541.0,41.65,85.8,1.49,79,712.0
193,417.0,16.11,56.4,1.12,140,800.0
194,410.0,39.22,61.4,1.15,123,679.0
195,432.0,34.69,53.2,1.38,106,704.0
196,567.0,18.73,62.9,1.12,144,876.0
197,333.0,21.61,70.1,1.29,113,686.0
198,547.0,22.27,78.8,0.81,32,535.0
199,557.0,23.26,28.5,1.05,141,886.0
200,558.0,16.88,61.5,0.83,86,710.0
201,550.0,22.28,92.9,1.23,25,551.0
202,558.0,31.33,55.7,1.23,11,496.0
203,463.0,42.87,66.1,1.01,111,656.0
204,434.0,37.01,47.1,1.36,143,817.0
205,350.0,29.15,53.2,1.19,99,634.0
206,450.0,17.95,24.6,1.38,63,637.0
207,509.0,24.0,86.6,0.86,14,454.0
208,508.0,17.64,73.6,1.0,89,677.0
209,565.0,26.22,92.8,1.15,88,719.0
210,482.0,22.47,57.7,1.07,139,837.0
211,535.0,19.1,36.1,1.17,17,546.0
212,577.0,27.29,20.3,1.48,28,592.0
213,505.0,44.4,22.6,1.07,57,565.0
214,476.0,23.23,67.8,1.36,134,826.0
215,383.0,29.58,27.0,1.33,68,596.0
216,420.0,31.13,46.7,1.42,10,437.0
217,580.0,22.22,93.5,1.38,140,926.0
218,515.0,44.56,60.8,1.09,13,442.0
219,361.0,42.27,64.3,1.34,13,398.0
220,514.0,25.99,91.3,0.8,64,611.0
221,442.0,16.07,81.3,0.83,136,797.0
222,568.0,19.12,76.8,1.05,19,523.0
223,452.0,39.29,75.5,1.37,10,448.0
224,495.0,34.85,71.7,1.3,59,611.0
225,612.0,15.14,24.5,1.18,55,682.0
226,563.0,29.0,23.1,1.0,42,572.0
227,526.0,27.74,33.4,0.91,27,517.0
228,626.0,37.03,72.2,1.21,142,915.0
229,598.0,29.99,72.6,1.42,141,950.0
230,435.0,31.18,49.7,0.84,54,492.0
231,494.0,21.61,89.0,1.24,74,641.0
232,528.0,40.0,65.2,1.07,69,629.0
233,597.0,36.82,73.4,1.38,34,602.0
234,481.0,16.82,73.7,1.38,84,700.0
235,378.0,20.59,82.9,0.89,66,550.0
236,547.0,42.34,80.9,1.12,128,809.0
237,481.0,17.93,21.5,1.26,140,855.0
238,619.0,20.75,23.0,1.38,53,702.0
239,317.0,41.02,27.8,1.09,20,334.0
240,669.0,25.12,91.4,1.13,78,790.0
241,446.0,36.94,62.0,0.9,96,645.0
242,335.0,32.36,81.9,1.22,95,593.0
243,507.0,34.77,69.6,1.09,145,833.0
244,578.0,33.77,80.8,0.81,62,612.0
245,480.0,28.93,67.7,1.24,47,581.0
246,580.0,39.25,67.4,0.81,88,679.0
247,459.0,20.37,68.6,0.98,11,444.0
248,599.0,26.63,28.1,0.96,33,588.0
249,476.0,39.43,78.9,1.15,146,833.0
250,533.0,21.87,41.2,1.08,41,578.0
251,636.0,29.95,84.2,1.43,40,687.0
252,538.0,26.17,64.3,1.34,45,603.0
253,466.0,43.17,91.4,1.16,96,668.0
254,447.0,35.12,85.4,1.4,109,718.0
255,538.0,43.22,57.2,1.28,17,503.0
256,414.0,38.31,45.8,0.85,61,486.0
257,485.0,15.53,63.4,1.14,134,842.0
258,462.0,21.45,79.1,1.08,93,634.0
259,361.0,27.34,51.1,1.09,141,714.0
260,528.0,29.39,40.4,1.3,117,811.0
261,585.0,36.45,81.9,1.3,55,668.0
262,476.0,30.56,77.7,1.35,67,655.0
263,382.0,26.49,22.7,1.09,24,434.0
264,537.0,28.19,64.3,1.42,149,898.0
265,341.0,21.51,75.6,0.9,72,514.0
266,449.0,29.31,20.2,1.18,108,740.0
267,495.0,18.86,38.7,1.07,67,633.0
268,456.0,17.61,77.8,0.85,86,662.0
269,370.0,27.23,77.0,1.04,136,702.0
270,534.0,36.06,21.3,1.38,74,665.0
271,507.0,35.18,91.0,1.14,83,652.0
272,484.0,17.74,33.1,0.92,143,838.0
273,597.0,39.44,36.6,1.17,135,879.0
274,471.0,23.86,94.3,1.37,78,646.0
275,542.0,27.06,68.6,1.23,130,841.0
276,338.0,40.81,68.1,0.85,122,621.0
277,541.0,21.48,36.6,1.42,131,857.0
278,428.0,28.89,65.1,1.34,94,679.0
279,561.0,15.99,43.0,1.32,89,757.0
280,414.0,20.66,58.3,1.3,56,553.0
281,572.0,42.89,82.6,1.29,137,840.0
282,492.0,38.62,29.5,1.18,79,618.0
283,576.0,36.71,74.0,0.82,49,575.0
284,614.0,22.23,75.4,1.11,23,611.0
285,532.0,38.05,56.7,1.39,14,495.0
286,419.0,33.69,48.5,1.32,105,675.0
287,536.0,36.27,80.6,1.24,132,810.0
288,429.0,25.19,58.3,1.19,19,469.0
289,526.0,19.6,55.2,1.42,14,540.0
290,436.0,32.43,33.9,1.4,62,588.0
291,415.0,21.36,49.4,0.93,134,760.0
292,432.0,37.53,50.3,1.07,21,439.0
293,531.0,24.69,50.4,1.1,35,561.0
294,492.0,23.19,90.8,1.34,77,669.0
295,546.0,36.65,23.2,0.95,14,449.0
296,459.0,31.11,51.6,0.97,66,575.0
297,609.0,33.2,89.3,0.97,19,526.0
298,382.0,44.04,62.3,0.94,67,526.0
299,492.0,29.68,30.9,0.95,97,680.0
300,411.0,30.29,44.6,1.25,102,673.0
301,521.0,28.85,88.4,1.12,30,541.0
302,613.0,39.15,43.9,1.11,60,650.0
303,513.0,20.41,86.4,0.82,104,712.0
304,577.0,16.28,49.8,1.36,74,731.0
305,541.0,18.39,75.0,0.98,127,835.0
306,512.0,33.54,70.3,1.28,57,625.0
307,576.0,41.23,77.0,0.83,71,622.0
308,513.0,27.34,31.2,1.4,44,608.0
309,501.0,22.66,39.3,0.96,11,455.0
310,479.0,37.37,24.8,1.27,22,459.0
311,546.0,42.58,58.5,1.26,120,762.0
312,392.0,27.93,89.4,1.43,131,776.0
313,583.0,42.71,34.1,1.28,137,883.0
314,327.0,40.35,94.2,1.31,146,734.0
315,491.0,39.2,65.7,1.09,15,443.0
316,548.0,32.6,24.9,1.2,51,620.0
317,445.0,17.7,21.7,0.87,115,721.0
318,523.0,29.07,50.7,1.44,121,800.0
319,445.0,16.77,55.6,1.01,85,648.0
320,458.0,42.15,80.6,1.32,70,584.0
321,591.0,23.4,22.6,1.29,36,645.0
322,549.0,20.12,35.7,1.14,94,756.0
323,451.0,23.43,22.5,1.12,113,716.0
324,431.0,44.65,92.5,1.28,146,760.0
325,552.0,17.64,51.8,1.47,143,933.0
326,433.0,34.7,41.7,1.31,114,737.0
327,532.0,32.75,80.9,0.97,137,837.0
328,506.0,39.66,82.5,1.43,21,507.0
329,450.0,22.48,36.3,0.87,29,469.0
330,555.0,43.52,78.4,1.41,99,742.0
331,672.0,24.92,48.3,1.11,79,732.0
332,335.0,32.29,49.6,0.87,14,332.0
333,435.0,37.35,80.3,1.16,60,561.0
334,464.0,18.66,48.7,1.5,141,889.0
335,446.0,36.72,29.5,1.04,67,583.0
336,604.0,17.86,64.0,1.12,30,596.0
337,487.0,37.61,43.6,1.49,140,838.0
338,535.0,28.47,90.2,0.93,131,815.0
339,533.0,32.19,46.5,1.41,81,713.0
340,603.0,33.26,35.6,1.45,89,777.0
341,400.0,40.26,34.8,1.27,145,773.0
342,472.0,16.72,42.1,0.8,61,569.0
343,405.0,16.02,51.9,1.18,138,785.0
344,319.0,39.25,53.1,1.37,109,635.0
345,340.0,36.09,30.8,1.39,116,669.0
346,432.0,33.21,56.2,0.82,13,354.0
347,451.0,32.83,87.2,0.97,136,760.0
348,618.0,24.41,39.0,1.43,123,895.0
349,515.0,42.33,65.9,1.49,12,472.0
350,485.0,37.09,92.0,1.23,13,465.0
351,407.0,22.29,62.0,1.24,77,625.0
352,403.0,20.17,34.2,1.16,120,734.0
353,543.0,45.0,53.5,1.47,134,863.0
354,636.0,21.94,46.1,0.89,64,686.0
355,422.0,37.43,33.0,1.08,141,777.0
356,498.0,32.9,73.9,1.19,10,464.0
357,505.0,23.1,91.3,1.36,120,813.0
358,446.0,35.54,56.7,1.22,51,544.0
359,624.0,42.51,44.9,1.33,26,596.0
360,664.0,37.63,86.8,0.87,100,798.0
361,608.0,23.4,36.4,0.8,77,710.0
362,631.0,19.23,29.0,1.16,129,936.0
363,559.0,30.91,73.0,1.09,69,657.0
364,376.0,19.82,54.0,1.38,143,816.0
365,467.0,26.94,23.7,1.13,105,730.0
366,482.0,23.3,65.5,1.06,135,805.0
367,504.0,31.2,88.8,1.07,27,536.0
368,600.0,41.14,50.6,0.85,80,673.0
369,460.0,21.25,34.7,1.12,35,533.0
370,709.0,18.42,32.5,0.99,141,976.0
371,496.0,42.67,49.1,1.2,30,524.0
372,536.0,34.77,91.9,1.43,72,678.0
373,649.0,23.29,59.6,0.87,40,635.0
374,573.0,19.48,32.2,1.14,55,664.0
375,446.0,36.92,35.5,1.18,72,623.0
376,486.0,36.7,34.0,1.09,16,472.0
377,502.0,18.59,40.8,1.4,116,824.0
378,324.0,26.36,60.8,0.87,149,729.0
379,495.0,44.86,40.3,0.82,137,758.0
380,464.0,27.88,91.6,1.34,100,721.0
381,487.0,39.95,60.0,1.36,112,751.0
382,529.0,28.59,87.4,1.17,97,759.0
383,636.0,41.46,56.5,0.93,101,780.0
384,634.0,42.82,23.6,1.48,119,853.0
385,545.0,32.17,31.3,1.16,127,823.0
386,436.0,17.35,64.5,1.34,51,596.0
387,458.0,27.16,22.7,0.94,24,452.0
388,569.0,16.84,94.0,0.97,28,586.0
389,452.0,24.07,61.7,1.34,50,572.0
390,469.0,37.18,54.7,1.14,77,632.0
391,377.0,27.76,41.1,1.08,135,735.0
392,588.0,40.56,67.8,1.17,33,593.0
393,518.0,16.82,81.1,1.18,134,851.0
394,583.0,40.98,22.7,0.98,127,788.0
395,566.0,16.55,80.2,0.96,111,798.0
396,542.0,18.88,73.2,0.99,43,610.0
397,545.0,21.05,74.8,1.05,136,873.0
398,584.0,25.19,65.8,0.92,76,697.0
399,376.0,31.57,74.9,1.01,82,528.0
400,433.0,17.47,93.6,1.42,16,503.0
401,525.0,16.22,78.5,1.05,115,808.0
402,737.0,27.38,20.3,1.07,115,902.0
403,474.0,18.97,61.7,1.2,122,790.0
404,520.0,41.21,76.5,1.33,26,534.0
405,432.0,29.0,62.6,0.9,38,476.0
406,533.0,39.45,74.5,1.12,118,735.0
407,499.0,29.73,70.6,1.32,29,533.0
408,494.0,44.41,23.2,1.46,58,622.0
409,595.0,28.89,72.7,1.31,121,849.0
410,601.0,34.97,31.3,1.29,122,867.0
411,514.0,38.91,57.3,0.86,143,797.0
412,347.0,44.79,40.2,1.48,99,604.0
413,622.0,21.26,73.3,1.05,137,893.0
414,589.0,23.26,90.7,0.8,97,739.0
415,471.0,35.3,60.8,1.48,148,860.0
416,535.0,31.58,66.5,1.26,143,846.0
417,610.0,36.98,70.1,1.32,16,584.0
418,400.0,24.36,34.1,1.31,18,455.0
419,430.0,15.7,45.1,1.0,145,835.0
420,287.0,32.85,93.0,1.46,106,620.0
421,513.0,31.01,71.0,1.39,148,899.0
422,409.0,31.98,81.9,1.02,18,407.0
423,359.0,17.44,86.2,1.03,65,533.0
424,400.0,26.25,77.3,1.44,61,580.0
425,561.0,38.5,52.0,0.9,38,540.0
426,631.0,26.39,55.7,1.29,58,703.0
427,501.0,19.94,20.8,1.46,85,725.0
428,579.0,33.7,94.8,1.46,108,803.0
429,554.0,26.88,28.7,1.29,100,750.0
430,437.0,29.5,79.1,0.91,26,438.0
431,624.0,44.69,70.7,0.91,132,824.0
432,539.0,24.42,21.7,1.3,120,837.0
433,632.0,30.91,32.4,0.99,122,824.0
434,494.0,20.15,42.3,0.84,57,579.0
435,573.0,15.14,69.9,0.94,76,687.0
436,382.0,30.81,89.0,1.21,14,430.0
437,517.0,42.55,86.4,1.44,66,622.0
438,488.0,25.17,59.2,1.03,105,727.0
439,591.0,38.8,68.5,1.17,41,601.0
440,631.0,36.2,49.6,1.09,149,928.0
441,634.0,39.16,60.4,0.89,68,681.0
442,537.0,20.3,74.8,1.19,18,544.0
443,546.0,15.29,37.6,1.47,15,562.0
444,469.0,43.96,50.2,1.28,14,424.0
445,505.0,27.25,23.7,1.31,133,849.0
446,489.0,42.02,70.6,1.18,143,801.0
447,464.0,43.17,54.9,1.39,44,544.0
448,544.0,22.98,22.0,0.89,42,557.0
449,488.0,23.05,65.4,0.99,22,501.0
450,630.0,29.95,43.8,1.18,137,925.0
451,477.0,22.83,81.0,0.86,115,718.0
452,504.0,15.85,21.7,0.95,137,821.0
453,519.0,35.34,48.7,0.96,104,698.0
454,647.0,42.02,82.2,1.31,18,566.0
455,492.0,22.34,71.1,0.83,101,687.0
456,485.0,38.78,25.8,1.44,90,700.0
457,365.0,33.78,70.3,1.45,83,629.0
458,498.0,33.86,25.1,1.17,127,775.0
459,555.0,27.9,35.5,0.81,34,530.0
460,492.0,43.88,30.8,1.41,104,721.0
461,525.0,34.57,41.6,0.95,56,577.0
462,520.0,33.99,88.5,1.03,146,838.0
463,415.0,30.51,44.3,1.14,109,676.0
464,488.0,26.85,33.1,1.2,145,864.0
465,607.0,27.79,31.8,0.82,83,723.0
466,486.0,31.77,37.7,0.88,147,815.0
467,499.0,27.22,74.7,1.33,127,789.0
468,383.0,22.6,24.9,1.14,47,517.0
469,320.0,33.93,81.8,1.36,121,647.0
470,600.0,17.37,37.5,0.84,16,546.0
471,426.0,42.59,62.0,0.89,143,747.0
472,464.0,32.14,36.1,1.3,66,599.0
473,582.0,39.14,85.1,0.91,74,633.0
474,581.0,44.3,60.5,1.06,44,589.0
475,652.0,27.56,93.6,1.15,140,948.0
476,552.0,25.35,29.2,0.84,102,725.0
477,543.0,25.8,88.5,0.95,127,807.0
478,565.0,37.15,69.2,1.04,19,513.0
479,558.0,43.05,26.7,1.39,61,654.0
480,396.0,41.28,74.9,1.41,11,397.0
481,310.0,34.96,87.6,1.35,111,619.0
482,497.0,17.26,74.6,1.03,40,552.0
483,555.0,43.84,75.8,1.48,23,546.0
484,455.0,32.94,20.6,1.32,92,668.0
485,501.0,28.64,82.9,1.0,48,564.0
486,494.0,37.22,54.4,1.17,132,798.0
487,368.0,29.94,70.0,1.17,57,507.0
488,569.0,17.59,62.4,0.85,144,891.0
489,590.0,35.89,24.0,1.47,140,916.0
490,490.0,40.72,92.2,1.09,134,788.0
491,620.0,32.51,88.4,1.34,125,873.0
492,416.0,28.11,70.6,1.26,114,712.0
493,596.0,44.77,60.7,1.02,50,591.0
494,571.0,21.39,74.4,1.15,35,592.0
495,642.0,31.99,91.4,0.95,26,556.0
496,444.0,23.99,88.8,1.33,14,491.0
497,466.0,31.55,91.7,1.1,62,621.0
498,503.0,22.58,45.9,0.96,89,690.0
499,569.0,37.63,48.0,0.97,77,696.0
500,569.0,42.82,82.5,0.99,46,572.0
501,546.0,16.69,89.5,1.44,82,776.0
502,464.0,43.63,58.2,0.87,30,462.0
503,471.0,19.52,67.2,1.4,123,775.0
504,389.0,31.04,64.1,1.3,67,563.0
505,507.0,40.37,93.2,0.83,26,463.0
506,580.0,20.6,55.0,1.22,43,625.0
507,371.0,42.1,71.1,1.37,31,450.0
508,556.0,16.39,24.1,1.45,41,643.0
509,591.0,42.15,73.6,1.12,31,584.0
510,589.0,15.14,31.2,1.39,123,888.0
511,483.0,15.72,78.6,1.44,125,856.0
512,379.0,23.1,44.5,1.25,119,724.0
513,501.0,37.16,44.9,1.07,18,452.0
514,435.0,32.76,83.5,1.01,62,554.0
515,496.0,22.75,76.0,1.15,139,851.0
516,606.0,26.25,83.5,1.09,109,802.0
517,536.0,30.01,22.5,1.32,56,628.0
518,457.0,32.32,43.6,1.02,52,534.0
519,545.0,18.8,80.0,1.3,103,814.0
520,493.0,44.15,42.7,0.88,137,741.0
521,485.0,30.49,81.5,1.0,63,592.0
522,524.0,18.05,69.8,1.16,143,895.0
523,545.0,26.22,64.9,0.88,110,734.0
524,457.0,29.12,64.4,1.35,92,682.0
525,533.0,18.44,91.6,1.22,119,864.0
526,403.0,20.37,28.1,1.15,66,615.0
527,387.0,20.35,23.1,1.14,61,565.0
528,601.0,32.06,40.5,1.33,125,849.0
529,454.0,41.61,73.1,0.9,140,730.0
530,449.0,20.62,66.8,0.86,72,605.0
531,415.0,17.51,75.8,1.05,42,531.0
532,611.0,19.25,54.7,1.26,38,693.0
533,589.0,18.69,20.7,1.45,139,944.0
534,439.0,29.47,83.7,0.87,89,620.0
535,391.0,34.07,41.8,1.32,69,588.0
536,593.0,33.89,25.3,1.37,96,794.0
537,507.0,30.58,48.2,1.33,111,778.0
538,464.0,23.57,68.7,1.49,55,606.0
539,435.0,30.26,31.9,1.27,54,562.0
540,406.0,21.55,65.6,1.46,49,573.0
541,547.0,23.82,87.5,1.47,129,859.0
542,506.0,31.03,88.5,1.44,40,588.0
543,355.0,28.0,36.7,0.86,135,702.0
544,413.0,42.92,40.0,0.85,17,339.0
545,469.0,23.11,33.4,1.25,60,629.0
546,411.0,43.8,73.3,1.1,89,588.0
547,495.0,24.64,53.4,1.34,134,854.0
548,345.0,16.36,71.5,1.18,57,538.0
549,422.0,42.91,36.3,0.87,46,461.0
550,540.0,21.18,67.2,0.87,110,785.0
551,516.0,42.98,52.6,1.07,92,651.0
552,441.0,15.03,40.2,1.19,128,790.0
553,472.0,27.65,86.2,0.98,149,850.0
554,473.0,27.14,34.5,0.96,76,594.0
555,502.0,37.94,49.8,0.82,28,455.0
556,524.0,44.81,35.6,1.08,11,452.0
557,547.0,19.41,72.4,0.96,68,657.0
558,473.0,33.13,82.5,1.28,64,633.0
559,596.0,22.6,44.0,1.46,132,926.0
560,611.0,17.86,95.0,1.4,37,679.0
561,540.0,19.18,90.4,1.1,68,694.0
562,418.0,31.95,29.2,1.06,61,547.0
563,343.0,39.78,41.9,1.49,81,561.0
564,478.0,33.72,49.2,1.05,14,472.0
565,574.0,15.02,28.0,1.38,141,954.0
566,555.0,27.31,84.3,1.04,31,556.0
567,471.0,44.36,33.6,1.45,94,679.0
568,513.0,29.11,25.0,1.07,128,798.0
569,664.0,31.17,29.4,1.38,35,659.0
570,375.0,44.75,31.1,1.29,110,629.0
571,570.0,40.35,55.3,1.14,53,606.0
572,581.0,33.97,85.1,1.34,89,752.0
573,428.0,20.0,47.5,1.0,136,788.0
574,495.0,37.44,27.8,1.47,52,616.0
575,547.0,32.77,77.0,1.01,56,619.0
