ID_Proceso,Presion_Hidraulica_Bar,Vibracion_Husillo_mm_s,Temperatura_Refrigerante_C,Piezas_Procesadas_Herramienta,Velocidad_Corte_RPM,Desgaste_Herramienta_Micras
253,144.0,4.29,45.0,1763,3466,160.26
254,154.3,0.59,55.2,1538,1404,98.12
255,163.3,5.93,58.1,1216,3429,152.64
256,170.9,2.79,48.1,349,1530,65.71
257,133.7,3.22,46.6,1701,2387,127.23
258,124.7,3.69,41.3,744,1446,91.55
259,164.1,2.68,51.9,582,1716,69.53
260,145.8,5.84,40.3,779,2765,119.48
261,141.1,0.97,38.2,1118,2915,84.39
262,153.5,5.25,45.3,1983,2953,170.77
263,163.5,0.98,42.7,785,2003,59.14
264,132.1,3.93,56.5,965,1790,110.83
265,165.9,1.81,52.1,1888,3437,140.55
266,138.2,3.2,40.9,346,1986,64.64
267,158.6,2.59,45.1,1844,1941,133.56
268,160.5,0.64,38.3,629,1678,50.2
269,170.9,5.24,40.6,54,2478,81.22
270,149.5,2.83,49.3,601,2916,79.76
271,165.9,3.97,31.0,1598,1302,124.05
272,152.2,2.96,54.1,1669,2334,132.54
273,130.0,0.69,43.8,1110,2699,92.16
274,155.6,3.66,46.2,1332,3298,125.81
275,146.8,4.5,34.9,1674,1231,133.86
276,131.6,3.14,55.6,269,1850,68.33
277,153.5,1.55,47.5,1545,1967,116.53
278,131.0,5.23,31.2,515,2965,97.2
279,147.2,2.85,43.0,1996,1412,140.38
280,172.7,5.99,41.7,860,2921,124.03
281,151.4,3.34,45.7,709,3413,102.16
282,128.6,4.06,53.9,1964,2609,159.17
283,162.7,4.4,44.9,267,2432,75.42
284,136.4,5.6,44.3,630,1493,103.12
285,129.8,4.09,51.9,1962,2989,166.53
286,162.4,4.65,31.6,564,2400,91.94
287,157.6,0.81,39.1,290,3091,51.02
288,147.0,5.85,39.6,876,2613,115.2
289,108.2,2.84,48.0,1257,2233,111.88
290,112.8,5.81,49.2,1747,1809,164.65
291,169.9,2.9,49.8,292,3349,85.32
292,119.3,2.31,37.8,259,3147,69.4
293,146.1,0.6,60.2,1460,2482,102.68
294,142.0,3.07,38.3,1885,3335,150.25
295,169.2,1.99,48.8,1630,1504,114.3
296,128.4,5.04,63.7,1461,1850,146.75
297,174.9,1.37,51.9,1962,1912,129.96
298,153.4,0.82,42.4,666,1687,65.78
299,154.6,4.44,37.0,1033,2105,107.84
300,142.3,1.67,52.1,1033,2225,95.03
301,145.2,5.34,33.4,1066,2464,121.95
302,177.0,0.73,53.9,1806,3214,126.01
303,158.6,5.6,45.7,1727,1496,146.21
304,133.9,4.37,46.9,552,1603,87.01
305,168.4,4.76,48.4,1462,1983,132.36
306,161.5,0.52,40.5,290,2435,44.73
307,153.7,3.32,60.4,1226,2884,126.55
308,145.3,4.14,41.7,1308,1534,113.81
309,149.2,5.31,47.0,1760,1511,143.55
310,134.8,1.06,36.7,1972,2172,128.15
311,178.9,2.62,36.8,382,2299,65.28
312,175.2,1.34,31.5,1775,2780,120.41
313,145.2,1.25,55.8,1798,1544,122.27
314,173.6,1.2,55.7,982,3071,89.45
315,127.9,0.93,48.7,256,2213,53.04
316,148.8,0.74,42.9,632,2196,63.48
317,128.8,0.66,42.8,612,1605,59.29
318,151.9,5.64,44.0,625,1511,93.59
319,152.4,5.8,50.2,1321,2143,134.82
320,165.0,3.32,47.6,934,3318,121.93
321,155.8,5.15,53.7,1558,2131,153.79
322,171.0,4.82,41.7,1477,2192,128.45
323,134.9,1.1,40.4,1151,3195,103.75
324,160.2,0.63,51.2,1303,2933,108.33
325,121.8,1.19,39.2,1386,2954,103.13
326,173.9,2.56,43.3,1025,2764,101.79
327,154.2,3.05,48.2,1240,2072,112.1
328,146.5,5.16,37.3,1239,2941,132.56
329,164.2,0.76,46.3,1822,1513,117.15
330,135.2,4.29,40.9,1628,2489,140.77
331,164.7,5.25,52.8,1465,2636,144.18
332,139.5,4.08,44.5,578,1668,82.97
333,161.5,3.8,53.9,1610,3072,145.23
334,140.9,0.71,46.6,1709,2430,111.49
335,123.6,5.16,25.2,1966,2782,158.63
336,156.4,5.35,41.4,488,3075,100.37
337,140.6,3.13,49.4,1965,1987,141.86
338,136.2,0.61,50.0,1829,2552,120.39
339,153.7,2.52,46.2,1514,1747,115.99
340,158.3,3.84,39.7,622,2863,98.31
341,146.8,2.62,45.2,1900,3046,145.46
342,151.2,4.01,44.6,968,2820,120.84
343,159.6,2.18,47.6,1533,3255,119.28
344,156.3,5.01,38.5,1562,2463,147.21
345,159.9,0.52,55.4,1652,1557,107.7
346,183.6,5.14,38.1,851,3141,116.65
347,154.4,0.63,38.1,253,1290,45.7
348,141.3,5.03,47.7,1123,1572,115.69
349,169.3,2.07,63.1,1890,1833,136.72
350,158.1,2.87,62.1,1267,2471,124.16
351,149.5,4.75,28.3,647,2873,100.09
352,148.4,5.95,53.9,1471,2018,149.91
353,160.2,5.22,26.9,1302,3142,132.32
354,150.0,3.46,54.9,1230,1261,110.37
355,152.0,1.69,39.5,1881,3082,134.14
356,140.8,4.57,43.3,1407,2315,124.55
357,152.2,1.39,46.2,462,1359,56.19
358,160.9,1.82,43.8,1517,3291,116.36
359,160.2,5.07,46.8,209,1441,73.86
360,155.3,5.81,44.6,1946,1833,160.33
361,126.8,1.97,54.3,784,2337,86.62
362,149.2,3.28,49.2,800,3410,109.0
363,143.9,1.05,41.4,1739,1694,118.13
364,166.3,1.76,42.1,469,2343,66.65
365,141.0,3.89,31.2,835,1548,89.62
366,160.1,1.42,48.7,1179,2305,97.66
367,133.0,2.75,47.2,701,2288,86.92
368,153.2,2.63,57.4,846,1267,85.24
369,160.8,1.76,53.6,699,2826,83.29
370,157.2,2.52,62.8,1797,1504,139.9
371,166.7,3.92,29.8,1681,1612,126.25
372,138.6,4.58,34.4,635,2890,102.1
373,138.7,3.08,51.4,1335,3453,118.0
374,145.0,4.85,53.8,651,1215,99.33
375,148.6,4.61,35.1,1041,1746,106.32
376,154.5,4.52,51.1,95,1912,74.74
377,151.9,1.18,46.5,1971,2497,131.25
378,155.0,5.77,47.4,520,2319,99.44
379,170.7,3.91,52.8,1957,3155,158.15
380,136.9,5.81,46.1,574,1796,98.42
381,163.2,1.02,35.5,1879,3160,126.8
382,144.1,3.2,54.6,1163,2869,119.36
383,165.8,0.73,38.4,241,2516,42.58
384,151.9,3.14,46.3,1114,1336,100.39
385,159.0,3.4,40.1,844,1420,83.41
386,148.7,1.81,37.5,119,3484,55.56
387,137.3,1.53,45.7,1216,2985,102.71
388,135.5,5.64,35.9,1072,2536,116.3
389,147.6,1.38,36.6,1577,3084,116.18
390,144.1,5.1,44.7,1947,1479,149.23
391,169.2,2.6,53.3,1313,1926,107.1
392,162.1,2.63,53.1,1387,2112,117.72
393,127.8,5.49,38.2,491,3488,102.81
394,146.7,5.96,39.4,383,2504,95.58
395,153.0,4.06,36.8,1370,1901,122.66
396,153.3,2.37,34.1,1381,2964,116.59
397,125.4,0.93,55.4,62,2791,48.99
398,128.2,2.2,63.5,471,2294,80.01
399,160.0,3.76,55.5,492,2956,96.7
400,150.9,2.93,52.9,263,3063,74.57
401,164.6,5.94,60.3,274,1645,93.07
402,152.3,1.82,38.2,691,3321,79.43
403,146.3,1.95,30.9,1751,1611,117.89
404,145.8,4.81,40.4,399,2033,77.65
405,138.3,3.11,42.6,428,2155,73.71
406,167.3,1.46,39.4,603,1442,65.49
407,172.2,2.85,51.6,653,2303,79.08
408,142.2,3.35,47.9,1166,3021,119.09
409,115.5,4.41,41.0,890,2808,109.72
410,135.8,1.03,65.0,602,3384,88.66
411,184.5,2.22,44.9,946,1208,84.75
412,162.7,3.85,41.2,1285,1717,116.86
413,150.7,5.56,37.1,1732,2910,153.9
414,137.2,1.46,49.8,1923,2940,142.31
415,179.1,5.53,43.2,1767,1201,151.28
416,140.4,5.51,48.6,551,3389,105.64
417,143.5,4.26,37.7,1145,1444,103.17
418,130.2,3.12,42.2,393,3326,88.21
419,166.2,4.52,47.2,1236,3443,131.05
420,177.1,1.92,43.1,550,2458,70.23
421,143.0,2.8,27.4,318,2499,67.23
422,166.5,1.55,40.6,571,1330,57.53
423,159.2,1.13,46.9,137,3330,54.8
424,150.5,3.18,39.2,1977,2260,146.24
425,149.4,0.79,34.4,524,1476,50.54
426,183.4,3.6,47.9,1186,2518,122.79
427,153.4,3.89,44.4,910,2459,97.13
428,171.0,1.22,56.5,1768,2819,122.67
429,141.3,3.26,42.3,551,2674,88.95
430,140.3,3.11,50.4,1385,2620,125.65
431,150.5,0.59,44.3,1057,3135,82.75
432,152.5,2.75,28.0,708,2674,83.3
433,139.9,5.68,28.1,1549,1427,142.06
434,150.8,3.49,46.6,1841,2497,144.83
435,157.7,2.74,48.3,1067,2960,115.37
436,155.6,4.21,56.3,295,2624,95.74
437,156.7,3.49,55.5,706,2766,106.21
438,140.5,4.62,64.1,993,3041,126.45
439,199.2,4.77,39.5,720,3254,103.8
440,141.3,2.78,43.7,1005,2531,101.5
441,158.1,3.3,34.1,1944,1387,136.06
442,156.0,2.72,31.8,568,2059,67.16
443,135.4,4.89,47.3,1956,2941,166.25
444,150.8,4.39,28.5,1669,1779,127.79
445,113.2,5.86,46.8,1745,2565,159.8
446,149.6,5.71,40.9,256,1883,86.01
447,156.3,1.61,42.5,1946,1280,123.03
448,167.5,2.82,52.3,1364,2315,116.53
449,165.9,4.97,44.3,1556,1418,137.4
450,157.7,2.3,44.0,1583,3128,129.38
451,129.5,5.64,54.4,288,2371,94.12
452,146.4,1.94,51.5,1268,1355,97.01
453,132.6,3.44,39.9,1348,2324,124.42
454,167.6,3.94,31.9,1411,3279,133.59
455,154.8,1.04,43.0,1840,3376,122.72
456,135.5,5.98,47.8,1972,2590,167.65
457,172.8,1.07,50.9,1840,3392,138.77
458,146.5,3.7,34.3,348,3367,83.79
459,127.1,2.0,41.3,1020,2241,93.85
460,172.8,1.88,55.4,248,1815,53.82
461,154.4,5.75,54.3,581,2406,110.71
462,173.7,1.83,25.0,672,3213,76.57
463,116.5,2.04,38.1,1678,2898,125.61
464,126.4,3.85,46.3,953,1519,106.78
465,126.7,0.68,52.1,1966,1496,121.07
466,143.1,5.33,42.9,432,1910,88.4
467,156.5,4.47,53.1,524,3015,98.56
468,128.3,1.63,37.4,433,3455,78.18
469,157.1,5.73,49.9,981,1729,127.32
470,153.3,1.35,46.5,795,1759,71.33
471,157.1,4.59,27.5,868,2899,105.26
472,144.0,5.15,37.3,1492,2956,141.04
473,160.8,5.88,46.0,102,3014,88.21
474,137.6,4.27,43.2,369,1409,78.32
475,174.7,2.74,30.9,1695,3186,133.12
476,167.7,5.69,54.0,226,2555,95.18
477,134.9,4.57,42.9,765,2549,113.99
478,134.4,3.87,32.8,398,1843,73.91
479,151.8,2.02,54.1,751,2323,90.52
480,146.6,2.18,52.3,1271,3314,114.09
481,173.0,4.94,50.9,1068,3304,123.6
482,130.4,4.23,45.1,1429,3048,134.15
483,146.7,4.34,50.5,969,1265,112.61
484,168.1,4.74,49.5,741,2954,108.19
485,152.4,3.68,32.0,1657,3356,141.15
486,138.5,5.99,35.1,724,1570,103.58
487,138.2,4.19,41.8,1508,3315,146.68
488,155.1,1.44,32.6,1377,2224,95.99
489,151.3,2.05,49.2,1746,3232,133.93
490,146.7,3.0,43.5,1828,3336,140.99
491,157.6,4.5,56.9,267,1397,74.7
492,166.7,2.63,41.0,486,2964,82.68
493,130.6,2.81,39.4,362,2249,69.89
494,166.8,5.85,39.5,787,3095,124.28
495,148.3,3.04,54.2,1730,1558,133.36
496,132.9,4.98,38.2,999,2273,112.12
497,166.6,4.15,35.8,1030,1732,101.88
498,134.8,2.33,45.3,1416,2592,119.74
499,140.1,4.36,57.2,550,3075,103.07
500,171.0,1.68,28.7,906,2123,80.34
501,144.0,1.41,49.5,701,2382,82.1
502,169.7,3.63,44.4,186,1684,63.46
503,154.6,3.47,25.0,1382,1440,108.84
504,157.8,1.69,49.6,1056,2026,90.0
505,162.6,1.68,36.5,692,3382,76.74
506,136.7,5.39,39.6,185,2497,82.27
507,165.8,2.41,50.4,1581,3104,134.27
508,159.5,2.68,35.5,1618,1296,115.52
509,155.8,0.75,48.1,1862,2930,128.4
510,181.0,0.89,61.5,234,3139,63.64
511,177.5,4.49,43.1,1843,1571,150.31
512,184.8,3.17,43.9,1825,3480,142.59
513,134.6,1.01,41.6,1317,3080,107.2
514,126.4,2.04,60.7,574,2979,86.65
515,140.6,5.37,25.5,1220,2027,126.1
516,171.1,2.29,58.1,952,3227,104.42
517,145.1,5.71,56.8,750,3128,124.92
518,147.8,0.58,33.0,529,3449,67.74
519,147.6,3.37,45.7,1896,2096,142.52
520,143.4,4.98,49.6,960,1918,116.82
521,162.3,4.36,45.4,1940,1545,145.49
522,143.6,5.72,55.4,378,2843,101.23
523,167.7,2.62,39.1,1534,3126,124.99
524,162.2,0.54,38.7,1862,2828,117.32
525,153.8,0.85,42.6,1734,1420,108.05
526,135.8,1.95,53.4,1515,1234,109.68
527,141.0,3.72,54.5,1335,3350,126.12
528,152.7,1.54,33.8,661,2139,68.45
529,186.4,1.85,42.4,1778,1211,115.61
530,141.1,2.65,45.8,1122,1971,105.92
531,136.4,5.45,41.4,446,1577,89.24
532,154.0,1.01,48.2,1925,1886,122.31
533,147.1,5.92,42.7,125,3292,93.69
534,160.4,1.0,39.1,482,3263,71.17
535,171.5,3.53,46.8,949,3406,112.11
536,134.8,5.41,30.1,759,1675,111.12
537,158.5,5.9,30.7,1132,2480,127.12
538,162.2,2.86,46.4,298,2363,76.26
539,163.4,2.1,29.9,1366,1858,104.98
540,155.5,5.45,59.3,980,1268,119.12
541,143.1,3.67,42.1,1223,1650,109.2
542,161.5,0.7,37.6,1592,2051,97.85
543,151.3,3.26,36.7,96,2191,55.99
544,164.3,2.88,46.9,1784,1844,132.73
545,135.1,3.17,40.0,1767,3317,139.91
546,150.9,3.99,45.6,902,1972,101.98
547,130.4,1.77,35.2,555,2201,69.39
548,138.4,0.62,38.2,1660,2703,105.93
549,184.0,3.56,42.4,1053,3087,112.48
550,179.5,1.25,30.9,1086,3250,96.15
551,157.5,5.32,37.4,657,1955,106.35
552,136.3,5.6,33.4,1611,2432,145.14
553,144.4,3.98,58.9,1828,2602,155.32
554,179.7,5.73,44.6,722,2475,104.64
555,176.9,3.47,65.6,535,1307,83.68
556,148.6,5.94,35.7,948,2750,121.33
557,167.4,5.11,49.9,1858,2456,155.76
558,154.4,1.29,46.0,1725,2945,132.11
559,142.4,5.64,38.2,622,1985,103.2
560,158.1,4.34,45.6,780,2194,98.76
561,172.3,2.0,43.5,1587,3483,121.54
562,163.5,5.2,54.2,1922,1218,152.19
563,172.3,1.07,49.2,622,1799,73.14
564,162.8,1.5,36.5,1999,2236,127.06
565,156.8,1.62,49.6,127,3119,58.67
566,175.3,1.92,34.1,1655,2383,112.61
567,179.5,1.56,41.8,242,1476,45.66
568,152.5,5.04,46.1,988,1976,116.18
569,150.4,5.41,49.4,1648,2017,141.08
570,137.3,1.97,29.6,552,1569,66.48
571,140.1,2.94,45.1,531,2200,84.34
572,144.7,2.06,45.1,388,3405,76.31
573,154.2,1.37,48.6,1218,2820,102.69
574,178.7,2.47,53.9,1135,2921,107.92
575,158.2,1.58,26.7,93,2916,46.91
576,149.0,5.37,34.9,1971,2914,163.75
577,152.4,1.69,49.6,1316,3440,113.72
578,117.1,3.61,48.4,1771,2281,147.85
579,158.5,5.17,30.4,628,1488,91.32
580,134.6,1.41,37.0,1410,3444,114.64
581,122.7,2.29,36.3,502,2069,66.07
582,148.3,5.41,48.8,1884,3070,171.66
583,170.3,5.4,48.9,1605,2843,150.11
584,151.5,4.39,35.9,357,2684,86.32
585,157.6,2.96,49.4,1326,1938,114.52
586,163.4,1.61,45.0,796,1588,73.52
