Id,MetrosCuadrados,Habitaciones,AnosAntiguedad,DistanciaCentro_KM,TieneGaraje,Precio_USD
432,48.4,5,29,12.9,1,146500.0
433,119.2,4,12,6.8,0,274600.0
434,158.7,3,20,5.8,1,344200.0
435,190.1,2,18,4.2,0,385100.0
436,133.0,3,18,14.0,0,253800.0
437,195.1,3,24,4.8,0,413600.0
438,74.8,3,21,12.1,1,154700.0
439,61.9,2,30,5.7,0,117100.0
440,127.8,4,16,13.4,1,295900.0
441,145.4,3,22,16.4,1,276300.0
442,128.7,2,31,15.7,1,249500.0
443,47.3,3,9,15.3,1,148600.0
444,126.4,3,9,4.2,1,302300.0
445,77.8,4,35,2.2,0,194500.0
446,156.8,3,7,14.1,1,315000.0
447,144.7,4,19,7.7,0,319300.0
448,92.4,1,31,8.9,0,165600.0
449,109.4,3,49,1.1,1,246800.0
450,87.6,3,13,5.6,1,217200.0
451,127.5,1,49,1.2,1,228000.0
452,168.2,2,27,17.6,1,314700.0
453,90.6,4,45,5.2,1,174500.0
454,150.2,2,23,11.4,0,275600.0
455,108.8,3,14,1.3,0,274000.0
456,98.3,2,21,13.5,0,182300.0
457,125.7,1,29,6.8,0,263200.0
458,88.6,2,3,18.0,1,202700.0
459,107.9,5,12,17.8,1,233100.0
460,82.1,4,22,6.8,0,192100.0
461,208.6,5,7,18.1,1,433400.0
462,131.4,3,17,19.9,1,229300.0
463,102.0,2,11,16.6,0,173300.0
464,138.6,3,30,17.0,0,232500.0
465,125.5,3,13,5.4,0,247100.0
466,121.2,4,33,11.7,0,234400.0
467,154.6,1,17,1.8,0,315600.0
468,160.3,3,33,2.4,1,323500.0
469,108.8,2,10,20.0,0,195300.0
470,107.0,2,40,6.9,1,226500.0
471,119.0,3,11,15.1,1,257500.0
472,40.0,3,48,16.2,1,54800.0
473,69.4,3,14,17.2,1,160300.0
474,184.7,3,30,20.0,0,325900.0
475,195.8,3,48,5.2,1,391000.0
476,120.0,4,28,1.3,1,281500.0
477,153.1,4,25,8.5,0,317600.0
478,142.5,5,17,3.0,0,350700.0
479,253.2,4,31,0.9,1,529100.0
480,174.8,2,21,7.5,1,393400.0
481,124.9,3,37,15.8,1,223500.0
482,91.8,3,16,11.5,1,210900.0
483,65.7,2,22,6.6,1,152000.0
484,138.1,4,23,13.3,0,274700.0
485,99.7,1,49,5.0,0,142000.0
486,73.1,4,7,0.8,0,205800.0
487,104.1,3,40,15.4,0,154300.0
488,86.7,3,5,12.7,1,212000.0
489,197.5,3,4,15.4,1,421600.0
490,165.3,4,43,1.3,1,369300.0
491,129.7,3,28,16.8,0,192000.0
492,189.2,3,27,12.6,1,404200.0
493,133.1,1,10,11.5,0,258400.0
494,95.5,3,0,12.7,0,200600.0
495,190.9,2,42,17.4,0,314200.0
496,151.6,3,18,11.9,1,319900.0
497,88.5,3,8,11.8,1,202800.0
498,122.4,3,26,19.8,1,228900.0
499,95.0,1,33,15.3,1,153500.0
500,74.7,1,43,9.1,1,128700.0
501,167.0,3,3,14.3,0,325000.0
502,206.4,1,35,8.1,0,350000.0
503,74.1,1,17,5.0,0,161400.0
504,152.5,1,14,12.1,1,311800.0
505,104.0,5,12,18.6,1,240600.0
506,110.5,3,18,18.6,0,210000.0
507,106.3,3,48,7.2,1,218700.0
508,95.4,2,5,10.8,1,214700.0
509,131.9,2,47,4.6,0,254100.0
510,96.8,4,11,19.9,1,185900.0
511,140.8,3,36,19.6,1,235200.0
512,128.0,2,16,13.2,1,246900.0
513,120.4,2,22,16.2,0,225800.0
514,93.7,1,25,14.4,1,187100.0
515,106.9,3,28,12.1,0,209100.0
516,160.2,4,32,1.5,1,378800.0
517,150.0,2,26,9.4,1,290200.0
518,90.9,1,24,13.7,1,176600.0
519,134.0,1,9,13.7,1,267300.0
520,160.1,5,46,7.8,1,346400.0
521,63.2,2,22,18.9,1,112600.0
522,151.7,4,20,3.8,0,327600.0
523,103.5,3,20,10.3,1,239500.0
524,152.8,3,42,14.0,0,276400.0
525,99.5,2,12,14.1,1,200300.0
526,57.8,2,36,13.1,1,107000.0
527,64.9,3,32,5.9,1,145100.0
528,131.9,4,23,3.5,1,276700.0
529,140.4,3,43,12.9,1,266000.0
530,93.8,3,10,12.2,0,208000.0
531,155.5,1,16,4.0,1,338400.0
532,63.5,5,3,14.3,1,154600.0
533,127.4,4,46,9.4,0,232300.0
534,81.6,2,24,13.5,0,111600.0
535,103.9,5,29,16.8,1,239200.0
536,131.9,3,8,3.8,1,304800.0
537,95.6,3,20,0.9,1,268500.0
538,114.6,3,19,15.7,1,248400.0
539,170.3,4,18,12.4,0,326500.0
540,106.9,3,18,14.1,1,209800.0
541,163.4,2,11,16.8,1,325500.0
542,84.8,2,36,16.2,1,134300.0
543,151.2,4,41,19.2,1,274900.0
544,187.7,2,16,11.0,1,372300.0
545,40.0,3,36,10.0,1,69100.0
546,98.1,3,47,8.3,1,162600.0
547,153.1,3,38,3.5,0,308800.0
548,121.9,3,27,11.7,1,243700.0
549,144.8,4,40,5.9,1,300900.0
550,105.8,2,34,18.5,1,190600.0
551,133.5,2,46,11.9,0,237700.0
552,123.8,2,47,12.1,1,216200.0
553,176.7,4,17,7.4,0,365500.0
554,140.2,3,13,1.5,1,346000.0
555,143.5,2,34,1.1,1,290500.0
556,113.5,4,43,8.8,1,240900.0
557,110.5,4,40,2.1,0,247400.0
558,112.7,4,6,12.3,1,278400.0
559,145.8,4,40,17.7,1,240700.0
560,113.2,2,12,17.7,1,211600.0
561,141.6,4,17,13.4,1,291500.0
562,213.0,3,36,4.6,1,436200.0
563,164.8,4,12,17.3,1,347100.0
564,117.0,3,35,17.8,0,214600.0
565,178.0,4,30,4.3,0,360800.0
566,113.7,3,1,14.9,1,249500.0
567,48.5,2,15,6.1,1,157600.0
568,89.7,3,8,16.2,1,204100.0
569,55.2,5,8,19.9,0,141900.0
570,115.9,4,37,1.1,0,260500.0
571,130.7,1,10,18.0,1,229400.0
572,197.1,2,21,12.6,0,345300.0
573,143.1,2,32,19.5,1,224800.0
574,121.2,3,35,9.6,0,238600.0
575,163.2,4,44,17.0,1,317400.0
576,41.6,2,22,1.7,1,162400.0
577,139.4,3,44,7.0,0,273200.0
578,160.8,4,44,1.8,1,365800.0
579,70.9,3,33,19.5,0,94600.0
580,175.8,3,8,16.4,1,340900.0
581,143.5,3,23,17.1,1,290800.0
582,113.4,3,7,18.8,1,241900.0
583,155.3,2,6,2.2,1,364000.0
584,220.8,3,35,8.0,1,444300.0
585,137.3,3,17,1.9,0,311800.0
586,139.9,4,2,4.6,0,349600.0
587,111.6,3,27,5.0,1,276000.0
588,96.0,4,5,9.6,1,256200.0
589,163.2,2,43,5.7,1,333100.0
590,95.8,3,43,2.5,1,224600.0
591,132.9,1,20,3.8,1,281600.0
592,110.9,2,27,3.4,1,262200.0
593,149.2,3,39,19.5,1,240100.0
594,143.3,5,0,15.3,1,347400.0
595,171.5,1,35,19.4,1,269500.0
596,109.6,3,20,9.1,0,231200.0
597,119.2,4,42,5.9,0,226800.0
598,90.8,2,34,16.1,0,149100.0
599,112.2,3,12,6.9,0,248500.0
600,145.1,3,48,6.3,0,244900.0
601,160.3,3,9,5.0,1,374600.0
602,93.1,2,43,3.0,1,191500.0
603,164.8,3,46,5.5,1,343600.0
604,184.2,4,9,7.4,1,414100.0
605,146.5,3,45,13.6,0,255400.0
606,205.1,1,12,1.7,0,404700.0
607,99.0,4,36,4.6,0,205000.0
608,80.2,1,37,16.3,1,120000.0
609,58.9,3,23,3.4,0,162300.0
610,189.8,2,1,7.2,0,419900.0
611,156.2,5,21,17.4,1,310800.0
612,127.8,3,16,3.5,1,321100.0
613,141.2,2,35,2.1,0,249300.0
614,85.0,2,13,9.9,1,179100.0
615,227.8,2,9,6.4,1,463800.0
616,135.2,4,34,11.5,1,258800.0
617,134.4,5,24,16.2,1,259400.0
618,159.0,3,2,3.2,0,366700.0
619,149.2,3,46,11.8,0,256300.0
620,139.0,3,37,10.4,1,282000.0
621,98.4,4,16,3.3,1,271600.0
622,148.9,3,11,12.7,1,321800.0
623,205.3,3,23,5.8,1,441800.0
624,183.8,3,28,10.0,1,370400.0
625,193.7,3,42,2.1,1,382800.0
626,109.6,1,24,9.5,1,236600.0
627,90.4,3,35,6.5,1,193700.0
628,125.0,3,25,16.5,0,209500.0
629,132.2,4,37,1.6,1,301900.0
630,173.8,1,0,8.7,0,337400.0
631,62.3,3,19,9.4,0,133300.0
632,191.2,3,27,14.6,1,375400.0
633,123.7,3,15,11.7,0,255100.0
634,112.9,1,46,13.5,0,152900.0
635,89.5,3,16,15.7,0,164100.0
636,63.8,3,39,17.3,1,126800.0
637,162.9,3,27,6.6,1,353300.0
638,132.9,3,11,11.0,1,325300.0
639,78.4,3,26,16.9,0,152400.0
640,78.2,4,41,19.8,1,153300.0
641,116.6,2,46,17.8,1,167400.0
642,196.8,4,29,7.7,0,403800.0
643,119.6,3,40,4.3,1,257400.0
644,69.9,1,33,10.0,0,106500.0
645,120.2,1,36,15.0,1,209200.0
646,119.1,2,5,10.1,1,283200.0
647,40.0,4,6,9.9,1,149700.0
648,127.8,3,31,16.8,0,207300.0
649,120.8,4,31,7.5,1,281200.0
650,157.8,3,24,17.3,1,293000.0
651,204.0,3,32,8.4,1,412900.0
652,175.1,2,6,6.9,1,378000.0
653,119.2,2,11,9.4,1,261100.0
654,85.7,3,15,15.4,0,178100.0
655,232.9,1,15,3.0,1,466800.0
656,132.4,2,42,4.3,1,298700.0
657,130.6,3,35,19.1,1,205400.0
658,129.0,3,12,3.9,0,281600.0
659,137.9,5,6,11.6,1,332900.0
660,124.2,4,35,11.8,0,245200.0
661,107.1,3,46,10.0,1,206400.0
