ID_Orden,Unidades_Ordenadas,Num_Componentes_BOM,Experiencia_Operador_Anos,Nivel_Complejidad,Mantenimiento_Programado_Turno,Tiempo_Ciclo_Minutos
150,285,26,12.5,5,1,175.83
151,304,18,9.7,2,0,116.83
152,433,17,6.1,2,1,163.04
153,144,44,7.5,3,1,188.58
154,406,42,4.2,3,0,217.51
155,761,20,8.4,3,0,229.88
156,838,23,13.8,1,0,217.37
157,589,29,2.7,2,0,217.15
158,55,29,5.0,5,0,146.27
159,355,29,13.1,3,0,169.71
160,267,11,14.1,4,0,110.78
161,753,18,5.6,5,0,248.53
162,132,13,5.1,3,0,99.21
163,639,35,5.6,4,0,254.92
164,408,22,13.1,3,1,164.61
165,693,39,4.3,3,0,270.1
166,746,30,6.0,2,0,234.72
167,945,35,12.7,2,0,272.59
168,704,24,6.3,3,0,225.33
169,433,20,7.5,2,0,149.95
170,611,36,5.3,2,1,231.92
171,905,16,8.3,2,0,235.62
172,102,36,1.7,3,0,152.08
173,303,7,3.5,2,1,120.85
174,447,13,7.9,3,0,149.92
175,993,9,12.9,2,0,219.14
176,995,18,14.5,5,0,273.51
177,330,16,10.9,4,1,153.94
178,454,38,7.0,1,0,192.81
179,742,9,8.2,2,0,177.6
180,878,34,9.0,1,0,255.99
181,865,29,12.8,2,0,243.55
182,420,37,13.8,2,0,185.69
183,335,6,14.1,2,0,100.57
184,878,29,2.7,4,0,292.81
185,359,36,3.8,4,0,205.36
186,445,40,0.9,5,0,245.42
187,90,7,14.4,3,0,64.67
188,269,38,6.2,4,0,195.75
189,863,17,9.2,4,0,252.97
190,659,34,10.2,3,0,235.19
191,970,40,5.5,2,1,300.86
192,854,29,10.6,4,0,272.67
193,728,16,7.4,3,0,203.97
194,699,44,10.1,3,0,266.05
195,175,13,4.5,1,0,81.42
196,614,8,13.4,3,0,167.39
197,117,24,7.1,3,0,117.35
198,861,41,12.6,4,1,307.07
199,179,24,5.7,1,0,99.61
200,129,22,0.8,4,1,133.61
201,630,30,14.7,4,0,232.58
202,758,7,9.8,2,0,177.85
203,534,34,14.9,1,0,183.03
204,111,6,14.7,3,0,64.28
205,708,37,9.2,1,1,237.01
206,869,35,11.9,2,0,260.76
207,320,33,1.5,3,0,178.88
208,462,43,11.3,1,0,202.06
209,963,23,8.1,4,1,288.64
210,137,15,13.4,2,0,82.2
211,608,24,8.7,2,0,205.11
212,102,21,8.5,3,0,111.06
213,194,10,1.7,2,0,94.18
214,505,9,12.3,3,0,147.74
215,646,33,8.1,3,1,243.16
216,60,32,13.5,5,1,155.07
217,240,28,4.5,2,1,159.92
218,924,42,9.0,2,0,280.55
219,146,16,4.2,2,0,89.53
220,172,8,12.2,2,0,73.48
221,285,22,6.8,3,0,139.41
222,537,28,2.8,2,0,191.25
223,747,34,10.3,3,0,250.84
224,713,31,9.5,4,1,262.02
225,520,24,7.6,5,0,224.33
226,519,24,12.0,2,0,165.26
227,76,5,15.0,4,0,64.67
228,126,16,9.0,3,0,99.86
229,628,31,4.1,2,0,219.28
230,282,41,10.9,2,0,157.96
231,616,39,5.8,4,0,256.54
232,707,11,5.2,3,1,210.48
233,755,5,4.8,5,1,219.61
234,747,32,10.1,4,0,249.22
235,820,33,7.1,4,0,289.86
236,642,25,4.0,3,1,233.34
237,100,17,7.4,1,1,88.1
238,884,12,7.1,3,1,236.01
239,138,14,4.3,3,0,107.8
240,641,37,6.9,2,1,239.0
241,555,13,0.9,2,0,172.61
242,911,39,10.9,3,0,288.69
243,568,29,8.5,4,1,236.16
244,398,19,12.2,4,0,163.66
245,604,36,6.2,3,1,245.63
246,72,26,1.7,2,0,109.97
247,427,6,5.1,4,0,151.81
248,294,21,7.4,5,1,172.44
249,930,10,8.9,3,0,230.95
250,966,17,7.4,3,0,247.96
251,971,22,9.8,2,0,254.12
252,945,7,7.3,2,1,227.43
253,147,16,0.9,2,0,99.8
254,160,23,3.2,5,0,153.55
255,121,44,7.0,4,0,172.77
256,557,16,5.5,5,0,208.55
257,258,29,9.0,3,1,160.05
258,783,29,3.4,3,1,263.01
259,242,16,5.5,2,1,128.17
260,926,35,10.2,3,0,286.63
261,625,11,8.1,3,1,186.74
262,538,7,11.4,3,1,151.65
263,409,17,6.4,3,0,158.39
264,258,43,11.3,2,0,166.86
265,472,21,4.5,1,1,162.31
266,863,15,3.7,5,1,263.2
267,409,30,6.5,3,0,181.33
268,665,16,1.9,2,0,201.46
269,934,21,1.5,3,0,260.2
270,213,31,3.3,1,0,136.12
271,587,32,2.3,5,1,264.76
272,273,14,2.1,3,0,139.29
273,125,14,13.3,3,0,90.08
274,506,37,2.9,3,0,229.91
275,61,42,13.6,3,0,131.16
276,894,11,6.4,3,1,224.09
277,257,21,10.2,4,0,144.94
278,419,35,3.7,2,0,196.77
279,941,43,9.7,4,1,336.6
280,868,9,8.7,3,0,219.38
281,801,44,4.2,3,1,306.6
282,712,19,1.3,5,1,249.64
283,151,21,8.5,2,1,99.44
284,621,5,14.8,2,0,139.46
285,884,36,0.9,4,1,318.57
286,408,36,3.5,3,0,210.44
287,540,37,6.0,5,0,259.04
288,684,6,11.3,4,0,186.77
289,51,39,9.9,3,1,146.14
290,596,27,7.3,4,0,214.28
291,599,6,4.1,3,0,165.43
292,491,44,1.2,3,0,239.14
293,85,31,5.6,3,1,138.54
294,860,29,13.5,4,1,273.03
295,165,23,10.9,1,0,98.36
296,919,16,1.1,2,0,259.15
297,734,14,4.7,2,0,199.05
298,292,14,5.5,1,0,110.85
299,158,27,0.6,3,0,148.97
300,227,42,4.0,2,0,173.63
301,721,42,11.1,5,0,296.47
302,129,15,13.6,1,1,77.25
303,135,40,6.3,1,0,141.89
304,565,9,12.4,3,0,152.88
305,361,41,3.0,2,1,206.83
306,891,30,5.5,4,0,292.93
307,271,18,2.6,3,0,140.75
308,528,33,8.6,2,0,206.27
309,661,15,4.4,3,0,196.4
310,90,16,10.5,4,0,100.73
311,744,10,3.2,3,0,201.0
312,400,30,3.2,4,0,208.75
313,921,15,1.4,2,1,250.71
314,807,9,10.1,2,0,195.32
315,195,17,11.4,1,1,85.15
316,295,32,13.3,1,0,139.74
317,809,38,3.8,5,0,315.4
318,630,16,11.3,2,0,170.08
319,451,38,11.2,2,1,204.84
320,452,40,14.9,2,0,188.72
321,494,24,5.7,4,0,198.05
322,901,27,6.1,2,0,261.6
323,644,33,10.0,2,0,223.38
324,697,12,13.8,2,1,170.46
325,629,40,8.6,1,0,226.21
326,814,40,14.7,5,1,295.7
327,980,15,7.4,3,0,255.54
328,301,34,10.3,2,0,165.99
329,638,38,13.4,5,0,259.33
330,945,20,3.5,2,1,257.99
331,656,40,5.5,3,1,247.55
332,169,44,11.4,4,1,186.5
333,838,30,9.9,1,0,230.15
334,503,30,10.9,3,0,196.82
335,891,24,11.6,2,0,240.64
336,109,31,12.7,3,1,126.54
337,596,20,3.1,3,1,205.36
338,552,5,5.8,2,1,154.38
339,503,36,13.8,3,0,207.59
340,685,29,3.7,4,0,249.49
341,426,20,3.0,2,1,175.27
342,587,36,2.1,1,0,214.15
343,768,23,10.7,4,0,233.68
344,380,32,6.0,2,0,176.3
345,637,39,3.1,2,0,246.19
346,339,21,9.5,1,0,123.85
347,955,41,8.9,4,0,318.86
348,989,12,2.6,4,0,271.28
349,70,7,15.0,4,0,71.23
350,772,7,12.1,3,1,199.21
351,208,31,3.8,1,1,147.24
352,821,38,11.9,3,0,277.16
353,480,30,2.5,3,0,211.97
354,847,27,7.2,2,0,252.53
355,609,42,12.7,3,1,248.37
356,589,32,13.3,3,1,227.18
357,75,43,3.4,4,0,177.06
358,288,7,9.6,3,0,103.23
359,656,6,3.0,3,0,178.57
360,152,40,14.5,5,0,175.79
361,747,5,6.5,3,1,196.29
362,455,32,13.9,4,1,204.21
363,591,27,0.8,3,0,216.14
364,440,17,11.2,4,1,175.7
365,360,29,10.3,2,1,169.87
366,97,37,6.3,1,0,132.8
367,97,11,13.8,3,1,85.27
368,878,23,12.3,2,0,229.51
369,696,25,13.9,2,1,209.95
370,147,29,11.2,4,1,154.7
371,487,5,3.2,3,0,149.08
372,734,9,10.5,4,0,196.01
373,788,19,9.6,3,0,228.16
374,729,33,2.3,2,0,241.84
375,430,35,8.1,2,0,193.46
376,978,8,5.7,3,0,239.25
377,640,23,7.4,5,0,234.48
378,546,18,9.1,4,0,192.08
379,688,23,14.5,2,0,202.0
380,327,8,0.9,2,0,114.06
381,652,8,2.9,4,1,204.01
382,448,14,13.6,2,1,144.51
383,162,23,7.6,3,0,122.67
384,966,20,11.6,2,0,234.4
385,51,20,11.2,1,0,55.94
386,888,37,12.5,2,1,281.06
387,459,10,9.2,3,0,141.02
388,95,41,0.7,4,1,186.92
389,658,37,2.3,3,0,252.77
390,978,27,1.1,5,1,322.9
391,300,6,4.7,4,0,125.5
392,465,41,4.0,4,0,237.59
393,219,38,5.8,2,0,162.06
394,796,39,9.3,3,1,276.3
395,641,5,5.0,5,0,194.5
396,649,7,13.7,5,0,199.94
397,72,38,10.1,2,0,125.55
398,544,27,0.5,3,0,215.92
399,400,40,14.2,5,0,222.78
400,352,10,2.7,2,1,131.52
401,537,17,9.1,2,0,162.32
402,889,24,9.2,3,1,264.21
403,202,22,4.3,3,0,128.04
404,347,39,3.0,2,1,197.41
405,726,27,10.8,2,0,218.62
406,721,27,13.6,1,1,206.69
407,834,44,7.5,2,0,279.86
408,561,31,4.0,3,0,223.19
409,393,43,11.9,2,0,196.24
410,200,12,13.7,2,1,101.95
411,530,15,8.8,5,0,192.31
412,437,44,4.0,2,0,214.48
413,446,21,1.3,5,0,211.1
414,944,38,7.9,3,1,312.5
415,889,38,9.6,4,0,301.59
416,571,19,9.5,5,1,219.25
417,265,25,7.7,5,0,166.08
418,548,36,6.5,3,1,239.97
419,273,28,5.9,1,0,129.11
420,729,10,4.1,5,1,225.93
421,939,11,12.8,1,0,200.19
422,921,24,1.0,4,0,281.09
423,754,43,10.0,2,0,267.16
424,240,6,6.1,2,0,90.16
425,394,23,13.0,4,1,185.71
426,126,8,8.6,4,1,98.11
427,143,29,7.2,3,0,129.91
428,273,22,1.7,5,0,172.89
429,758,34,8.5,2,0,242.3
430,503,36,4.0,4,0,237.08
431,927,15,14.6,5,0,266.11
432,493,38,1.8,2,0,217.09
433,102,30,13.8,3,0,121.3
434,569,15,2.8,5,0,214.82
435,986,15,5.6,3,0,260.74
436,931,29,3.9,2,0,273.51
437,123,7,1.7,2,0,69.31
438,904,10,5.8,3,0,225.38
439,64,37,9.2,3,0,138.86
440,611,24,6.9,5,0,237.34
441,659,14,4.2,4,1,225.23
442,792,25,12.2,3,0,237.44
443,203,31,2.9,3,0,164.81
444,858,27,4.6,5,0,296.13
445,67,43,4.5,3,1,159.47
446,722,39,5.7,2,0,259.01
447,261,25,3.3,1,0,141.98
448,428,11,6.2,1,0,125.03
449,915,18,13.0,2,0,237.1
450,793,26,5.9,2,1,241.1
451,428,11,5.7,2,1,140.17
452,794,8,2.7,3,0,211.82
453,973,39,6.8,1,0,278.62
454,481,19,1.9,3,1,190.44
455,63,19,2.0,2,1,97.01
456,760,27,3.8,5,1,276.21
457,321,13,11.7,4,0,137.61
458,270,34,1.3,1,0,158.88
459,452,20,10.3,3,0,161.64
460,272,38,7.5,2,1,183.32
461,994,25,13.1,2,1,267.2
462,243,33,3.8,3,0,167.75
463,900,19,2.0,4,0,269.91
464,724,13,13.5,3,0,193.69
465,554,22,11.3,1,0,165.45
466,695,20,2.8,4,1,248.68
467,96,23,14.4,5,0,126.72
468,261,13,11.8,3,0,112.06
469,461,38,4.6,3,0,219.17
470,716,41,5.6,3,1,281.04
471,454,41,13.1,2,0,209.42
472,905,40,6.8,3,0,302.12
473,293,18,5.4,3,1,151.64
474,677,32,6.7,3,1,252.2
475,902,24,10.8,3,0,246.38
476,835,8,5.1,2,0,203.96
477,365,41,1.6,3,0,205.81
478,682,36,8.5,4,1,266.75
479,242,11,2.8,2,1,118.51
480,427,16,10.7,2,0,133.41
481,94,33,7.1,2,0,126.51
482,694,27,8.8,3,0,234.42
483,101,43,7.4,4,0,175.42
484,355,27,6.1,3,0,179.18
485,892,40,6.7,3,0,292.54
486,983,20,8.2,2,0,256.67
487,871,16,3.5,4,0,252.1
488,783,6,9.0,2,1,188.45
489,379,14,0.5,2,1,151.35
490,183,8,7.0,4,0,112.51
491,727,29,14.1,2,1,222.53
492,801,10,9.6,3,0,198.61
493,490,40,5.3,2,1,216.77
494,725,17,5.3,2,0,208.34
495,193,39,1.3,5,0,195.39
496,346,37,1.9,3,1,209.01
497,476,27,11.3,4,0,195.76
498,889,28,2.0,4,0,287.51
499,599,22,10.9,2,0,181.84
500,352,31,7.2,3,0,176.42
501,249,29,3.8,3,1,173.76
502,781,20,11.2,4,1,237.2
503,939,30,10.8,3,0,274.62
504,342,13,13.3,1,0,107.92
505,93,35,13.6,5,0,148.37
506,973,16,11.8,3,0,252.42
507,628,19,5.3,1,1,182.0
508,821,28,7.0,4,0,263.81
509,120,44,6.3,4,0,186.6
510,603,20,7.7,5,0,220.53
511,501,16,2.8,2,0,162.94
512,250,34,13.8,3,0,149.6
513,906,18,7.0,3,0,252.59
514,757,43,3.6,3,0,291.85
515,125,26,7.2,2,1,121.65
516,631,13,1.4,1,0,158.93
517,542,29,0.5,3,0,220.49
518,654,9,12.1,2,0,162.38
519,326,15,4.9,3,0,141.03
520,923,27,3.1,4,1,295.76
521,961,9,12.3,3,0,226.06
522,875,19,11.1,2,0,220.37
523,955,39,5.8,3,0,314.8
524,631,31,8.7,3,0,232.1
525,147,36,3.9,3,0,158.22
526,141,11,3.2,2,1,84.91
527,741,8,10.9,3,0,187.9
528,872,39,6.6,5,0,318.6
529,863,10,1.1,4,0,235.24
530,687,24,6.4,2,0,214.3
531,856,44,10.5,3,0,302.62
532,433,38,1.8,2,0,202.67
533,577,18,1.9,2,0,180.35
534,220,32,0.8,4,0,177.05
535,806,13,8.1,5,1,241.32
536,751,17,8.8,1,0,194.41
537,954,42,12.5,3,1,311.12
538,437,31,8.8,3,1,199.15
539,650,30,7.6,2,0,214.12
540,506,30,14.0,2,0,175.98
541,929,41,3.5,2,0,293.04
542,731,6,13.5,4,0,188.8
543,202,41,8.2,4,1,198.13
544,683,10,11.7,3,0,187.33
545,677,31,11.5,4,0,237.82
546,399,40,6.3,2,0,200.82
547,590,37,1.2,1,1,232.18
548,145,38,11.5,5,0,175.38
549,477,14,3.7,3,0,157.47
550,994,35,14.2,3,1,293.36
551,887,12,6.4,3,0,235.01
552,988,13,6.0,3,1,261.63
553,628,34,10.2,3,1,237.76
554,687,22,4.5,2,0,216.65
555,132,9,9.1,2,0,74.07
556,432,23,13.6,2,0,156.94
557,138,10,11.2,3,0,85.26
558,128,19,1.1,3,0,113.57
559,704,26,7.5,3,1,241.33
560,231,32,12.4,3,0,149.56
561,352,33,12.7,2,0,156.07
562,576,6,12.2,2,0,136.18
563,333,32,6.4,3,0,173.35
564,374,18,8.5,3,0,150.92
565,327,22,12.6,3,0,145.91
566,216,13,6.4,2,1,109.19
567,476,43,1.5,4,0,240.19
568,464,17,9.0,2,0,140.19
569,422,31,10.8,1,1,164.11
570,522,6,12.5,4,0,157.37
571,257,40,3.9,3,0,177.76
572,362,40,5.8,1,0,171.86
573,883,39,7.0,4,1,313.44
574,783,14,8.7,2,0,197.2
575,928,7,3.3,3,0,226.04
576,215,32,8.2,3,0,157.51
577,649,13,0.9,3,0,197.37
578,500,20,1.5,4,1,211.53
579,962,10,11.9,1,1,210.87
580,419,8,11.4,4,0,138.52
581,203,27,4.6,5,1,184.15
582,917,7,2.4,3,0,229.97
583,939,33,6.0,3,0,297.44
584,336,25,5.7,4,1,187.72
585,347,44,14.6,2,1,197.67
586,762,10,14.7,2,1,183.26
587,351,5,5.4,4,0,129.38
588,332,28,10.5,3,1,164.48
589,265,9,1.7,4,0,137.02
590,627,10,10.2,3,0,175.24
591,878,16,1.2,2,1,245.25
592,395,33,12.7,2,0,171.96
593,813,40,6.9,2,0,273.22
594,120,18,2.1,3,1,116.86
595,723,38,7.0,4,0,276.68
596,877,12,3.8,3,0,233.97
597,206,26,1.7,3,1,152.11
598,706,44,13.3,1,1,250.47
599,611,38,1.9,3,0,250.28
600,913,36,14.3,3,0,284.07
601,219,28,14.9,3,0,140.89
602,940,6,11.5,5,0,237.9
603,61,37,3.7,2,0,133.79
604,392,28,5.0,2,0,165.13
605,705,20,3.6,2,0,211.82
606,401,15,0.5,2,0,150.65
607,653,12,6.6,3,0,188.0
608,69,14,1.0,3,0,102.35
609,435,37,4.1,3,0,209.24
610,767,33,11.6,4,0,256.87
611,497,34,10.4,1,0,189.77
612,674,5,3.6,4,0,191.1
613,265,34,11.8,2,0,155.01
614,846,19,13.0,1,0,200.16
615,120,36,10.5,1,0,120.63
616,183,16,6.2,2,1,117.49
617,821,23,9.8,2,1,241.27
618,667,26,3.2,4,0,246.12
619,958,15,11.9,3,0,233.04
620,305,38,8.9,2,0,172.38
621,588,42,6.0,4,1,281.32
622,786,23,0.8,5,0,281.6
623,367,14,7.4,3,0,139.32
624,265,7,10.5,4,1,124.13
625,554,38,9.8,2,0,216.43
626,922,33,13.2,2,0,263.4
627,942,26,9.6,2,1,263.03
628,145,17,5.2,4,1,123.67
629,437,18,3.1,4,0,190.31
630,394,15,12.2,4,0,146.59
631,365,8,10.1,3,0,123.3
632,936,30,11.7,3,0,274.0
633,472,30,6.3,5,1,221.93
634,847,7,13.8,3,1,205.16
635,209,12,7.7,4,0,114.18
636,650,11,8.3,2,0,166.05
637,555,15,2.0,3,1,194.81
638,107,14,14.5,5,1,113.87
639,955,25,2.0,2,0,275.29
640,880,29,14.5,5,0,281.26
641,721,15,5.8,3,0,206.48
642,447,20,11.8,2,0,154.87
643,597,43,5.4,4,1,271.64
644,811,16,9.3,4,0,229.94
645,798,36,8.0,2,0,260.58
646,993,17,8.0,3,1,265.58
647,553,31,14.9,5,1,230.68
648,948,31,11.7,3,1,296.28
649,451,26,0.6,1,0,161.01
650,228,11,9.0,1,0,71.92
651,328,12,6.7,2,0,119.84
652,592,17,4.3,2,1,183.8
653,982,25,14.4,2,0,244.38
654,968,5,8.9,2,0,207.28
655,147,41,4.6,1,0,145.48
656,869,37,13.8,4,1,297.64
657,666,16,3.5,3,0,202.3
658,600,7,4.6,4,1,177.26
659,846,25,12.9,3,0,253.22
660,822,30,3.6,4,0,271.05
661,414,18,13.2,3,1,160.79
662,535,40,11.5,3,0,226.85
663,562,10,6.5,2,0,154.82
664,958,41,13.5,3,0,303.88
665,814,43,11.3,4,0,292.65
666,524,22,5.2,3,0,188.36
667,436,21,1.1,2,0,158.99
668,825,25,4.5,2,1,240.25
669,151,42,9.5,2,1,153.18
670,478,30,5.1,3,0,203.9
671,488,36,0.8,2,1,220.82
672,995,21,12.4,3,0,269.05
673,382,38,14.6,2,1,183.91
674,788,11,5.7,4,0,218.16
675,309,25,5.3,3,0,158.37
676,210,18,14.5,4,1,128.87
677,989,32,8.6,3,0,298.97
678,313,15,5.2,4,0,147.96
679,476,5,10.9,2,0,123.71
680,628,19,7.9,2,1,193.53
681,827,11,8.4,5,0,241.16
682,311,42,3.1,3,0,201.77
683,332,10,5.6,2,1,125.47
684,116,40,13.6,5,0,162.67
685,200,10,7.9,2,1,88.58
686,737,11,6.6,4,0,217.72
687,717,15,13.2,5,0,224.29
688,352,9,9.7,3,0,121.94
689,320,9,4.2,3,0,120.82
690,870,29,6.2,3,0,273.96
691,508,28,2.4,5,0,230.86
692,104,34,14.6,3,0,132.61
693,181,20,3.5,4,0,143.86
694,400,39,6.7,4,0,222.55
695,552,9,5.0,1,1,155.2
696,214,28,11.7,2,1,138.21
697,625,27,3.0,2,0,214.29
698,91,24,8.1,2,0,100.0
699,452,10,9.7,4,1,174.81
700,343,38,12.8,3,0,189.37
701,735,38,5.4,5,0,287.35
702,516,7,3.2,1,1,144.38
703,97,26,14.7,5,1,145.15
704,170,31,3.9,4,1,174.27
705,500,41,5.6,1,0,213.76
706,915,42,7.8,1,0,278.89
707,838,36,14.5,4,0,277.37
708,827,30,11.4,1,1,233.65
709,945,34,10.6,5,0,313.24
710,777,16,4.7,1,1,209.4
711,474,7,9.0,3,1,141.58
712,575,25,14.8,5,0,215.85
713,145,28,10.2,2,0,114.88
714,834,43,6.0,3,0,300.47
715,88,25,4.9,3,0,122.05
716,393,24,11.7,3,0,164.25
717,174,9,1.2,2,0,96.56
718,378,36,3.5,4,0,212.87
719,366,43,12.3,3,0,198.55
720,768,40,4.7,3,1,280.7
721,167,40,5.5,2,0,154.37
722,615,12,9.8,2,0,165.12
723,226,43,5.9,2,0,176.56
724,901,42,1.1,5,1,339.92
725,524,42,8.9,2,0,217.33
726,859,12,5.4,3,1,228.5
727,774,24,8.6,3,0,228.33
728,512,29,11.0,3,1,192.37
729,361,28,7.1,3,0,184.12
730,924,6,14.1,2,1,202.7
731,670,13,4.8,4,0,209.74
732,760,27,13.7,4,0,238.57
733,491,44,2.0,2,0,232.18
734,924,12,4.0,3,1,250.56
735,136,13,7.6,4,0,116.65
736,501,13,13.8,2,0,145.77
737,442,25,2.6,4,1,201.08
738,737,21,7.9,5,0,251.18
739,857,15,2.1,3,0,237.74
740,103,26,5.2,4,0,133.76
741,311,31,10.1,1,0,142.46
742,474,9,5.2,4,0,157.05
743,778,7,6.9,2,0,185.65
744,876,8,12.4,2,0,198.92
745,958,13,11.0,1,0,213.25
746,632,38,7.8,2,0,237.96
747,695,23,14.1,4,0,228.65
748,388,10,8.1,4,1,160.28
749,314,15,4.1,5,0,166.46
750,285,7,0.9,3,0,118.79
751,494,44,13.3,2,1,213.21
752,492,31,11.4,3,1,208.92
753,735,33,10.1,4,1,256.92
754,398,32,5.9,5,1,225.68
755,673,16,1.8,2,1,202.84
756,775,9,0.5,5,0,233.55
757,540,8,3.6,2,0,136.36
758,478,13,14.1,4,0,159.85
759,624,6,9.3,3,0,160.1
760,985,29,4.8,5,0,308.81
761,856,26,12.6,3,0,250.01
762,557,26,1.0,1,1,189.88
763,283,12,10.9,3,0,103.21
764,488,6,10.5,4,0,148.38
765,944,17,2.6,3,0,261.68
766,916,19,12.5,2,0,234.84
767,298,13,2.9,3,0,126.15
