ID_Sensor,Vibracion_RMS_mm_s,Temperatura_C,Presion_PSI,Variacion_Voltaje_V,Horas_Uso_Acumuladas,Estado_Sensor
71,2.93,64.3,119.3,-6.86,716,1
72,4.35,72.2,124.7,6.55,3744,1
73,2.46,66.2,101.8,-9.16,1303,1
74,4.38,45.8,103.9,-1.62,1859,1
75,0.1,79.9,87.6,-6.64,2665,1
76,3.49,57.6,93.7,7.59,3274,1
77,2.6,41.7,112.3,1.14,3181,1
78,2.14,58.6,124.1,-5.37,2730,1
79,2.61,87.5,97.2,0.05,3261,1
80,0.11,77.8,91.0,4.63,4421,1
81,2.24,59.8,100.0,9.16,769,1
82,2.93,59.8,112.0,-5.59,3268,1
83,4.27,60.2,71.1,7.72,2221,1
84,1.88,96.2,54.1,8.69,4178,1
85,1.53,70.7,89.0,8.33,4251,1
86,1.9,71.5,75.6,2.71,819,1
87,3.6,80.5,89.8,2.6,2700,1
88,2.89,68.6,97.0,-1.94,3698,1
89,1.86,61.1,90.9,5.05,4769,1
90,3.12,62.1,129.0,0.63,766,1
91,2.62,63.9,106.5,3.55,383,1
92,3.66,64.4,106.0,-1.43,4003,1
93,1.66,75.9,112.4,4.63,3665,1
94,2.11,65.8,77.2,6.49,2334,1
95,2.03,76.0,120.8,-7.07,4693,1
96,0.74,63.8,98.5,6.66,1565,1
97,2.86,66.2,113.4,0.81,229,1
98,2.81,35.0,78.6,6.89,4834,1
99,2.51,78.7,68.9,-1.37,2160,0
100,2.22,70.2,116.4,-2.42,3772,1
101,0.8,80.0,107.5,8.3,2594,1
102,2.0,21.6,82.0,-4.98,1092,0
103,2.09,96.3,82.6,6.88,2221,1
104,1.54,62.9,122.5,-0.32,2684,1
105,2.31,81.6,76.2,0.28,4296,1
106,2.98,49.4,132.9,-3.83,2323,0
107,4.76,74.2,82.0,1.46,4622,1
108,2.71,49.2,112.8,-3.5,3288,1
109,2.81,55.6,93.4,-9.21,3337,1
110,2.41,93.7,112.1,-4.56,4236,1
111,0.2,62.1,89.1,-9.87,4624,1
112,2.47,68.3,96.7,9.57,443,1
113,2.57,78.1,100.8,9.31,4561,1
114,5.46,72.4,80.0,-2.1,4804,1
115,2.27,67.3,114.8,4.57,4923,1
116,2.86,70.5,89.7,-3.08,2376,1
117,2.46,101.1,95.4,3.42,3301,1
118,1.1,64.1,80.1,6.11,988,1
119,3.87,68.0,48.8,8.94,2143,1
120,3.4,80.8,96.2,-2.0,1441,0
121,3.45,81.6,148.3,5.67,3820,1
122,1.41,82.8,115.7,-4.68,2983,1
123,4.18,74.6,99.6,9.81,4312,1
124,0.82,47.9,94.7,-9.48,2515,0
125,3.2,89.5,100.4,2.07,1217,1
126,5.13,47.8,110.9,3.19,4363,1
127,1.31,69.5,76.4,3.76,3101,1
128,1.82,53.7,122.3,-7.59,1838,0
129,2.62,64.0,114.3,8.77,1464,1
130,1.9,69.9,114.4,-6.38,2808,1
131,0.64,69.8,108.8,2.46,4890,1
132,2.58,71.3,100.4,-5.55,1024,1
133,1.23,89.2,113.5,-3.86,251,1
134,3.07,71.8,111.8,0.93,685,1
135,1.4,61.3,92.9,-1.66,1012,0
136,4.36,79.5,88.5,-6.8,2421,1
137,1.56,82.8,102.0,-6.58,595,0
138,2.11,46.6,131.0,-1.64,3895,1
139,3.48,74.0,75.2,5.15,2248,1
140,1.02,75.5,70.6,7.96,656,1
141,2.77,60.5,103.3,-8.32,1652,1
142,4.07,85.6,101.0,-2.14,2220,1
143,0.57,62.7,103.5,-8.0,3185,1
144,2.72,66.9,104.9,-9.67,3604,1
145,2.81,62.4,95.5,3.23,256,1
146,3.44,65.2,129.8,2.05,834,1
147,1.02,48.6,68.0,-6.74,4754,0
148,0.92,43.4,83.4,-5.32,3376,1
149,3.13,88.9,97.9,-9.53,254,1
150,2.86,52.3,67.1,6.7,1096,1
151,2.8,50.1,96.5,9.49,2394,0
152,2.92,32.7,133.2,-7.29,4726,1
153,1.68,55.4,100.4,-5.37,3005,1
154,2.78,45.2,104.6,7.37,4924,1
155,2.85,89.6,74.8,8.53,1277,1
156,1.64,80.1,87.7,-1.61,253,0
157,4.74,54.7,92.5,-8.99,4287,1
158,3.07,98.8,93.6,-9.21,1816,1
159,1.07,79.7,125.6,1.48,3302,1
160,3.29,60.1,111.2,-2.14,2957,1
161,1.33,27.5,77.8,-9.43,886,1
162,3.44,99.4,104.9,1.67,4468,1
163,3.89,44.2,110.0,-9.77,4372,1
164,1.52,40.3,122.8,5.75,3867,1
165,3.66,80.3,131.6,-3.87,2978,1
166,3.0,101.6,79.7,-9.19,742,0
167,3.49,85.8,83.8,1.77,4762,1
168,4.78,73.5,74.8,-2.05,765,1
169,2.21,73.9,95.3,9.48,3526,1
170,1.6,77.8,109.3,0.88,3883,0
171,1.43,76.4,119.7,-4.5,3801,1
172,1.52,69.2,98.5,4.19,1169,1
173,2.41,66.6,93.6,-4.57,2449,1
174,2.91,64.1,103.0,8.08,4603,1
175,2.83,53.7,83.3,-2.51,1312,1
176,3.49,60.8,141.8,1.0,1252,1
177,2.52,39.6,67.8,-8.99,2611,0
178,4.24,63.5,103.7,-1.48,243,1
179,2.18,50.2,140.5,6.65,2589,1
180,5.76,48.4,100.1,6.11,3328,1
181,3.25,67.7,96.2,-5.51,4682,1
182,1.47,85.9,92.9,-5.48,3305,1
183,1.21,78.8,96.4,6.35,4343,1
184,3.08,41.4,127.5,8.61,3242,1
185,2.23,50.2,55.8,-8.09,3404,1
186,3.36,79.1,130.7,-1.0,1457,1
187,3.07,50.3,71.5,-3.25,2813,1
188,2.41,61.6,94.7,7.41,4285,1
189,1.48,73.3,91.4,-8.33,1457,0
190,0.68,50.5,111.8,-5.78,4394,1
191,1.96,66.6,68.0,5.05,4733,1
192,3.53,45.0,109.2,-8.97,3292,1
193,2.76,56.0,140.5,-0.15,400,0
194,1.01,69.8,72.7,-1.16,823,0
195,2.71,41.1,103.8,-3.31,3110,0
196,2.96,71.6,86.8,-2.11,167,1
197,1.44,64.7,108.5,0.6,3936,1
198,2.68,73.3,100.4,-6.77,4093,1
199,2.57,68.4,87.2,1.44,2606,1
200,1.13,85.5,109.8,6.11,1637,1
201,2.93,66.9,136.1,5.2,497,1
202,3.17,58.6,96.2,-6.92,4815,1
203,3.8,66.8,114.4,-7.02,3457,1
204,3.76,73.1,74.1,-4.64,1263,1
205,0.85,65.7,80.9,-2.78,4925,1
206,1.37,65.6,109.4,-1.83,655,0
207,3.12,54.5,129.7,3.59,3761,1
208,3.12,55.1,107.1,-8.87,1851,1
209,3.12,44.0,93.7,-9.31,3041,1
210,7.12,91.2,100.0,-2.16,2757,1
211,3.19,46.3,75.0,3.94,2895,0
212,3.86,54.6,112.1,-6.13,2429,1
213,3.64,54.2,117.6,2.83,2059,1
214,3.28,78.4,91.0,-4.8,1701,1
215,2.12,60.6,90.6,7.72,2893,1
216,3.41,83.7,105.3,7.91,1580,1
217,1.57,54.9,91.3,-4.05,1202,1
218,2.22,69.2,98.7,-5.4,3376,1
219,1.92,52.5,142.0,-1.77,1399,1
220,2.6,97.2,95.1,-5.19,3979,1
221,5.28,47.2,92.8,3.45,1635,1
222,0.26,69.6,87.0,6.52,177,0
223,3.32,74.5,114.9,3.46,2931,1
224,0.56,71.2,96.4,6.49,3510,1
225,1.93,62.2,87.0,-2.06,2821,0
226,3.81,63.1,126.4,-6.87,3727,1
227,2.58,65.7,128.4,4.76,1632,1
228,1.21,62.8,88.0,-2.79,337,0
229,1.64,79.5,62.7,3.43,2096,1
230,3.32,98.2,120.2,-4.59,3527,1
231,1.62,56.6,86.3,-8.38,377,0
232,2.76,44.5,115.8,9.85,3189,1
233,2.55,63.7,60.6,-6.88,623,1
234,1.72,103.7,117.9,9.77,4375,1
235,5.07,52.9,75.8,9.55,4318,1
236,3.26,89.6,114.6,5.88,3222,1
237,0.1,90.2,100.3,3.19,4675,1
238,2.72,56.7,80.9,1.56,1897,1
239,1.71,73.5,91.9,7.32,2231,1
240,3.52,89.4,113.7,-4.21,915,1
241,1.55,59.3,102.1,-0.65,2794,1
242,2.36,61.9,111.7,2.39,542,0
243,3.11,56.3,139.5,-1.78,3240,1
244,3.54,49.8,68.7,-1.45,242,1
245,1.06,55.3,132.3,-3.39,4387,1
246,2.1,46.6,102.1,1.28,1510,0
247,1.93,65.5,82.0,7.01,4573,1
248,1.72,53.5,73.4,-5.97,634,0
249,4.62,68.5,96.2,8.69,1816,1
250,2.99,41.7,118.4,3.78,3464,1
251,0.99,70.0,97.4,6.47,1132,1
252,3.6,77.5,130.2,1.12,3442,1
253,5.05,35.1,71.0,5.59,1510,1
254,3.74,70.6,99.8,-9.68,4600,1
255,0.68,83.4,75.0,6.37,1272,0
256,1.92,46.9,107.3,-9.2,988,1
257,4.02,90.1,117.7,7.8,3438,1
258,1.65,71.3,91.6,9.84,4617,1
259,3.03,54.4,47.9,-4.12,1741,1
260,3.43,64.2,104.0,-5.79,571,1
261,1.39,73.4,108.7,5.31,3040,1
262,2.43,66.1,108.1,-4.94,646,1
263,0.1,73.1,124.7,7.31,4826,1
264,1.27,51.2,78.6,-7.94,3697,1
265,2.2,67.5,113.6,-7.48,2925,1
266,1.0,43.8,123.9,9.58,3823,1
267,4.46,63.3,64.4,3.48,463,1
268,0.78,51.4,106.4,6.94,2266,1
269,1.97,54.0,89.9,-3.51,3409,1
270,2.66,83.5,98.4,3.53,645,0
271,4.23,81.4,107.0,1.88,3340,1
272,0.78,74.1,90.3,2.06,4829,1
273,3.9,48.6,86.5,3.65,2036,1
274,2.51,60.3,100.7,1.51,1062,1
275,1.32,83.2,78.3,-1.42,3105,0
276,3.05,67.1,78.3,-4.48,3906,1
277,2.74,99.8,113.6,5.37,982,1
278,1.78,70.9,77.0,-5.47,3940,1
279,2.58,67.9,113.3,3.85,970,1
280,2.04,60.4,109.3,-5.33,4711,0
281,2.64,67.0,65.5,2.51,3085,1
282,3.29,62.7,86.4,4.94,965,1
283,4.4,75.6,123.9,-5.63,4409,1
284,1.01,79.4,80.4,-8.8,3303,1
285,5.06,53.2,90.7,-7.38,2997,1
286,0.16,45.0,109.2,2.12,2344,0
287,2.32,37.5,115.7,6.99,118,0
288,3.21,72.6,95.0,-9.1,741,1
289,2.84,48.4,88.0,4.68,3183,1
290,1.75,32.7,128.4,-3.17,429,1
291,2.25,70.8,134.8,-0.43,965,1
292,1.91,102.4,119.6,8.58,873,0
293,1.79,64.9,101.7,-3.36,4587,1
294,3.52,77.6,83.8,-0.69,4832,1
295,2.93,66.2,83.4,-9.73,2454,1
296,1.67,63.5,110.5,-8.37,3438,1
297,3.58,78.8,108.4,-4.83,3618,1
298,2.87,60.6,128.0,-9.44,3042,1
299,3.48,69.0,113.0,2.63,2667,1
300,3.26,69.8,69.9,-1.47,1774,1
301,1.51,55.0,121.0,0.96,2783,1
302,1.83,79.9,80.0,-6.51,3480,1
303,3.4,62.4,92.3,-4.08,839,0
304,3.23,53.7,105.0,3.28,1645,1
305,2.47,73.0,139.9,9.31,4664,1
306,2.64,51.5,160.0,-8.99,2359,1
307,4.03,65.4,112.1,7.81,1235,1
308,1.79,64.9,96.3,1.54,973,0
309,3.16,81.3,110.7,1.28,4655,1
310,2.26,72.1,117.8,0.01,2400,1
311,2.24,64.6,93.6,-8.61,851,1
312,3.82,77.3,135.9,-8.2,953,1
313,3.49,85.9,104.6,2.02,3832,1
314,3.48,73.4,110.0,-3.18,2383,1
315,4.07,65.2,113.3,8.35,1429,1
316,2.53,45.3,108.4,-1.87,577,1
317,3.32,49.0,116.8,-7.13,2826,1
318,2.13,60.4,87.7,4.29,3191,1
319,2.89,55.9,88.8,-4.13,4330,1
320,2.34,62.2,78.0,0.51,4605,0
321,2.62,65.8,108.8,3.96,1369,1
322,3.21,72.9,115.6,8.01,4281,1
323,1.52,63.9,109.2,5.84,2703,1
324,5.01,72.3,133.5,3.53,1569,1
325,1.29,66.0,99.9,3.59,477,0
326,1.04,35.4,113.4,8.92,1780,1
327,3.89,50.9,78.2,-4.08,341,0
328,3.45,62.8,92.3,-9.98,1019,1
329,3.25,46.9,113.9,-4.56,169,0
330,3.25,74.0,117.0,-5.64,4024,1
331,2.49,88.0,94.1,3.24,2186,1
332,1.42,83.3,98.6,2.67,2107,0
333,2.59,61.8,69.6,1.87,900,1
334,1.69,87.4,92.9,-9.68,2879,1
335,3.67,67.2,117.8,4.58,855,1
336,2.32,59.9,111.5,-3.53,2095,1
337,1.51,55.8,110.0,3.3,1421,1
338,2.11,60.5,101.0,1.13,2430,1
339,3.0,59.2,100.1,-3.15,209,1
340,1.82,67.6,86.8,-7.31,1116,1
341,1.51,67.4,114.0,-8.11,3965,0
342,2.79,65.0,108.4,6.63,124,1
343,2.79,71.6,109.8,8.37,2938,1
344,1.89,82.9,89.5,3.0,837,1
345,1.93,79.2,56.9,-7.93,279,1
346,2.78,42.7,121.9,-1.96,331,0
347,0.76,26.7,90.4,4.58,2017,0
348,0.81,79.0,82.7,5.6,442,0
349,1.64,44.5,113.9,-7.64,4672,1
350,2.24,61.6,92.2,-10.0,2723,1
351,2.87,47.4,121.2,4.24,554,1
352,4.27,38.0,112.3,-2.87,4484,1
353,3.53,73.1,113.7,-4.91,4725,1
354,2.31,76.4,72.7,-9.74,2376,1
355,2.48,56.4,124.2,0.81,695,1
356,1.3,26.1,105.2,7.02,3974,0
357,2.48,56.8,92.6,9.15,4630,1
358,2.15,70.9,102.9,1.31,4597,1
359,2.89,42.8,64.5,0.29,2769,0
360,1.51,67.8,108.2,-8.3,2235,1
361,3.12,64.8,79.4,0.98,4064,1
362,4.34,73.7,72.9,-2.4,1665,1
363,2.37,66.8,69.6,2.14,408,1
364,2.98,50.4,122.3,-2.23,442,0
365,3.33,82.9,87.4,-5.19,535,1
366,2.02,62.6,130.7,-8.1,276,1
367,2.77,64.6,89.3,-3.7,238,1
368,2.52,51.0,65.9,-8.07,293,1
369,2.62,58.4,77.7,-6.46,3357,1
370,1.57,51.7,124.7,9.75,3335,1
371,2.53,62.4,96.9,-1.12,1042,0
372,3.1,90.7,89.0,0.64,4720,1
373,4.24,44.4,103.2,7.47,3979,1
374,3.65,40.8,110.0,9.91,3213,1
375,5.08,87.1,122.3,1.65,3062,1
376,1.58,61.9,129.0,6.25,4936,1
377,3.55,55.0,92.8,-3.46,1053,1
378,2.72,80.6,73.5,-3.89,1402,1
379,5.13,55.9,91.7,-1.95,3481,1
380,1.53,92.4,105.2,3.45,2980,1
381,1.49,75.2,80.7,3.64,2287,0
382,1.78,57.7,80.9,-3.7,4987,1
383,0.1,97.4,106.9,-7.34,645,1
384,1.87,55.9,99.0,2.65,2027,1
385,1.59,76.1,100.7,-7.43,4252,1
386,2.68,69.5,84.8,1.57,104,1
387,2.91,84.5,95.4,3.87,3581,1
388,4.75,88.4,81.5,4.01,3353,1
389,3.64,65.5,117.8,5.07,1462,1
390,1.81,53.7,120.7,7.46,1920,1
391,1.42,71.9,63.1,-0.0,2763,0
392,3.09,54.8,81.4,4.6,3038,1
393,0.92,95.2,70.1,2.38,1373,0
394,4.7,67.0,87.0,-6.27,3426,1
395,3.92,59.5,98.3,-9.49,3759,1
396,1.94,67.8,71.0,-4.31,3045,0
397,0.44,44.8,81.6,-1.14,3118,1
398,4.12,50.4,79.9,2.34,1231,0
399,2.36,83.0,104.1,7.0,4863,1
400,3.99,55.1,101.4,-6.08,2736,1
401,0.59,49.3,85.6,-7.49,3129,1
402,1.78,73.0,103.5,9.27,3119,1
403,2.51,82.8,89.1,-7.84,4477,1
404,2.56,75.8,94.6,-0.43,3259,1
405,1.96,79.9,133.5,1.71,353,1
406,3.25,53.6,126.8,0.83,428,1
407,1.22,43.7,74.0,-8.28,2691,0
408,2.33,87.5,116.6,-8.86,2930,1
409,2.64,60.2,116.2,-7.89,3144,1
410,3.12,61.2,77.0,1.71,1520,0
411,3.35,84.9,116.4,0.89,3501,1
412,1.15,73.3,130.8,-5.33,2992,1
413,0.66,71.8,77.5,2.76,754,0
414,4.03,97.5,81.6,6.4,859,1
415,2.9,55.3,120.4,-9.17,1898,1
416,1.6,78.9,105.4,-0.04,3071,1
417,4.36,65.9,111.0,3.79,4611,1
418,2.64,69.0,106.8,-4.95,3526,1
419,3.92,87.9,107.8,-3.84,354,1
420,2.58,72.6,73.5,2.27,3923,1
421,4.97,73.1,120.9,7.96,1976,1
422,4.61,81.1,123.4,6.2,2857,1
423,2.2,59.5,95.4,1.66,2724,1
424,3.67,52.4,99.1,4.6,4221,1
425,3.27,49.3,69.4,-2.7,3104,1
426,4.14,35.5,110.3,2.82,4616,1
427,1.34,95.8,111.4,-0.68,3834,1
428,3.32,48.5,98.8,-6.2,1344,1
429,3.77,61.7,122.5,4.03,1108,0
430,0.39,60.8,93.3,1.13,4414,1
431,1.08,69.6,111.3,-2.83,1610,1
432,0.1,77.2,79.6,8.23,2059,1
433,2.18,77.9,99.5,-9.58,2608,1
434,3.36,56.3,96.5,-3.68,4858,1
435,4.3,62.5,104.5,-8.86,2782,1
436,2.59,69.2,92.6,5.33,1089,1
437,4.45,61.3,97.4,4.04,4384,1
438,0.84,89.1,116.5,-3.37,354,1
439,0.46,72.4,91.3,3.51,4263,1
440,2.43,76.0,67.9,-2.08,4811,0
441,2.96,74.9,135.0,5.13,4552,1
442,2.46,82.6,127.6,-0.92,355,1
443,0.1,67.7,74.2,-1.75,1107,0
444,2.39,45.5,113.8,8.69,1855,1
445,0.93,71.0,89.9,-4.98,2671,0
446,3.3,55.2,105.3,-7.59,4008,1
447,2.94,57.1,105.9,1.69,3097,1
448,1.37,73.8,95.3,9.39,2903,1
449,1.88,83.6,84.3,-2.44,3865,1
450,1.23,65.3,86.2,-8.76,4479,1
451,2.42,69.6,81.7,-3.21,3483,1
452,3.65,90.5,83.4,0.12,198,1
453,1.32,68.6,98.7,-6.76,296,1
454,3.1,104.0,85.7,3.16,2629,1
455,1.86,73.5,113.6,9.95,977,1
456,1.55,38.6,129.7,-0.97,1968,0
457,2.37,76.3,88.4,-2.91,2765,1
458,1.26,70.7,104.8,-1.99,1488,0
459,1.84,84.3,110.0,-7.7,2515,1
460,1.06,75.1,109.4,7.67,669,1
461,4.86,62.9,101.5,-1.7,2737,1
462,2.54,46.6,114.9,-2.25,1165,0
463,1.66,61.9,109.6,3.19,521,1
464,2.76,52.2,75.2,-1.16,2983,1
465,2.37,56.3,117.4,2.96,1304,1
466,2.23,73.8,117.7,-8.77,644,1
467,3.24,90.0,84.7,6.27,4266,1
468,3.41,70.9,100.8,8.81,3739,1
469,1.86,47.1,113.7,2.98,1323,0
470,1.81,71.7,95.8,9.09,3272,1
471,2.17,82.9,121.5,-6.97,867,0
472,0.1,55.9,147.3,-0.45,3757,1
473,0.68,63.0,84.3,2.04,754,0
474,4.14,65.2,72.4,1.63,2546,1
475,4.47,53.2,106.1,-1.97,320,1
476,2.2,74.7,114.4,-3.24,3766,0
477,3.19,63.2,95.4,-7.46,4377,1
478,2.87,71.3,129.1,-2.17,4502,1
479,6.19,51.7,73.2,-6.75,2669,1
480,3.84,58.4,113.9,4.69,1113,1
481,2.35,75.8,87.9,-5.82,2151,1
482,1.35,59.4,134.4,-8.83,4085,0
483,0.57,90.9,139.9,1.05,4999,1
484,2.74,59.0,84.7,1.9,4410,1
485,1.59,68.4,89.0,7.44,3119,1
486,0.79,79.0,117.2,1.54,3781,1
487,1.72,43.7,92.3,-3.09,1543,1
488,1.2,38.6,99.1,6.06,4296,1
489,4.52,42.1,100.5,0.81,3110,1
490,3.56,83.9,61.6,-8.41,672,1
491,2.49,56.7,99.7,1.32,1432,1
492,4.28,103.4,86.2,8.16,4853,1
493,2.59,56.5,90.1,-2.07,4102,1
494,1.47,67.8,128.9,-4.07,3234,1
495,4.33,88.1,74.9,-7.13,4186,1
496,3.15,95.1,116.3,-6.97,325,1
497,1.26,95.9,94.4,-1.34,4300,1
498,2.27,83.1,94.4,1.91,2097,1
499,1.45,80.4,115.8,-8.39,871,1
500,0.84,73.9,106.8,8.79,4624,1
501,3.61,76.7,111.4,5.1,533,1
502,4.79,56.7,119.4,1.73,3199,1
503,0.82,52.7,93.4,6.57,2829,0
504,3.18,64.9,87.8,-8.4,3507,1
505,1.72,62.4,78.3,-0.46,3240,1
506,1.92,58.2,83.5,2.6,965,0
507,1.79,75.4,159.0,6.57,2893,1
508,1.46,79.3,124.9,5.67,3011,0
509,2.56,66.3,73.0,-4.46,2515,1
510,1.5,87.2,73.6,8.82,350,1
511,2.82,47.9,109.6,-7.51,3857,1
512,2.44,62.1,110.9,7.5,4756,1
513,2.21,54.2,111.0,9.42,1018,1
514,1.41,37.0,94.9,-6.46,1273,1
515,1.81,63.8,97.5,4.44,3303,1
516,3.41,63.2,106.6,-9.19,532,1
517,3.1,87.7,101.7,-1.89,935,1
518,1.33,74.5,55.6,0.33,2346,0
519,2.62,49.6,95.4,1.61,2362,1
520,3.4,92.8,83.0,8.72,997,1
521,0.5,83.3,103.5,3.45,3732,1
522,3.15,73.7,159.7,-0.37,4667,1
523,1.7,61.6,107.3,6.19,3915,1
524,3.18,50.6,93.7,9.01,346,1
525,1.58,59.4,118.4,-9.56,2529,1
526,0.33,81.3,109.7,9.65,1090,0
527,0.55,93.3,108.4,-8.28,3410,1
528,2.56,88.1,112.1,6.29,1026,1
529,2.81,57.7,141.1,-4.39,3538,1
530,1.41,48.2,77.4,-7.36,2707,1
531,3.27,67.1,109.5,-1.2,1174,1
532,0.51,38.5,81.5,2.88,4122,0
533,2.42,69.8,111.1,-2.38,3899,1
534,1.05,62.8,81.6,-8.91,4884,1
535,1.72,58.0,91.7,1.99,3251,1
536,2.56,41.1,94.1,8.05,3538,1
537,1.47,72.7,119.5,-2.34,4673,1
538,2.04,57.0,118.4,-5.67,3591,1
539,3.71,47.5,75.1,-1.15,806,1
540,1.81,21.9,101.1,-9.03,3164,1
541,3.5,64.6,85.8,6.41,853,1
542,1.14,91.6,74.8,6.53,687,0
543,3.14,89.9,95.7,1.76,1434,1
544,4.23,58.1,93.8,-2.94,1947,1
545,0.1,56.0,148.5,6.0,4034,1
546,1.54,72.0,108.7,1.09,4026,1
547,3.19,50.0,72.4,6.52,3417,1
548,2.26,69.5,88.7,2.63,4120,1
549,2.95,76.5,120.4,5.69,3255,1
550,1.78,83.4,141.8,1.97,4402,1
551,2.6,63.5,68.3,-1.72,2298,0
552,2.31,61.9,62.4,9.16,264,0
553,3.9,51.8,137.4,0.82,2098,1
554,2.81,52.6,107.8,2.1,3157,1
555,2.91,61.6,82.6,-5.59,2184,1
556,2.01,70.5,110.7,2.51,4528,1
557,1.91,78.7,47.3,1.43,502,1
558,1.98,53.0,100.1,-6.3,513,1
559,2.97,87.4,106.6,-8.81,144,1
560,1.99,60.9,118.5,2.09,4257,1
561,2.85,64.7,79.7,5.27,2567,0
562,4.99,53.8,101.7,0.47,967,1
563,3.55,28.6,81.5,-5.46,118,1
564,2.11,78.3,105.1,3.33,464,0
565,3.94,76.1,82.1,-8.4,3932,1
566,2.01,60.8,91.8,-1.16,679,1
567,0.1,66.0,80.1,-6.73,645,0
568,1.29,72.7,113.0,-6.31,4250,1
569,0.26,41.6,117.2,-5.95,4973,1
570,2.08,57.1,95.3,-2.27,3139,1
571,2.52,76.9,100.8,-8.98,4237,1
572,4.51,46.2,71.0,-2.04,4144,1
573,2.89,69.4,94.0,0.23,4426,1
574,2.24,44.7,99.0,-0.33,552,0
575,3.5,72.0,152.4,-2.34,4061,1
576,0.1,64.5,77.8,6.78,1481,1
577,2.78,40.8,129.3,-7.09,1567,1
578,3.43,82.5,119.9,0.11,2838,1
579,0.73,54.0,105.6,-8.76,1316,0
580,3.87,52.8,135.2,-8.58,980,1
581,2.91,68.0,107.4,1.48,3914,1
582,2.0,82.2,107.8,1.32,3249,1
583,3.26,49.8,98.9,7.56,184,1
584,5.22,65.9,124.5,1.16,4244,1
585,2.72,71.4,121.9,9.2,1268,1
586,2.8,75.4,87.5,-9.03,4264,0
587,1.95,67.6,73.6,-8.04,3229,1
588,1.48,59.5,95.9,-9.12,3745,1
589,3.5,52.6,84.0,-6.29,2626,1
590,1.47,66.3,98.7,0.83,2967,0
591,2.59,48.9,124.7,2.91,3616,1
592,1.93,21.2,90.9,-9.09,3467,1
593,3.07,71.5,99.1,8.92,2294,1
594,2.9,78.6,101.2,6.84,3655,1
