ID_Diagnostico,Amplitud_Ruido_dB,Frecuencia_Pico_Hz,Temperatura_Cojinete_C,Flujo_Lubricante_L_min,Corriente_Motor_Amp,Categoria_Falla
265,66.0,2070.0,58.3,4.73,16.95,0
266,61.9,2011.0,43.3,3.01,15.9,0
267,79.9,163.0,72.4,2.22,10.85,0
268,101.6,1751.0,41.2,2.63,18.47,0
269,76.7,1591.0,47.2,2.17,9.94,0
270,58.8,2287.0,50.0,1.73,15.75,0
271,94.5,1557.0,85.7,0.88,13.93,1
272,58.4,2480.0,77.3,4.45,20.87,0
273,71.4,526.0,68.2,4.94,15.77,0
274,43.2,628.0,54.6,4.24,13.3,0
275,84.0,2105.0,66.0,1.78,7.28,0
276,91.0,215.0,37.5,0.72,7.14,0
277,93.0,2085.0,58.0,1.95,14.01,0
278,78.7,2408.0,32.1,0.57,13.14,0
279,63.8,772.0,46.1,4.23,11.72,0
280,92.0,2699.0,39.9,3.35,8.41,0
281,45.2,1449.0,25.0,3.98,20.51,0
282,105.4,2888.0,68.4,4.94,16.56,0
283,108.1,1410.0,54.5,2.53,12.67,0
284,67.9,184.0,52.4,2.73,9.83,0
285,70.4,950.0,30.7,4.23,19.0,0
286,98.5,1392.0,59.7,2.53,14.9,0
287,81.4,800.0,59.0,3.65,13.67,0
288,58.3,520.0,35.0,0.56,14.99,0
289,94.5,1927.0,47.5,2.13,12.63,0
290,71.8,1097.0,40.9,0.69,20.04,0
291,77.1,2548.0,29.1,3.29,13.05,0
292,72.7,2936.0,28.0,3.24,12.85,0
293,64.7,2640.0,71.2,1.84,14.12,0
294,71.6,2418.0,82.9,4.12,15.61,0
295,105.8,1921.0,30.3,2.99,11.24,0
296,107.7,1590.0,71.6,4.2,13.17,0
297,102.4,2366.0,51.0,0.87,14.66,0
298,77.5,2105.0,67.9,1.8,18.45,0
299,101.1,2054.0,25.0,2.77,15.5,0
300,68.5,1864.0,51.2,2.25,13.31,0
301,81.0,1145.0,66.5,2.87,13.29,0
302,109.5,2876.0,90.9,4.86,11.79,0
303,108.9,1439.0,65.5,2.26,10.82,0
304,61.5,410.0,73.0,4.08,21.16,0
305,95.6,889.0,31.0,3.94,16.79,0
306,66.4,2266.0,45.7,4.49,11.42,0
307,40.5,1281.0,69.1,4.25,12.62,0
308,99.9,799.0,39.2,2.33,16.13,0
309,101.3,2303.0,52.7,3.97,20.31,2
310,55.4,2457.0,25.0,0.51,19.78,0
311,79.3,2605.0,59.2,0.69,10.98,0
312,90.4,1778.0,66.2,2.11,13.76,0
313,108.0,2361.0,82.0,4.18,17.85,0
314,57.3,590.0,52.6,3.75,9.95,0
315,49.7,2161.0,76.7,2.93,19.88,0
316,58.9,2528.0,55.1,1.81,11.03,0
317,52.3,552.0,34.7,1.21,11.13,0
318,84.9,2265.0,25.0,3.13,14.49,0
319,98.6,429.0,52.6,4.48,22.51,2
320,42.2,1243.0,64.4,0.75,12.65,0
321,44.3,619.0,55.1,3.3,17.53,0
322,108.9,2481.0,27.4,2.23,12.3,0
323,49.9,184.0,70.6,4.23,14.83,0
324,100.9,2193.0,38.9,4.25,11.62,0
325,106.8,1060.0,56.5,1.06,17.9,0
326,40.7,889.0,67.9,2.58,13.41,0
327,44.5,2478.0,57.5,3.47,14.44,0
328,63.0,539.0,53.2,4.25,11.18,0
329,78.2,1183.0,59.7,2.39,10.53,0
330,59.3,2870.0,62.6,2.59,10.4,0
331,68.0,1129.0,52.4,1.14,16.2,0
332,99.9,532.0,51.5,3.18,9.42,0
333,80.7,2414.0,68.8,2.34,16.25,0
334,56.6,198.0,36.1,0.55,7.15,0
335,71.4,1370.0,77.9,3.31,16.7,0
336,63.7,1617.0,54.6,0.58,11.87,0
337,103.9,267.0,27.5,1.67,17.89,0
338,103.6,2836.0,69.5,1.5,16.15,0
339,42.8,1181.0,77.0,2.75,21.36,0
340,71.1,1613.0,67.5,2.28,12.37,0
341,79.4,2586.0,60.0,4.55,13.72,0
342,58.2,2881.0,51.8,3.94,17.39,0
343,43.1,1047.0,30.2,2.79,21.34,0
344,88.4,351.0,54.9,4.35,12.32,0
345,68.3,205.0,74.7,3.56,21.52,0
346,97.4,1738.0,49.7,0.85,9.16,0
347,101.7,1919.0,73.9,2.7,17.74,0
348,44.2,2184.0,26.0,2.29,15.16,0
349,63.7,1714.0,45.4,2.36,9.86,0
350,78.0,2065.0,42.8,3.73,13.1,0
351,41.0,452.0,77.4,3.7,10.39,0
352,54.5,1468.0,69.6,4.03,14.08,0
353,51.7,1438.0,73.6,2.33,13.56,0
354,88.2,1349.0,75.1,4.46,14.02,0
355,56.5,2864.0,75.2,1.12,9.69,0
356,88.1,1543.0,37.1,2.95,12.06,0
357,71.8,2628.0,25.0,2.25,17.43,0
358,103.3,1278.0,77.6,0.83,14.12,0
359,89.0,1967.0,42.3,2.06,7.63,0
360,84.4,1346.0,60.3,4.2,11.59,0
361,50.8,223.0,64.5,2.7,8.07,0
362,84.5,2648.0,51.6,1.29,22.7,0
363,106.7,446.0,39.4,2.89,9.06,0
364,108.3,1538.0,43.4,4.19,9.55,0
365,50.5,415.0,54.7,3.27,11.18,0
366,87.3,2061.0,37.7,0.84,8.3,0
367,48.1,154.0,60.2,4.49,11.03,0
368,85.9,658.0,50.3,3.98,13.69,0
369,105.0,671.0,47.1,3.86,17.27,0
370,98.5,2802.0,71.9,3.74,14.87,0
371,61.3,1020.0,51.2,3.67,19.74,0
372,57.9,800.0,68.4,2.93,14.99,0
373,66.3,1575.0,87.2,0.63,13.53,1
374,107.5,1374.0,54.8,2.49,16.09,0
375,55.0,547.0,56.2,4.29,13.89,0
376,97.4,2226.0,47.2,3.83,14.22,0
377,65.6,564.0,53.2,3.35,14.93,0
378,83.6,2507.0,106.0,2.98,19.8,0
379,40.9,1823.0,25.0,4.46,15.51,0
380,54.7,1451.0,25.0,4.37,10.44,0
381,49.5,2891.0,36.7,1.33,19.84,0
382,72.8,906.0,39.2,2.27,17.65,0
383,41.1,1626.0,56.4,2.45,6.08,0
384,62.5,1675.0,72.8,3.97,15.34,0
385,95.5,1414.0,47.1,1.44,15.29,0
386,78.8,2870.0,97.4,1.6,17.04,1
387,102.2,1163.0,58.4,1.58,11.21,0
388,79.7,152.0,70.9,1.43,17.95,0
389,105.4,1869.0,27.4,1.49,17.06,0
390,57.0,1813.0,64.1,3.4,7.71,0
391,83.9,1953.0,53.3,2.59,13.81,0
392,106.4,2804.0,46.5,2.49,14.91,0
393,79.7,1929.0,53.0,0.66,16.38,0
394,102.4,785.0,74.8,4.09,14.05,0
395,43.7,1869.0,88.8,1.69,7.77,1
396,40.8,1463.0,25.8,3.59,15.23,0
397,40.7,2179.0,61.0,0.71,10.03,0
398,76.7,2944.0,62.7,4.37,9.13,0
399,56.2,1936.0,63.9,1.56,7.65,0
400,83.0,1537.0,56.4,3.55,7.45,0
401,67.5,391.0,62.7,3.48,16.69,0
402,78.6,1814.0,53.2,4.52,16.79,0
403,106.4,1964.0,45.1,3.57,14.08,0
404,69.4,1223.0,83.0,3.81,8.11,0
405,86.8,1674.0,64.8,2.4,12.92,0
406,46.9,2588.0,53.2,3.08,17.79,0
407,102.1,1443.0,67.2,0.96,15.61,0
408,107.9,758.0,90.8,4.59,12.18,0
409,57.5,1687.0,64.2,1.87,11.21,0
410,51.9,2762.0,51.2,3.83,19.21,0
411,85.8,2737.0,46.4,3.67,5.39,0
412,95.3,1849.0,60.0,2.71,17.72,0
413,53.5,586.0,81.4,2.54,16.48,0
414,59.6,1073.0,47.7,3.59,12.33,0
415,54.2,2468.0,49.4,4.81,12.69,0
416,91.3,2340.0,54.6,3.79,16.26,0
417,80.9,2969.0,53.8,1.61,13.74,0
418,108.1,2271.0,43.7,4.58,19.22,0
419,95.9,1295.0,51.6,0.92,19.57,0
420,56.0,2323.0,38.9,4.43,18.38,0
421,72.3,2158.0,67.4,2.48,8.98,0
422,77.8,1089.0,35.1,0.97,18.62,0
423,61.3,942.0,68.0,2.8,14.09,0
424,50.3,1846.0,70.4,5.0,16.91,0
425,93.2,1984.0,37.1,2.01,16.95,0
426,65.6,354.0,25.0,2.57,22.26,0
427,105.9,1300.0,93.5,4.93,15.29,0
428,63.1,1399.0,40.8,1.34,12.74,0
429,42.4,1032.0,52.4,4.42,10.82,0
430,89.3,2236.0,52.8,4.7,12.62,0
431,49.7,1003.0,33.5,3.55,18.82,0
432,47.2,1575.0,70.2,0.52,13.52,0
433,101.6,1023.0,47.8,2.96,6.72,0
434,107.2,2904.0,81.6,4.17,14.56,0
435,105.1,854.0,57.1,4.26,15.64,0
436,47.4,756.0,25.0,0.6,16.33,0
437,96.1,1403.0,29.5,1.58,15.62,0
438,81.7,569.0,68.2,4.54,15.64,0
439,104.7,2336.0,63.5,4.91,15.2,0
440,105.2,343.0,47.0,3.28,19.12,0
441,68.9,2537.0,25.0,3.33,11.89,0
442,52.9,893.0,60.7,2.8,12.61,0
443,68.9,537.0,60.3,4.79,11.82,0
444,71.8,846.0,78.1,1.05,15.74,0
445,70.8,1607.0,63.0,2.27,12.53,0
446,65.1,1249.0,64.0,3.0,16.47,0
447,92.0,1264.0,69.3,4.12,13.71,0
448,67.9,327.0,72.2,3.17,14.84,0
449,51.2,109.0,44.3,3.9,14.95,0
450,99.9,2521.0,65.6,0.96,14.06,0
451,62.5,1830.0,47.6,0.53,18.43,0
452,63.1,1170.0,60.8,2.83,11.08,0
453,105.0,157.0,25.0,2.38,16.49,0
454,47.1,2882.0,27.7,4.26,17.15,0
455,64.4,2092.0,57.1,2.62,23.08,0
456,108.5,1765.0,55.0,2.16,13.98,0
457,90.1,646.0,43.2,2.23,18.83,0
458,79.8,1899.0,52.6,0.79,11.94,0
459,55.0,633.0,93.9,2.57,13.72,0
460,41.4,2982.0,67.6,1.7,13.18,0
461,74.5,2771.0,34.9,3.06,17.55,0
462,47.4,944.0,55.7,4.53,21.03,0
463,44.0,522.0,53.6,0.95,21.63,0
464,78.1,2496.0,83.8,2.69,14.78,0
465,80.4,2758.0,41.5,2.91,15.59,0
466,79.0,467.0,28.4,2.39,6.39,0
467,83.8,980.0,48.8,4.36,12.91,0
468,82.3,2126.0,40.9,0.93,11.04,0
469,59.8,2968.0,35.0,0.63,23.62,0
470,82.2,1157.0,64.2,3.97,15.71,0
471,59.3,2798.0,25.0,4.1,18.69,0
472,45.9,2199.0,58.6,2.87,10.26,0
473,98.6,2525.0,69.8,1.3,13.3,0
474,76.0,1022.0,46.2,4.87,12.13,0
475,80.9,1908.0,64.8,2.8,12.77,0
476,73.9,2939.0,43.4,4.0,13.11,0
477,108.1,672.0,62.4,1.42,21.89,2
478,71.7,1941.0,39.3,1.62,14.42,0
479,80.3,199.0,57.9,3.99,14.81,0
480,85.7,749.0,52.9,2.7,15.1,0
481,67.1,2390.0,48.9,2.28,8.74,0
482,45.1,684.0,46.1,2.86,18.77,0
483,64.5,667.0,62.0,2.94,19.93,0
484,75.1,124.0,44.9,1.68,12.94,0
485,42.2,2080.0,50.8,1.52,17.17,0
486,70.1,1676.0,39.2,1.69,11.05,0
487,105.6,2389.0,50.8,2.09,13.99,0
488,60.9,1181.0,34.1,1.24,13.12,0
489,80.9,485.0,36.2,1.85,22.22,0
490,81.0,394.0,55.8,4.49,15.6,0
491,103.1,830.0,54.6,2.1,6.57,0
492,47.5,2241.0,46.4,2.21,11.62,0
493,52.4,276.0,44.2,3.1,14.05,0
494,90.8,335.0,77.8,3.89,13.81,0
495,98.1,2147.0,32.3,1.13,23.5,2
496,60.9,1624.0,25.0,2.57,13.98,0
497,93.8,2421.0,50.0,3.85,17.71,0
498,45.1,2132.0,59.2,4.74,10.1,0
499,58.5,1985.0,47.7,3.8,19.49,0
500,49.0,1810.0,46.7,3.65,19.96,0
501,103.0,1727.0,25.0,0.91,8.53,0
502,42.6,2556.0,25.0,4.87,11.24,0
503,83.4,775.0,84.2,2.1,10.5,0
504,63.4,231.0,65.4,0.5,5.0,0
505,100.8,2357.0,56.1,4.89,18.68,0
506,80.6,1668.0,46.9,3.46,16.22,0
507,89.6,2270.0,34.2,3.83,10.51,0
508,98.3,2433.0,56.2,3.76,15.88,0
509,96.7,318.0,71.5,1.76,17.31,0
510,86.6,1957.0,81.9,4.76,25.65,2
511,67.4,544.0,64.1,4.32,17.23,0
512,60.9,679.0,74.9,1.92,17.98,0
513,78.8,391.0,50.0,1.98,20.31,0
514,75.4,364.0,56.4,4.61,12.53,0
515,95.9,283.0,54.2,1.12,8.31,0
516,48.7,1784.0,52.9,3.63,14.69,0
517,87.3,1653.0,61.5,4.71,15.59,0
518,49.8,145.0,67.4,4.71,11.47,0
519,41.0,1002.0,70.9,3.64,5.41,0
520,67.1,797.0,83.1,1.21,16.08,0
521,87.1,1107.0,60.1,1.23,15.3,0
522,86.3,1725.0,46.2,3.72,16.5,0
523,89.2,2856.0,87.9,1.74,13.28,1
524,41.3,2563.0,73.5,0.74,14.35,0
525,61.1,452.0,52.4,1.37,14.42,0
526,76.2,141.0,54.7,3.14,11.78,0
527,41.7,2370.0,25.0,4.59,15.95,0
528,54.0,951.0,30.8,2.0,18.2,0
529,83.5,2657.0,43.2,2.87,15.52,0
530,86.5,378.0,77.3,2.35,15.03,0
531,99.7,1651.0,41.2,1.1,17.37,0
532,54.2,735.0,37.1,3.01,8.05,0
533,43.3,663.0,53.9,4.8,13.95,0
534,48.3,1256.0,63.1,3.57,12.43,0
535,65.1,455.0,66.7,3.77,8.77,0
536,85.9,2500.0,53.3,2.95,18.85,0
537,70.4,300.0,33.7,4.29,8.03,0
538,73.5,2700.0,71.5,1.11,9.05,0
539,44.4,1464.0,40.2,1.75,20.29,0
540,98.7,665.0,63.5,2.92,14.62,0
541,50.2,1087.0,72.5,0.88,16.08,0
542,78.6,1695.0,76.5,1.49,18.04,0
543,100.8,1172.0,63.7,1.55,8.3,0
544,105.0,2003.0,66.9,3.8,18.77,0
545,68.7,1040.0,51.2,0.66,13.47,0
546,66.1,276.0,77.2,4.59,16.25,0
547,49.8,760.0,55.3,4.71,16.06,0
548,40.3,1638.0,42.5,2.91,17.19,0
549,89.1,2175.0,33.9,0.58,7.04,0
550,81.5,943.0,60.3,4.39,19.61,0
551,102.5,1745.0,64.4,1.49,10.94,0
552,75.3,427.0,25.0,1.97,17.2,0
553,54.6,2694.0,84.0,2.69,13.55,0
554,92.5,2907.0,54.9,3.1,11.56,0
555,105.7,465.0,67.9,0.6,14.09,0
556,56.9,1310.0,51.2,0.99,12.56,0
557,80.4,2251.0,39.1,3.94,7.91,0
558,92.2,1210.0,59.7,2.67,16.91,0
559,74.1,2156.0,48.8,4.13,14.13,0
560,92.6,878.0,50.8,0.77,15.79,0
