ID_Monitoreo,Ocupacion_Buffer_Pct,Tiempo_Paro_Acumulado_Min,Eficiencia_OEE_Pct,Velocidad_Ensamblaje_Ppm,Alertas_SCADA_Turno,Anomalia_Cuello_Botella
154,91.6,6.9,58.0,33.9,3,0
155,15.0,0.9,60.4,26.2,1,0
156,39.9,18.3,95.0,50.1,3,0
157,88.9,0.3,97.3,46.1,3,0
158,18.8,6.8,94.3,46.0,2,0
159,31.2,3.1,84.0,46.7,1,0
160,75.6,3.2,80.2,41.5,1,0
161,17.8,6.0,95.1,33.0,4,0
162,79.3,3.7,80.0,30.1,3,0
163,48.8,10.7,72.1,34.2,0,0
164,96.5,9.8,53.0,45.6,2,0
165,78.1,0.7,62.6,36.0,2,0
166,34.0,15.9,50.3,41.6,1,0
167,54.7,14.4,57.9,47.7,1,0
168,90.1,9.1,58.1,39.4,0,0
169,38.2,0.7,80.5,60.0,3,0
170,14.2,11.1,55.9,34.8,2,0
171,75.8,10.3,88.1,43.3,4,0
172,64.1,21.7,93.1,39.4,2,0
173,15.8,26.1,80.5,46.2,4,0
174,33.7,4.1,89.5,41.3,2,0
175,18.6,3.7,56.3,25.2,2,0
176,36.4,8.1,86.8,41.2,0,0
177,53.9,7.7,86.0,32.3,3,0
178,10.6,11.9,92.5,38.2,2,0
179,61.7,2.9,92.1,35.7,1,0
180,46.0,29.5,61.5,41.5,3,0
181,60.9,38.6,76.4,38.5,2,0
182,22.1,8.0,74.4,42.2,1,0
183,28.2,10.7,66.6,39.3,3,0
184,48.2,16.0,87.8,40.6,8,0
185,36.8,29.4,75.8,36.8,0,0
186,68.6,9.4,69.2,48.4,1,0
187,11.0,54.8,55.8,40.1,1,0
188,59.6,22.8,50.3,42.7,2,0
189,39.3,23.2,85.7,38.1,2,0
190,42.3,16.8,56.9,44.0,4,0
191,23.3,0.1,93.3,36.7,3,0
192,91.1,29.2,67.2,45.4,3,0
193,71.5,18.0,96.4,45.2,1,0
194,95.5,5.8,89.7,43.4,1,0
195,35.9,16.8,88.4,36.8,2,0
196,69.2,1.4,73.9,25.8,0,0
197,22.8,1.2,77.4,38.9,2,0
198,19.2,3.3,69.2,44.7,4,0
199,32.5,0.3,73.3,28.8,2,0
200,49.3,30.9,82.9,30.2,2,0
201,28.5,23.5,76.9,27.2,0,0
202,41.7,4.7,61.9,32.1,1,0
203,66.5,7.2,86.2,29.2,1,0
204,82.0,7.3,81.9,30.4,0,0
205,55.5,14.4,80.2,42.8,1,0
206,95.9,6.6,93.9,28.5,5,0
207,53.0,69.5,50.1,45.0,0,0
208,92.8,54.3,52.9,40.4,4,1
209,52.4,6.3,76.3,42.7,2,0
210,27.6,16.3,93.7,44.4,0,0
211,65.6,5.0,53.2,48.2,5,0
212,66.1,32.3,73.6,45.7,0,0
213,58.9,38.1,65.8,37.7,0,0
214,36.4,1.4,54.3,43.2,4,0
215,43.1,8.0,76.0,29.6,6,0
216,75.4,3.0,85.8,52.7,1,0
217,55.4,0.1,93.6,27.7,1,0
218,28.9,5.5,68.9,40.7,1,0
219,29.1,35.0,85.3,38.8,1,0
220,62.1,15.4,93.7,41.3,0,0
221,98.0,35.4,66.8,38.4,1,0
222,13.1,16.2,92.6,40.4,2,0
223,20.4,73.2,58.2,36.6,1,0
224,92.1,3.5,83.7,38.2,3,1
225,44.4,38.1,50.2,30.2,0,0
226,37.1,3.6,68.4,41.7,2,0
227,56.5,14.7,96.8,35.6,2,0
228,18.0,5.6,65.0,35.3,0,0
229,45.3,16.2,54.6,37.9,5,0
230,76.5,1.7,67.2,42.0,2,0
231,83.9,5.0,95.6,35.0,2,0
232,52.9,4.2,61.9,44.2,3,0
233,28.4,6.4,74.8,40.6,3,0
234,56.1,24.6,51.8,36.6,1,0
235,55.0,0.3,92.2,46.9,3,0
236,39.2,1.9,89.1,46.4,2,0
237,22.9,6.3,51.2,50.2,2,0
238,29.4,28.9,70.7,40.3,0,0
239,42.8,29.0,94.2,42.6,2,0
240,56.2,20.8,78.1,43.2,4,0
241,70.0,13.7,57.5,29.4,1,0
242,10.2,8.0,98.0,30.9,1,0
243,55.7,18.3,53.1,40.8,0,0
244,17.8,51.8,56.3,40.8,1,0
245,28.3,6.1,52.3,44.1,0,0
246,37.0,6.8,71.7,33.9,3,0
247,43.0,0.1,55.5,36.5,1,0
248,34.2,3.0,65.1,31.8,0,0
249,86.5,10.6,95.1,42.5,0,0
250,33.8,6.7,89.0,37.0,1,0
251,27.6,30.6,52.3,42.7,1,0
252,91.2,4.0,89.6,45.5,4,0
253,34.2,11.4,94.8,38.7,2,0
254,47.4,6.2,82.9,46.1,2,0
255,14.7,3.6,76.9,54.1,2,0
256,93.6,9.0,85.9,60.0,1,0
257,55.1,33.9,58.6,34.6,4,0
258,59.5,13.3,78.2,47.3,2,0
259,99.7,4.7,63.7,41.9,1,0
260,28.7,8.8,53.5,33.0,4,0
261,50.8,13.2,63.9,50.2,2,0
262,32.9,12.3,89.2,27.3,3,0
263,75.3,10.3,52.9,41.2,2,0
264,28.2,10.5,67.7,31.5,2,0
265,11.4,23.4,58.0,52.8,5,0
266,94.3,5.6,59.3,37.0,2,0
267,17.5,1.0,70.3,41.5,1,0
268,66.4,3.5,81.0,45.5,3,0
269,40.5,10.8,87.4,38.0,2,0
270,24.8,12.5,69.8,44.0,4,0
271,60.0,1.5,57.7,41.7,1,0
272,10.5,3.1,60.3,39.7,5,0
273,80.7,6.4,96.9,37.9,2,0
274,54.4,3.9,67.8,43.0,3,0
275,28.0,6.1,96.2,48.1,1,0
276,42.5,10.9,57.1,37.3,3,0
277,50.2,2.3,53.2,35.5,1,0
278,54.3,38.5,67.6,31.9,1,0
279,40.1,8.9,97.4,45.1,5,0
280,92.8,48.5,96.7,39.6,4,0
281,61.0,36.1,77.8,37.4,1,0
282,78.2,29.3,56.6,40.8,1,0
283,48.4,9.5,67.0,42.5,0,0
284,97.7,21.9,88.7,59.8,2,0
285,65.4,5.3,87.1,32.6,4,0
286,68.3,4.3,96.4,43.9,4,0
287,83.1,9.6,90.5,34.6,1,0
288,24.9,8.3,50.9,20.8,5,0
289,11.1,53.4,86.3,36.8,1,0
290,81.2,31.0,84.3,29.9,1,0
291,29.0,16.9,74.2,41.8,4,0
292,82.0,3.8,83.2,43.0,4,0
293,49.8,24.9,94.2,57.6,0,0
294,97.4,24.2,61.6,47.7,0,0
295,55.1,30.0,71.9,40.6,4,0
296,97.2,25.4,91.7,35.4,1,0
297,73.1,5.2,93.0,41.1,3,0
298,12.1,11.5,58.7,35.6,1,0
299,38.3,6.5,92.5,30.8,2,0
300,32.4,4.9,59.4,36.9,1,0
301,94.5,9.4,52.6,49.0,3,0
302,79.4,0.5,92.6,41.2,4,0
303,72.5,1.7,50.0,35.1,2,0
304,34.3,8.5,83.1,31.7,3,0
305,78.1,83.5,62.3,49.3,1,0
306,40.0,16.3,80.0,33.8,4,0
307,94.0,24.6,80.0,45.1,3,0
308,47.5,4.6,56.5,47.3,0,0
309,79.7,2.4,85.8,30.4,1,0
310,20.6,3.6,69.4,42.0,1,0
311,74.3,1.9,58.8,53.9,2,0
312,67.3,0.6,66.3,47.1,4,0
313,41.2,2.3,69.9,39.1,3,0
314,46.1,4.6,80.5,32.8,3,0
315,45.0,3.7,56.5,49.3,2,0
316,88.9,2.5,55.0,35.9,1,0
317,69.8,1.1,86.2,47.6,1,0
318,17.1,46.6,68.2,34.8,1,0
319,34.5,35.7,96.2,43.2,3,0
320,70.5,13.1,67.1,27.6,1,0
321,37.7,2.2,56.5,41.3,0,0
322,78.4,10.0,93.2,31.0,0,0
323,83.3,58.4,83.1,40.6,2,0
324,78.4,14.1,58.3,37.9,1,0
325,54.3,33.0,87.3,41.2,3,0
326,82.6,8.6,72.3,35.2,1,0
327,59.7,2.4,87.1,45.0,0,0
328,88.5,10.7,54.9,37.6,1,0
329,62.5,1.5,78.4,37.8,1,0
330,28.2,3.1,84.8,38.3,3,0
331,24.9,2.9,61.4,38.4,1,0
332,49.8,5.5,62.4,27.7,3,0
333,25.8,44.7,63.6,36.2,0,0
334,60.3,28.3,72.5,30.2,1,0
335,80.0,7.4,92.6,36.9,3,0
336,52.0,4.6,60.5,50.8,3,0
337,99.9,12.5,70.5,36.6,3,0
338,17.8,2.6,57.3,34.6,1,0
339,32.5,10.9,94.7,33.0,5,0
340,98.4,8.3,83.3,37.1,1,0
341,28.1,8.1,82.0,31.7,2,0
342,56.7,0.7,56.0,48.8,1,0
343,32.6,2.8,50.7,45.4,0,0
344,75.8,27.9,79.8,33.4,1,0
345,67.6,0.6,87.7,40.9,1,0
346,34.5,10.8,91.9,49.1,3,0
347,39.6,3.2,60.8,49.7,0,0
348,93.9,20.5,61.5,25.7,2,0
349,54.1,4.3,65.3,32.9,2,0
350,54.0,10.2,85.9,41.9,2,0
351,46.5,2.7,65.2,39.8,3,0
352,60.5,29.3,80.8,46.8,3,0
353,18.0,0.8,62.6,36.7,3,0
354,36.8,15.5,56.0,43.8,0,0
355,41.7,11.5,67.7,21.1,2,0
356,66.8,11.3,56.4,35.5,3,0
357,58.0,21.9,56.4,29.6,2,0
358,77.1,40.5,90.9,33.1,3,0
359,19.7,11.7,89.2,33.7,1,0
360,76.1,23.5,88.7,38.7,2,0
361,74.2,6.9,76.5,42.4,2,0
362,51.6,8.6,52.1,59.3,1,0
363,27.6,1.7,67.6,25.2,1,0
364,69.6,12.9,81.3,45.9,1,0
365,15.2,8.4,92.8,33.0,0,0
366,84.5,19.4,59.9,33.6,2,0
367,69.1,11.7,56.5,31.7,0,0
368,77.6,7.6,78.0,43.4,3,0
369,21.1,11.1,50.4,36.3,0,0
370,81.8,37.6,90.2,40.6,1,0
371,97.0,2.1,78.2,39.8,3,0
372,17.7,1.6,56.0,32.7,3,0
373,20.3,3.4,76.0,26.6,2,0
374,53.2,19.2,61.2,32.3,3,0
375,60.8,49.5,94.1,41.3,3,0
376,61.6,25.6,92.4,35.0,2,0
377,10.6,26.0,83.4,43.8,0,0
378,12.4,2.8,86.7,37.9,0,0
379,94.2,9.1,81.1,42.8,4,0
380,18.9,51.7,63.3,38.4,1,0
381,89.9,10.0,82.5,47.2,3,0
382,17.7,10.1,78.2,44.1,0,0
383,78.1,1.4,84.7,41.5,3,0
384,50.3,2.8,92.5,35.5,0,0
385,53.6,0.4,66.7,40.4,3,0
386,28.9,0.7,64.5,43.4,2,0
387,57.4,3.2,66.3,54.4,2,0
388,27.9,0.7,66.3,54.3,1,0
389,89.4,9.7,56.9,36.1,2,0
390,60.5,8.3,75.9,39.8,0,0
391,95.2,10.3,56.5,40.1,2,0
392,79.7,33.4,55.4,28.8,5,0
393,80.6,12.6,87.6,49.8,4,0
394,62.1,7.8,94.9,40.5,2,0
395,72.4,1.4,78.4,53.5,0,0
396,29.3,16.8,74.3,51.4,0,0
397,61.4,4.6,78.5,48.7,2,0
398,47.5,49.4,84.1,42.6,3,0
399,22.7,5.6,77.6,60.0,1,0
400,15.5,13.0,56.0,39.6,1,0
401,27.0,12.3,52.2,31.0,1,0
402,88.3,24.1,59.5,50.2,2,0
403,95.0,51.3,64.5,33.1,2,0
404,93.9,0.5,67.0,44.3,1,0
405,34.7,10.0,87.3,48.7,3,0
406,74.6,2.0,75.7,36.0,1,0
407,36.7,9.0,67.2,39.7,2,0
408,80.4,31.6,75.7,39.4,3,0
409,33.1,3.1,53.9,42.6,0,0
410,82.8,1.9,50.5,40.5,3,0
411,96.4,11.8,86.9,36.8,2,0
412,33.5,5.6,56.1,43.4,2,0
413,59.7,14.1,55.4,59.5,1,0
414,35.8,17.8,69.1,38.4,3,0
415,27.7,2.2,52.1,38.5,4,0
416,36.4,15.7,86.7,38.5,3,0
417,92.5,48.3,94.5,54.3,1,0
418,71.6,5.7,81.7,36.9,3,0
419,70.9,33.1,84.7,42.2,3,0
420,13.5,27.9,80.7,32.1,2,0
421,76.3,23.7,83.1,42.1,6,0
422,87.6,4.2,50.4,45.3,3,0
423,88.8,4.3,61.7,49.4,0,0
424,16.2,13.0,82.3,51.0,4,0
425,66.0,22.5,68.5,47.8,0,0
426,58.2,7.5,65.9,32.2,5,0
427,18.9,31.3,58.5,26.2,2,0
428,73.4,0.3,74.0,33.5,1,0
429,65.7,19.8,89.1,37.6,3,0
430,80.5,0.3,56.8,24.7,1,0
431,26.3,6.4,80.0,31.6,3,0
432,14.2,23.2,55.8,35.4,3,0
433,15.0,29.3,89.6,32.1,3,0
434,97.8,1.9,86.7,39.0,1,0
435,12.3,3.2,69.8,45.8,1,0
436,41.3,5.5,90.9,43.7,3,0
437,54.9,6.8,91.6,46.9,2,0
438,95.1,5.0,96.2,34.0,5,0
439,15.1,27.5,57.0,53.8,1,0
440,63.6,22.9,53.8,24.3,2,0
441,93.4,13.5,52.5,45.5,1,0
442,63.0,10.0,51.7,34.3,2,0
443,72.9,12.5,84.8,37.9,2,0
444,89.5,10.4,94.7,40.0,3,0
445,54.1,6.9,70.5,48.7,4,0
446,30.3,3.4,56.0,41.4,4,0
447,85.1,3.9,71.5,39.5,1,0
448,43.7,6.0,66.3,50.8,1,0
449,82.5,8.2,53.1,37.2,0,0
450,30.6,10.8,51.5,34.8,2,0
451,98.0,18.6,92.0,44.4,5,0
452,22.4,15.0,84.4,48.7,0,0
453,60.9,8.2,87.3,41.3,3,0
454,23.3,5.1,77.0,34.2,1,0
455,98.0,6.0,66.3,45.0,1,0
456,78.4,1.6,76.4,39.8,2,0
457,75.6,0.4,67.7,33.8,3,0
458,86.1,64.1,75.9,29.9,1,0
459,38.9,34.1,76.6,29.7,1,0
460,78.6,1.6,51.2,36.7,3,0
461,39.5,21.2,97.7,30.4,2,0
462,20.3,13.9,90.6,35.6,1,0
463,96.8,20.5,88.3,43.4,1,0
464,41.8,3.3,88.4,43.2,3,0
465,95.8,7.8,67.0,26.4,2,0
466,70.4,33.8,75.9,28.0,1,0
467,12.9,60.7,60.8,34.6,2,0
468,34.6,2.5,83.6,52.1,0,0
469,42.6,15.4,84.1,34.2,2,0
470,74.6,26.5,89.7,29.9,3,0
471,40.4,8.0,97.3,60.0,2,0
472,87.6,0.9,50.8,47.7,2,0
473,12.8,15.1,58.7,45.6,1,0
474,95.5,1.6,81.9,41.1,3,0
475,59.0,30.1,84.8,44.7,3,0
476,88.8,16.9,95.0,57.0,3,0
477,49.3,5.2,57.9,47.8,0,0
478,95.7,17.5,80.8,27.6,1,0
479,32.6,8.9,86.6,35.5,0,0
480,35.4,8.3,87.5,37.0,1,0
481,15.2,7.6,70.1,15.9,3,0
482,38.8,8.6,76.1,40.8,0,0
483,68.6,6.5,59.1,36.1,4,0
484,76.5,4.2,89.6,47.1,5,0
485,51.2,15.2,54.1,33.5,2,0
486,29.5,14.9,51.9,41.0,1,0
487,87.4,9.4,56.7,38.5,2,1
488,84.8,3.4,96.7,43.0,1,0
489,23.3,5.2,93.2,49.8,2,0
490,95.4,13.6,70.4,55.9,0,0
491,46.0,21.9,78.2,42.9,0,0
492,44.9,9.6,95.1,45.7,3,0
493,58.6,8.5,90.1,42.4,3,0
494,95.0,14.0,50.8,28.5,5,0
495,60.6,2.9,90.0,44.5,1,0
496,89.9,40.3,51.2,47.3,2,1
497,97.6,4.4,55.4,49.5,3,0
498,30.2,50.6,53.3,40.0,3,1
499,22.6,39.6,94.2,42.6,2,0
500,26.0,10.2,60.4,50.4,1,0
501,24.4,4.2,56.5,33.2,0,0
502,89.3,0.4,53.8,54.3,1,0
503,77.9,9.4,50.7,46.9,4,0
504,39.5,1.3,51.9,28.3,1,0
505,46.9,10.8,71.8,35.2,1,0
506,77.9,2.2,67.9,46.2,2,0
507,51.4,23.8,89.2,38.6,2,0
508,46.1,0.8,70.2,40.5,0,0
509,76.5,14.6,85.6,53.2,2,0
510,13.3,23.7,62.6,36.9,1,0
511,58.5,5.5,96.9,41.5,2,0
512,64.4,32.4,77.4,43.8,2,0
513,99.3,0.8,95.1,28.0,2,0
514,46.6,7.8,71.8,36.2,6,0
515,17.6,13.5,76.6,31.4,2,0
516,57.1,29.4,82.1,40.0,0,0
517,50.0,1.9,74.6,54.2,4,0
518,70.0,31.6,60.7,37.7,1,0
519,28.6,2.9,67.9,45.3,2,0
520,46.4,80.6,55.1,57.3,0,0
521,67.8,12.0,55.6,33.0,3,0
522,62.6,11.6,64.7,36.6,1,0
523,11.3,35.6,66.3,40.0,1,0
524,86.0,1.1,71.4,41.8,1,0
525,83.9,34.7,95.9,32.2,1,0
526,42.7,1.7,58.0,42.1,1,0
527,94.4,20.2,69.6,34.5,2,0
528,80.8,1.4,96.6,33.8,1,0
529,57.1,9.6,71.0,36.0,2,0
530,95.9,12.0,74.6,54.7,0,0
531,68.1,0.1,88.4,39.9,1,0
532,54.8,10.0,56.9,31.5,5,0
533,81.9,32.2,94.1,28.7,4,0
534,59.3,8.9,78.7,46.4,4,0
535,27.3,30.0,69.1,43.3,0,0
536,30.0,13.4,62.7,40.7,1,0
537,98.8,31.6,95.9,49.9,1,0
538,63.7,4.3,58.9,27.4,0,0
539,58.2,20.4,79.1,31.2,2,0
540,15.0,4.6,52.3,25.5,1,0
541,79.0,0.5,68.5,46.8,0,0
542,87.9,10.8,97.8,35.5,5,1
543,23.4,24.8,78.4,42.5,3,1
544,77.4,10.6,54.3,21.2,0,0
545,90.1,1.2,74.0,47.4,4,0
546,93.5,5.6,58.6,32.3,3,0
547,54.5,9.9,51.4,52.7,6,0
548,57.8,0.7,59.3,44.8,1,0
549,78.8,17.2,90.8,42.1,3,0
550,87.4,2.7,92.0,36.3,2,0
551,57.0,25.8,65.5,45.8,3,0
552,19.5,16.6,59.5,33.8,2,0
553,92.6,7.5,82.4,37.9,0,0
554,85.2,38.2,63.3,53.1,1,0
555,54.9,43.4,95.2,51.7,2,0
556,45.0,2.5,79.1,28.3,4,0
557,83.9,36.1,57.3,32.8,2,0
558,65.4,21.1,84.1,60.0,1,0
559,68.8,21.6,91.4,48.8,0,0
560,83.6,24.4,94.8,42.3,1,0
561,18.0,4.4,51.1,33.1,1,0
562,90.4,6.6,96.1,31.4,2,0
563,50.3,3.6,72.1,31.6,0,0
564,27.6,3.7,70.5,38.9,5,0
565,31.5,17.3,55.1,35.7,1,0
566,14.0,34.6,83.6,37.7,3,0
567,71.2,13.2,54.4,42.8,2,0
568,39.0,14.9,64.8,59.0,2,0
569,11.4,0.4,52.2,50.3,1,0
570,12.1,30.2,71.2,39.9,1,0
571,22.1,5.7,61.3,43.4,4,0
572,65.9,21.4,65.8,32.2,1,0
573,11.4,47.5,89.4,27.9,3,0
574,33.2,10.4,74.3,30.6,2,0
575,51.2,15.3,97.2,33.5,1,0
576,79.7,9.2,51.7,48.2,2,0
577,64.9,25.5,62.1,36.9,4,0
578,45.0,21.2,62.6,32.3,3,0
579,91.5,16.1,59.7,27.7,1,0
580,92.1,5.5,83.5,31.4,1,0
581,90.6,6.7,69.6,39.2,2,0
582,98.4,26.6,67.7,35.9,1,0
583,78.2,2.1,52.8,28.1,0,0
584,59.3,3.3,58.4,37.0,3,0
585,51.0,11.2,65.6,32.3,2,0
586,49.3,21.8,69.7,41.8,2,0
587,48.4,30.8,88.0,51.0,0,0
588,32.6,20.1,52.3,38.6,1,0
589,30.6,4.4,97.7,34.5,0,0
590,62.3,53.6,65.1,55.5,1,0
591,72.6,15.1,85.9,34.2,1,0
592,93.2,3.3,52.7,39.1,5,0
593,28.5,4.9,95.6,30.1,1,0
594,86.2,10.0,82.1,32.8,1,0
595,29.8,2.5,51.9,34.7,2,0
596,76.9,5.4,53.0,36.8,0,0
597,64.4,3.5,74.8,38.9,0,0
598,68.1,22.7,95.0,23.6,3,0
599,35.9,2.9,81.0,48.9,2,0
600,36.5,33.6,55.6,45.1,3,0
601,16.0,6.7,54.8,46.9,1,0
602,76.0,12.7,67.2,27.5,0,0
603,44.4,1.2,74.4,45.0,2,0
604,67.4,18.3,84.4,54.1,1,0
605,85.4,1.7,55.3,21.3,1,0
606,49.5,37.1,69.1,42.6,2,0
607,22.7,56.9,80.2,35.1,2,0
608,13.3,60.2,55.7,34.9,3,0
609,17.2,12.3,56.8,35.0,2,0
610,62.8,3.5,90.2,42.0,2,0
611,70.0,7.1,57.2,33.1,2,0
612,20.7,5.8,67.5,33.4,0,0
613,89.5,7.5,50.0,28.6,2,0
614,91.0,2.9,52.9,39.6,3,0
615,13.7,29.8,76.6,42.3,2,0
616,71.3,3.0,83.5,42.7,3,0
617,21.9,10.6,51.5,32.8,1,0
618,94.5,1.8,82.1,46.6,0,0
619,95.7,14.6,83.0,29.7,0,0
620,93.7,10.8,87.4,45.2,3,0
621,83.2,1.2,69.8,40.1,3,0
622,67.8,8.7,79.9,49.7,0,0
623,98.8,31.4,55.1,47.1,0,0
624,82.1,21.3,95.0,51.6,3,0
625,69.2,15.4,62.0,42.9,1,0
626,38.7,15.8,58.2,49.0,6,0
