ID_Pieza,Rugosidad_Superficie_um,Desviacion_Tolerancia_mm,Dureza_Rockwell_HRC,Temperatura_Moldeo_C,Velocidad_Enfriamiento_C_s,Pieza_Defectuosa
192,0.88,0.007,57.3,194.5,5.1,0
193,1.5,0.014,56.3,220.5,8.7,0
194,0.89,0.018,55.6,214.1,9.9,0
195,1.19,0.013,54.1,200.9,22.2,0
196,1.48,0.027,62.7,214.0,18.5,0
197,1.23,0.046,58.6,187.2,12.1,1
198,1.03,0.015,59.1,196.3,8.4,0
199,1.22,0.039,58.2,223.5,20.6,1
200,0.35,0.01,53.5,226.3,16.1,0
201,1.09,0.026,63.1,200.8,9.8,0
202,1.63,0.011,58.4,202.6,10.7,0
203,1.9,0.019,57.6,200.7,18.2,0
204,1.48,0.019,54.3,205.1,22.9,0
205,1.26,0.039,59.8,207.2,7.4,1
206,1.27,0.03,60.0,212.7,11.5,0
207,0.89,0.027,51.2,222.4,15.2,0
208,1.58,0.016,62.8,206.7,19.0,0
209,1.56,0.033,61.2,211.4,15.2,0
210,0.98,0.034,62.5,195.1,19.6,0
211,0.58,0.023,59.4,187.5,17.0,0
212,1.37,0.012,53.7,229.4,15.2,0
213,1.7,0.024,58.4,218.9,5.8,0
214,1.02,0.0,60.6,202.2,10.0,0
215,1.31,0.036,58.5,207.6,13.8,0
216,1.37,0.0,59.8,207.1,20.9,0
217,1.6,0.038,57.6,234.3,15.9,1
218,1.41,0.007,57.5,201.1,9.2,0
219,0.83,0.01,64.0,217.2,13.7,0
220,1.54,0.013,66.5,204.9,6.6,0
221,1.08,0.03,55.9,220.9,20.1,0
222,1.21,0.012,54.1,234.8,9.9,0
223,1.56,0.033,68.6,217.1,18.1,0
224,0.46,0.037,58.7,188.7,21.0,1
225,1.55,0.035,56.4,201.4,15.4,0
226,0.77,0.005,51.2,215.4,16.6,0
227,0.97,0.04,68.0,221.0,6.2,0
228,1.68,0.012,58.6,206.2,11.6,0
229,1.68,0.052,61.1,200.1,14.1,0
230,0.87,0.014,62.4,190.0,23.2,0
231,0.79,0.0,59.0,191.0,10.9,0
232,0.59,0.036,60.0,233.6,9.3,0
233,0.86,0.017,62.7,204.1,21.1,0
234,1.84,0.004,56.6,202.4,23.6,1
235,1.27,0.005,58.5,202.9,5.7,0
236,0.8,0.045,68.0,220.7,18.3,0
237,1.15,0.017,56.8,198.0,6.3,0
238,0.67,0.015,54.1,225.3,8.6,0
239,1.16,0.023,57.8,240.2,23.7,0
240,1.48,0.027,62.9,216.7,15.4,0
241,0.64,0.002,51.5,183.2,19.7,0
242,1.55,0.024,61.0,197.2,8.1,0
243,1.83,0.009,53.6,211.7,19.6,0
244,1.57,0.02,59.9,224.9,18.5,0
245,0.98,0.021,55.5,203.7,13.5,0
246,1.58,0.069,52.1,214.2,12.4,0
247,0.81,0.039,57.3,222.0,22.3,0
248,0.78,0.064,54.4,196.3,5.7,0
249,2.07,0.016,54.5,206.6,19.0,0
250,0.69,0.035,59.3,209.6,15.8,0
251,0.88,0.024,60.7,186.3,19.9,0
252,1.1,0.043,58.6,188.7,11.7,0
253,1.24,0.0,66.9,215.3,12.4,0
254,1.73,0.0,57.7,230.8,14.4,0
255,1.52,0.0,54.0,221.2,6.1,0
256,1.74,0.033,51.1,204.0,5.5,0
257,1.51,0.007,57.7,215.0,24.7,0
258,1.32,0.025,62.7,210.4,13.8,0
259,0.64,0.025,59.6,217.2,17.6,0
260,1.26,0.016,53.7,215.6,24.1,0
261,0.91,0.034,57.6,194.0,8.3,0
262,0.91,0.017,54.0,188.2,8.1,0
263,1.09,0.035,58.1,218.0,11.3,1
264,2.04,0.01,59.4,221.5,18.2,0
265,1.6,0.027,62.7,203.8,14.6,0
266,1.61,0.03,56.2,207.3,12.6,0
267,0.77,0.0,57.2,216.2,23.1,0
268,1.2,0.022,58.1,214.5,9.9,0
269,1.11,0.015,57.0,200.0,22.8,0
270,1.32,0.008,53.4,214.8,22.4,0
271,1.53,0.057,55.8,207.7,23.4,1
272,1.14,0.033,49.1,198.4,8.6,0
273,1.25,0.037,52.9,206.4,21.5,0
274,1.47,0.048,55.1,212.7,10.4,1
275,1.36,0.031,58.5,218.5,17.1,0
276,1.52,0.012,48.9,220.4,10.1,0
277,0.2,0.042,54.4,199.7,24.7,0
278,0.81,0.005,53.8,209.1,6.6,0
279,1.14,0.002,68.6,200.9,21.8,0
280,0.79,0.025,60.1,221.1,11.7,0
281,0.77,0.03,59.9,215.7,8.9,0
282,0.2,0.01,62.0,210.9,10.8,0
283,1.46,0.014,55.0,196.2,6.5,0
284,1.07,0.009,62.0,226.7,16.2,0
285,0.83,0.027,59.2,201.1,5.2,0
286,1.89,0.02,58.7,200.5,22.2,0
287,1.01,0.014,60.9,210.9,20.6,0
288,1.54,0.019,63.0,218.3,18.7,0
289,1.29,0.036,50.5,213.6,19.2,0
290,1.45,0.019,57.8,201.5,13.8,0
291,0.38,0.018,69.5,202.3,24.2,0
292,1.13,0.015,63.4,212.9,24.4,0
293,1.02,0.043,59.2,213.6,13.1,0
294,1.47,0.028,55.8,209.3,11.4,0
295,2.31,0.038,55.4,201.1,13.1,1
296,1.81,0.025,65.8,201.3,15.2,0
297,1.72,0.0,59.9,197.9,13.0,0
298,0.61,0.014,54.4,224.3,9.2,0
299,1.29,0.023,61.1,196.2,22.2,0
300,1.1,0.039,56.1,216.9,17.4,0
301,0.63,0.0,55.0,205.5,8.6,0
302,1.33,0.03,56.2,190.2,7.9,0
303,1.6,0.037,54.8,223.3,9.7,0
304,1.33,0.005,51.5,199.3,17.3,0
305,1.57,0.0,60.9,215.5,23.9,0
306,1.74,0.067,58.2,207.7,5.7,1
307,1.05,0.02,49.6,217.8,21.8,0
308,1.98,0.009,45.2,198.6,9.7,0
309,0.86,0.022,60.3,213.4,21.3,0
310,1.11,0.035,63.9,227.4,23.0,0
311,1.18,0.009,68.4,203.0,17.6,0
312,1.02,0.041,57.4,234.4,14.9,1
313,0.6,0.0,58.9,216.9,11.1,0
314,1.62,0.018,53.4,180.1,12.2,0
315,1.94,0.021,50.8,216.7,24.1,0
316,1.4,0.042,58.7,204.1,21.9,0
317,1.25,0.018,55.4,220.1,24.0,1
318,1.05,0.018,58.8,225.2,9.8,1
319,1.38,0.015,59.6,215.3,9.1,0
320,1.43,0.0,52.2,196.1,16.8,0
321,1.13,0.012,62.3,203.2,22.8,0
322,0.96,0.054,60.6,226.4,8.4,1
323,0.2,0.018,65.0,203.0,24.0,0
324,1.19,0.032,61.4,213.1,8.3,0
325,1.76,0.015,55.2,207.2,8.1,0
326,1.22,0.024,55.9,182.1,16.9,0
327,0.58,0.016,57.7,195.8,23.8,0
328,0.87,0.008,53.3,220.3,16.5,0
329,0.56,0.026,61.0,208.3,6.4,0
330,0.37,0.008,58.6,223.4,23.3,0
331,1.8,0.035,66.2,187.1,23.8,0
332,1.27,0.03,56.0,207.6,11.0,0
333,1.39,0.008,56.1,229.1,17.7,1
334,0.32,0.009,64.9,225.3,11.4,0
335,1.42,0.038,61.4,214.5,24.2,0
336,1.48,0.036,53.2,220.8,19.7,0
337,1.7,0.014,54.7,235.8,15.9,0
338,0.78,0.017,60.4,208.0,17.2,0
339,0.69,0.015,56.2,217.6,14.8,0
340,1.71,0.041,57.4,198.0,19.2,0
341,1.46,0.032,56.4,212.0,22.1,0
342,1.08,0.027,67.7,199.4,7.0,0
343,1.5,0.006,52.9,215.0,20.8,0
344,1.9,0.004,53.0,207.0,17.1,0
345,1.32,0.034,57.5,233.8,23.9,1
346,1.41,0.045,59.9,198.8,5.9,1
347,1.58,0.0,56.4,230.4,12.7,0
348,1.5,0.0,51.5,203.2,8.1,0
349,1.14,0.03,57.0,208.5,20.9,0
350,1.23,0.016,54.2,219.8,8.8,0
351,0.45,0.006,62.9,185.5,7.3,0
352,0.67,0.03,62.3,230.8,16.8,0
353,2.24,0.0,55.1,184.4,8.1,0
354,0.95,0.034,56.7,219.8,8.4,0
355,0.51,0.013,61.8,211.4,20.4,0
356,1.74,0.045,62.7,214.2,20.1,0
357,1.92,0.017,54.5,219.6,6.2,0
358,0.67,0.035,63.9,211.7,21.9,0
359,1.21,0.013,62.0,219.1,6.6,0
360,1.11,0.005,66.4,219.3,7.6,0
361,1.08,0.011,61.9,224.7,12.6,0
362,0.86,0.021,51.4,218.2,9.1,0
363,0.87,0.0,58.5,225.1,18.7,0
364,1.0,0.037,59.3,202.9,10.2,0
365,1.42,0.02,59.7,201.3,13.8,0
366,1.12,0.0,61.1,198.5,17.5,0
367,1.29,0.0,57.0,199.0,9.2,0
368,1.26,0.003,59.1,199.9,5.7,0
369,1.12,0.003,57.1,206.6,24.9,0
370,0.94,0.023,50.1,180.5,13.2,0
371,0.86,0.017,56.8,194.5,17.2,0
372,1.05,0.026,53.6,210.6,5.5,0
373,1.19,0.009,60.2,218.3,6.8,0
374,0.63,0.034,66.7,199.5,22.8,0
375,0.89,0.009,58.4,201.3,17.9,0
376,1.59,0.008,57.9,207.3,12.3,0
377,0.87,0.027,57.7,211.2,21.5,0
378,1.25,0.005,57.2,212.0,10.5,0
379,0.63,0.034,57.6,209.2,9.6,0
380,1.7,0.043,57.9,221.9,20.2,0
381,1.74,0.034,61.9,201.3,16.5,0
382,1.3,0.007,57.8,212.2,19.4,0
383,1.25,0.012,56.8,221.2,9.6,0
384,1.39,0.029,54.2,229.7,24.0,0
385,1.15,0.017,56.4,235.0,11.1,0
386,0.92,0.041,59.1,213.4,17.8,0
387,1.55,0.041,62.6,196.5,8.3,0
388,0.91,0.037,58.8,245.8,15.5,1
389,1.37,0.044,59.7,174.1,15.1,0
390,1.71,0.008,58.9,219.5,16.9,0
391,0.72,0.011,52.1,215.7,11.2,0
392,1.14,0.029,56.9,222.9,13.5,0
393,1.21,0.047,60.8,211.2,16.2,0
394,0.34,0.006,60.4,216.3,17.0,0
395,1.0,0.017,59.1,219.3,16.0,0
396,1.23,0.027,56.9,213.1,8.5,0
397,0.68,0.019,61.7,214.4,20.5,0
398,1.6,0.0,56.2,208.3,12.4,0
399,1.87,0.012,65.2,218.2,10.8,0
400,1.79,0.013,58.3,220.8,15.5,0
401,2.03,0.014,62.1,213.8,23.7,0
402,1.08,0.005,55.5,190.4,7.8,0
403,1.68,0.016,57.5,200.0,20.5,0
404,1.34,0.0,60.3,213.6,17.6,0
405,0.71,0.006,57.8,200.2,21.1,0
406,0.82,0.012,55.7,239.6,16.5,0
407,1.04,0.019,66.6,212.1,23.2,0
408,0.49,0.031,59.9,224.1,21.1,0
409,1.19,0.011,60.8,218.1,22.8,0
410,1.21,0.028,53.5,213.1,24.9,0
411,2.36,0.015,57.1,205.5,16.9,1
412,1.32,0.0,56.3,210.2,11.6,0
413,1.75,0.022,56.6,209.6,24.9,0
414,1.42,0.026,55.4,208.0,6.2,0
415,0.93,0.042,62.1,232.0,16.5,0
416,0.81,0.019,56.9,188.9,11.5,0
417,0.97,0.025,64.8,180.4,17.8,0
418,1.07,0.037,59.7,195.3,5.3,0
419,1.67,0.023,57.2,191.1,11.5,0
420,1.7,0.0,56.4,219.0,9.2,0
421,1.04,0.01,49.4,194.5,18.4,0
422,1.1,0.031,61.2,211.5,14.7,0
423,0.88,0.019,49.9,219.0,20.0,0
424,1.12,0.027,60.0,217.6,17.9,0
425,1.31,0.037,58.0,224.3,24.6,1
426,0.98,0.024,58.0,210.1,8.6,0
427,1.26,0.023,61.0,213.6,8.6,0
428,0.94,0.018,60.9,218.1,14.2,0
429,1.74,0.024,55.7,198.2,24.2,0
430,1.29,0.018,62.8,205.0,24.1,0
431,0.97,0.028,56.5,197.0,12.1,0
432,1.77,0.017,58.8,197.9,13.2,0
433,0.5,0.021,59.6,210.8,13.6,0
434,1.15,0.0,61.5,227.9,20.6,0
435,1.82,0.018,60.9,227.6,11.5,0
436,1.7,0.007,61.6,199.9,18.5,0
437,1.52,0.01,59.9,226.2,8.9,0
438,1.19,0.016,52.9,185.4,16.1,0
439,1.61,0.016,57.5,210.6,20.7,0
440,1.5,0.034,61.6,222.5,22.7,0
441,1.64,0.026,49.7,195.7,18.8,0
442,0.79,0.018,56.0,223.7,24.6,0
443,1.65,0.006,53.4,217.1,17.7,0
444,0.83,0.0,63.6,200.6,13.9,0
445,0.68,0.02,60.8,198.8,21.3,0
446,1.2,0.048,56.4,225.9,20.2,0
447,1.17,0.001,64.5,214.5,23.7,0
448,1.72,0.036,57.9,227.6,10.3,1
449,1.11,0.013,64.0,218.1,18.3,0
450,1.33,0.009,57.2,231.0,18.9,0
451,0.79,0.043,57.4,199.7,24.0,0
452,0.7,0.031,55.9,210.5,12.7,0
453,1.05,0.011,64.0,200.2,9.5,0
454,1.44,0.026,60.9,219.8,21.4,0
455,2.25,0.007,58.2,230.5,23.5,0
456,0.77,0.035,59.1,201.8,15.4,0
457,1.93,0.044,60.7,206.9,9.7,1
458,1.09,0.008,59.6,214.0,14.6,0
459,1.77,0.042,70.0,190.1,22.6,0
460,0.61,0.016,61.4,214.2,11.8,0
461,1.31,0.023,61.7,208.8,7.6,0
462,1.26,0.034,57.1,222.0,16.0,1
463,1.02,0.026,57.1,219.3,12.7,0
464,1.09,0.0,57.6,196.3,15.4,0
465,1.2,0.016,52.2,229.0,7.6,0
466,1.25,0.014,59.3,220.4,7.2,0
467,0.44,0.025,56.9,222.8,10.1,0
468,0.69,0.031,54.6,242.4,18.7,0
469,0.84,0.049,58.6,215.0,17.5,0
470,0.2,0.039,60.4,218.4,23.8,0
471,0.65,0.015,60.3,221.7,14.4,0
472,1.5,0.021,61.7,210.5,21.1,0
473,1.32,0.038,50.5,201.0,8.0,0
474,0.83,0.017,56.6,212.6,6.3,0
475,1.58,0.0,57.0,205.6,24.6,0
476,1.2,0.014,56.9,208.6,21.0,0
477,0.82,0.012,61.4,219.8,23.7,0
478,1.45,0.022,50.0,213.1,14.2,0
479,1.74,0.009,57.6,206.7,8.0,0
480,1.06,0.006,56.5,206.8,17.8,0
481,1.5,0.012,67.1,223.7,15.3,0
482,1.32,0.003,54.1,208.2,6.9,0
483,1.33,0.043,57.1,200.9,19.6,0
484,0.7,0.031,63.1,195.0,14.7,0
485,0.65,0.0,51.9,207.0,17.2,0
486,0.75,0.018,65.6,212.0,23.0,0
487,1.33,0.037,61.0,220.7,8.6,0
488,1.17,0.03,57.8,227.8,11.4,1
489,1.12,0.023,63.5,202.3,21.3,0
490,1.72,0.02,58.6,222.4,23.0,0
491,1.81,0.009,51.9,233.8,21.6,0
492,0.44,0.001,55.6,215.1,5.4,0
493,0.34,0.021,54.1,200.4,6.1,0
494,1.01,0.024,60.2,207.0,16.4,0
495,1.38,0.03,61.1,219.8,5.7,0
496,1.43,0.032,56.7,190.3,11.6,0
497,1.09,0.03,57.8,217.7,10.0,0
498,0.35,0.0,61.5,210.8,23.6,0
499,1.96,0.0,54.9,199.9,17.9,0
500,0.92,0.034,63.8,227.3,24.3,0
501,1.34,0.034,59.3,201.3,9.9,1
502,1.21,0.008,57.7,234.4,15.2,0
503,1.07,0.008,53.0,211.3,23.6,0
504,1.65,0.022,59.2,213.5,11.2,0
505,1.71,0.0,60.1,192.0,10.4,0
506,0.65,0.009,55.7,195.1,9.6,0
507,0.2,0.028,62.2,186.0,14.1,0
508,0.94,0.015,58.4,205.1,15.1,0
509,1.34,0.028,60.4,226.1,13.2,0
510,1.31,0.001,61.8,202.4,22.2,0
511,1.34,0.033,47.2,213.4,15.9,0
512,1.65,0.05,54.0,219.4,10.5,0
513,1.61,0.009,59.9,198.7,6.7,0
514,1.02,0.03,52.6,217.7,8.0,0
515,0.64,0.002,58.0,213.4,7.3,0
516,0.89,0.006,67.0,219.6,14.2,0
517,1.68,0.031,58.1,204.6,25.0,1
518,0.91,0.019,59.5,215.4,14.9,0
519,1.66,0.011,58.4,219.3,20.9,0
520,1.47,0.022,58.3,206.1,20.7,0
521,2.07,0.0,52.6,209.8,8.5,0
522,1.2,0.019,57.2,220.1,13.3,0
523,0.27,0.04,63.9,215.6,23.8,0
524,2.01,0.032,59.0,198.7,16.4,0
525,1.21,0.032,61.9,206.5,21.7,0
526,1.15,0.025,60.4,209.8,18.8,1
527,1.78,0.044,64.5,197.9,19.6,0
528,1.06,0.0,58.1,198.8,20.3,0
529,0.77,0.005,58.7,205.3,24.9,0
530,1.06,0.033,53.6,194.8,11.6,0
531,1.43,0.048,56.3,217.3,12.1,0
532,1.04,0.03,66.4,213.8,10.7,0
533,1.93,0.01,59.6,225.6,5.0,0
534,0.81,0.018,58.0,220.1,19.5,0
535,0.89,0.021,52.9,208.4,8.8,0
536,0.65,0.049,60.0,202.0,15.4,0
537,1.97,0.046,57.7,198.8,14.0,1
538,1.89,0.039,54.4,195.3,19.3,0
539,1.08,0.038,55.2,211.5,10.1,0
540,0.84,0.0,60.3,205.2,8.6,0
541,0.48,0.003,60.3,241.7,10.6,0
542,1.78,0.02,53.5,221.2,8.2,0
543,1.45,0.018,63.1,210.2,11.8,0
544,1.46,0.043,57.4,217.1,13.8,0
545,1.05,0.034,61.6,184.3,16.6,0
546,1.69,0.026,54.6,218.3,14.4,0
547,1.21,0.028,54.1,226.6,6.4,0
548,0.72,0.019,61.0,218.9,24.6,0
549,0.83,0.019,60.9,208.4,17.4,0
550,1.31,0.012,58.1,207.7,15.0,0
551,0.65,0.022,55.2,220.2,10.6,0
552,1.41,0.003,54.0,211.2,13.0,0
553,0.82,0.036,54.7,188.2,18.6,1
554,1.01,0.016,52.3,229.8,13.7,0
555,0.98,0.021,62.3,216.8,11.3,0
556,1.07,0.009,61.1,207.2,17.5,0
557,1.41,0.0,58.0,222.1,20.0,0
558,0.66,0.017,61.6,214.2,21.6,0
559,0.93,0.019,52.9,238.3,5.8,0
560,0.64,0.016,57.5,217.9,19.2,0
561,0.99,0.043,58.0,185.3,6.3,0
562,0.79,0.017,64.0,194.1,6.1,0
563,1.25,0.01,62.4,216.2,18.9,0
564,1.38,0.03,59.3,204.3,21.2,0
565,1.97,0.021,56.3,196.0,5.3,0
566,1.0,0.05,59.8,220.8,11.6,0
567,1.74,0.023,59.0,215.1,9.1,0
568,0.98,0.011,57.9,190.9,21.3,1
569,0.92,0.028,49.1,206.7,9.9,0
570,1.45,0.028,62.6,216.4,14.3,0
571,1.61,0.0,61.2,206.0,12.1,0
572,1.64,0.026,66.9,206.9,6.3,0
573,1.4,0.002,53.8,231.5,16.3,0
574,1.26,0.022,51.4,204.4,22.1,0
575,1.91,0.025,58.2,212.9,6.1,0
